iStep,tEnd,dtStar,dt,Nu,Nc,Nd,Eff
1,0.025,0.025,0.025,0.000473022,0.10173,0.000671387,10.173
2,0.0504889,0.0255102,0.0254889,0.00209045,0.103806,0.00239563,10.2734
3,0.0765094,0.0260308,0.0260204,0.00482178,0.105927,0.00535583,10.3806
4,0.103061,0.0265621,0.0265515,0.00880432,0.108078,0.00959778,10.4895
5,0.130141,0.0271041,0.0270806,0.0140991,0.110291,0.0149841,10.5998
6,0.157799,0.0276573,0.0276573,0.0207062,0.112534,0.0213165,10.7143
7,0.186005,0.0282217,0.0282062,0.0285645,0.114838,0.0282288,10.8301
8,0.214783,0.0287977,0.028778,0.0375366,0.117172,0.0353546,10.9569
9,0.244157,0.0293854,0.029374,0.0474243,0.119568,0.0423431,11.3361
10,0.274122,0.0299851,0.0299656,0.0579529,0.122009,0.0489502,11.8794
11,0.304705,0.030597,0.0305822,0.0688171,0.124496,0.0550537,12.5281
12,0.335897,0.0312215,0.0311925,0.0797577,0.127045,0.0606079,13.239
13,0.367726,0.0318586,0.0318284,0.0904388,0.129639,0.0652771,13.9747
14,0.400217,0.0325088,0.0324915,0.0998383,0.132278,0.0686188,14.6961
15,0.433364,0.0331722,0.0331465,0.107819,0.134979,0.0708771,15.3777
16,0.467193,0.0338492,0.0338291,0.114532,0.137741,0.0723267,16.0089
17,0.501694,0.03454,0.0345009,0.120178,0.140549,0.0732727,16.5857
18,0.536937,0.0352449,0.0352429,0.124985,0.143417,0.0739288,17.1144
19,0.572867,0.0359642,0.0359306,0.130737,0.146347,0.0744324,17.5957
20,0.609559,0.0366982,0.0366922,0.13739,0.149323,0.0748749,18.0387
21,0.646999,0.0374471,0.0374401,0.143463,0.152374,0.0753479,18.4479
22,0.68517,0.0382114,0.0381704,0.149078,0.155487,0.0758667,18.8275
23,0.724152,0.0389912,0.0389825,0.15416,0.158661,0.0765076,19.1865
24,0.763929,0.0397869,0.039777,0.158569,0.161896,0.077301,19.5288
25,0.804478,0.0405989,0.0405493,0.162308,0.165207,0.0782318,19.8573
26,0.845891,0.0414274,0.0414121,0.166626,0.168579,0.0792389,20.1778
27,0.888143,0.0422729,0.0422523,0.171967,0.172012,0.0802917,20.4905
28,0.931272,0.0431356,0.0431287,0.176971,0.175522,0.0813599,20.7973
29,0.975248,0.0440159,0.0439769,0.181458,0.179108,0.082428,21.0974
30,1.02011,0.0449142,0.0448605,0.185303,0.182755,0.0834503,21.3914
31,1.06589,0.0458308,0.0457818,0.188339,0.186493,0.0843658,21.6792
32,1.11263,0.0467662,0.0467433,0.190842,0.190292,0.0850677,21.9591
33,1.1603,0.0477206,0.0476689,0.194901,0.194183,0.0857086,22.2294
34,1.20894,0.0486945,0.0486336,0.198608,0.198151,0.0863953,22.4922
35,1.25858,0.0496882,0.0496398,0.201767,0.202194,0.0869904,22.7477
36,1.30927,0.0507023,0.0506903,0.204285,0.206314,0.0875244,22.9962
37,1.36096,0.051737,0.051695,0.2061,0.210526,0.0880127,23.2362
38,1.4137,0.0527929,0.0527422,0.207687,0.214828,0.0884399,23.4681
39,1.46754,0.0538703,0.0538348,0.210388,0.219208,0.0888062,23.6924
40,1.52241,0.0549697,0.0548701,0.212662,0.223679,0.0891266,23.9073
41,1.57847,0.0560915,0.0560583,0.21431,0.228241,0.089386,24.1158
42,1.63565,0.0572362,0.0571862,0.215256,0.23291,0.0897217,24.3173
43,1.69402,0.0584043,0.0583629,0.215454,0.237656,0.0900269,24.5127
44,1.75361,0.0595962,0.0595915,0.217331,0.242508,0.0903015,24.7025
45,1.81435,0.0608125,0.0607449,0.218597,0.247452,0.0905609,24.885
46,1.8763,0.0620536,0.0619465,0.218887,0.252502,0.0908203,25.0612
47,1.9395,0.06332,0.0631993,0.218292,0.25766,0.0910645,25.2318
48,2.00401,0.0646122,0.0645069,0.218338,0.262924,0.0914307,25.399
49,2.06988,0.0659308,0.0658729,0.218887,0.26828,0.0917969,25.5637
50,2.13702,0.0672763,0.0671397,0.218475,0.273758,0.0921326,25.7234
51,2.20565,0.0686493,0.068628,0.217285,0.279343,0.092453,25.8816
52,2.27566,0.0700503,0.070011,0.21608,0.285049,0.0927429,26.0359
53,2.34711,0.0714799,0.0714545,0.21611,0.290863,0.0929718,26.1864
54,2.41988,0.0729387,0.0727708,0.215271,0.296799,0.0931854,26.3309
55,2.49422,0.0744272,0.0743399,0.213715,0.302856,0.0935211,26.4741
56,2.57,0.0759462,0.0757735,0.211823,0.309036,0.0938263,26.6136
57,2.64748,0.0774961,0.0774859,0.21167,0.315353,0.0941162,26.7575
58,2.72654,0.0790776,0.0790535,0.210724,0.321777,0.0944061,26.9144
59,2.80723,0.0806915,0.0806907,0.208984,0.328354,0.094696,27.0846
60,2.88938,0.0823382,0.0821534,0.206863,0.335052,0.095108,27.265
61,2.97331,0.0840186,0.0839338,0.206345,0.341888,0.0955048,27.4595
62,3.05884,0.0857333,0.0855275,0.205643,0.348862,0.095871,27.6648
63,3.14631,0.0874829,0.0874713,0.204025,0.355988,0.0963135,27.8852
64,3.23553,0.0892683,0.0892149,0.201813,0.363251,0.096817,28.1173
65,3.32656,0.0910901,0.0910356,0.201813,0.370667,0.09729,28.3616
66,3.4195,0.0929491,0.0929388,0.202286,0.378235,0.0977173,28.6187
67,3.51409,0.094846,0.0945925,0.202744,0.385956,0.0982056,28.8845
68,3.61076,0.0967816,0.0966639,0.203323,0.393829,0.0987396,29.1643
69,3.70922,0.0987568,0.0984673,0.2043,0.401855,0.0992432,29.4537
70,3.80996,0.100772,0.100731,0.205231,0.410065,0.0997162,29.7587
71,3.91266,0.102829,0.102706,0.206558,0.418427,0.10022,30.0746
72,4.01743,0.104927,0.104768,0.207748,0.426971,0.100861,30.4021
73,4.12435,0.107069,0.106924,0.20874,0.435684,0.101425,30.7419
74,4.23353,0.109254,0.10918,0.209778,0.44458,0.101974,31.0948
75,4.3446,0.111483,0.111062,0.211227,0.453659,0.102524,31.4553
76,4.45812,0.113759,0.113519,0.212524,0.462906,0.103165,31.8306
77,4.57369,0.11608,0.115574,0.213654,0.472351,0.10376,32.2146
78,4.69195,0.118449,0.118262,0.21463,0.481995,0.104324,32.6156
79,4.81247,0.120867,0.120515,0.21579,0.491837,0.104874,33.0269
80,4.93533,0.123333,0.122866,0.217102,0.501877,0.105469,33.4494
81,5.06066,0.12585,0.125323,0.218292,0.512115,0.10614,33.884
82,5.18855,0.128419,0.127894,0.219482,0.522568,0.10675,34.3316
