"VanillaC4_019 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_VanillaC4\runs\VanillaC4_019.tcf]","Time (h)","Q 2 [VanillaC4_019]","Q 3 [VanillaC4_019]","Q 4 [VanillaC4_019]","Q 5 [VanillaC4_019]","Q 6 [VanillaC4_019]","Q 7 [VanillaC4_019]","Q 1 [VanillaC4_019]","Q  8 [VanillaC4_019]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -73.1504,          0.0003
           3,        0.016667,        -62.6590,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0011,        -76.4463,          0.0000
           4,        0.025000,        -70.2840,        -49.5117,          0.0000,          0.0000,          0.0000,          0.0001,        -77.4391,         -0.0003
           5,        0.033333,        -74.0249,        -62.8750,        -36.3459,          0.0000,         -0.0003,          0.0002,        -78.3328,          0.0009
           6,        0.041667,        -76.0630,        -69.0950,        -54.7825,        -33.1487,          0.0007,         -0.0006,        -78.8755,         -0.0001
           7,        0.050000,        -77.2592,        -72.6081,        -63.5616,        -50.6457,          0.0002,         -0.0000,        -79.2039,          0.0000
           8,        0.058333,        -78.0231,        -74.7735,        -68.6231,        -60.1367,        -39.7147,         -0.0003,        -79.4262,          0.0016
           9,        0.066667,        -78.5558,        -76.1903,        -71.8283,        -65.9665,        -51.3581,        -40.8971,        -79.5746,         -1.0465
          10,        0.075000,        -78.9169,        -77.1592,        -73.9789,        -69.7642,        -59.0900,        -51.8798,        -79.6879,        -45.5281
          11,        0.083333,        -79.1861,        -77.8622,        -75.4688,        -72.3770,        -64.4986,        -59.4139,        -79.7627,        -69.1454
          12,        0.091667,        -79.3846,        -78.3658,        -76.5473,        -74.2170,        -68.4477,        -67.7109,        -79.8193,        -72.7023
          13,        0.100000,        -79.5298,        -78.7448,        -77.3487,        -75.5638,        -71.2820,        -73.3651,        -79.8605,        -73.9804
          14,        0.108333,        -79.6343,        -79.0313,        -77.9434,        -76.5812,        -73.8345,        -74.7967,        -79.8964,        -74.7009
          15,        0.116667,        -79.7161,        -79.2485,        -78.4051,        -77.3542,        -75.9464,        -75.7359,        -79.9176,        -75.3784
          16,        0.125000,        -79.7792,        -79.4128,        -78.7573,        -77.9542,        -77.0362,        -76.4790,        -79.9346,        -76.0686
          17,        0.133333,        -79.8252,        -79.5397,        -79.0331,        -78.4288,        -77.6961,        -77.1012,        -79.9496,        -76.7166
          18,        0.141667,        -79.8622,        -79.6397,        -79.2456,        -78.8438,        -78.1902,        -77.6416,        -79.9585,        -77.3066
          19,        0.150000,        -79.8924,        -79.7148,        -79.4157,        -79.1521,        -78.5714,        -78.0975,        -79.9679,        -77.8171
          20,        0.158333,        -79.9158,        -79.7757,        -79.5580,        -79.3593,        -78.8727,        -78.4785,        -79.9751,        -78.2463
          21,        0.166667,        -79.9334,        -79.8245,        -79.6688,        -79.5063,        -79.1095,        -78.7839,        -79.9797,        -78.5981
