"VanillaC4_019 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_VanillaC4\runs\VanillaC4_019.tcf]","Time (h)","V 2 [VanillaC4_019]","V 3 [VanillaC4_019]","V 4 [VanillaC4_019]","V 5 [VanillaC4_019]","V 6 [VanillaC4_019]","V 7 [VanillaC4_019]","V 8 [VanillaC4_019]","V 9 [VanillaC4_019]","V 10 [VanillaC4_019]","V 11 [VanillaC4_019]","V 12 [VanillaC4_019]","V 13 [VanillaC4_019]","V 14 [VanillaC4_019]","V 15 [VanillaC4_019]","V 16 [VanillaC4_019]","V  1 [VanillaC4_019]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          3.4300,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          3.3249
           3,        0.016667,          2.7361,          2.3510,          2.9132,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          2.5962
           4,        0.025000,          2.4963,          2.1927,          2.6053,          2.6396,          2.6969,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          0.0000,          0.0001,          2.4173
           5,        0.033333,          2.3876,          2.1193,          2.4611,          2.4894,          2.5695,          1.9518,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0000,          0.0000,          2.3256
           6,        0.041667,          2.3207,          2.0690,          2.3797,          2.3963,          2.4682,          2.0408,          1.8543,          1.3514,          0.0001,          0.0002,          0.0001,          0.0001,          0.0000,          0.0001,          0.0000,          2.2674
           7,        0.050000,          2.2773,          2.0347,          2.3259,          2.3364,          2.3990,          2.0290,          1.9927,          1.7626,          1.3762,          0.0026,          0.0001,          0.0001,          0.0000,          0.0000,          0.0001,          2.2278
           8,        0.058333,          2.2476,          2.0120,          2.2875,          2.2953,          2.3501,          2.0104,          2.0070,          1.9103,          1.6836,          1.4313,          0.9273,          0.1871,          0.0001,          0.0000,          0.0000,          2.2003
           9,        0.066667,          2.2261,          1.9956,          2.2609,          2.2641,          2.3144,          1.9918,          2.0040,          1.9546,          1.8206,          1.6469,          1.2414,          1.1584,          1.0725,          0.7850,          0.0001,          2.1805
          10,        0.075000,          2.2105,          1.9830,          2.2412,          2.2419,          2.2876,          1.9765,          1.9922,          1.9667,          1.8795,          1.7578,          1.3658,          1.3811,          1.3741,          1.1038,          0.9848,          2.1665
          11,        0.083333,          2.1991,          1.9736,          2.2265,          2.2255,          2.2680,          1.9630,          1.9817,          1.9716,          1.9084,          1.8218,          1.4745,          1.5124,          1.5810,          1.4945,          1.6875,          2.1558
          12,        0.091667,          2.1904,          1.9666,          2.2153,          2.2128,          2.2532,          1.9534,          1.9742,          1.9697,          1.9249,          1.8629,          1.5499,          1.6427,          1.8287,          1.9108,          1.8382,          2.1478
          13,        0.100000,          2.1837,          1.9612,          2.2067,          2.2028,          2.2418,          1.9461,          1.9670,          1.9670,          1.9382,          1.8910,          1.6644,          1.8510,          2.0417,          1.9971,          1.9120,          2.1419
          14,        0.108333,          2.1785,          1.9568,          2.2000,          2.1954,          2.2330,          1.9400,          1.9617,          1.9678,          1.9473,          1.9269,          1.7811,          1.9373,          2.0972,          2.0360,          1.9443,          2.1373
          15,        0.116667,          2.1745,          1.9535,          2.1948,          2.1896,          2.2262,          1.9352,          1.9580,          1.9677,          1.9610,          1.9831,          1.8209,          1.9637,          2.1251,          2.0572,          1.9644,          2.1337
          16,        0.125000,          2.1714,          1.9509,          2.1907,          2.1849,          2.2209,          1.9316,          1.9556,          1.9688,          1.9866,          2.0125,          1.8361,          1.9787,          2.1411,          2.0724,          1.9812,          2.1310
          17,        0.133333,          2.1690,          1.9489,          2.1875,          2.1812,          2.2168,          1.9290,          1.9539,          1.9765,          2.0020,          2.0235,          1.8448,          1.9881,          2.1515,          2.0844,          1.9964,          2.1288
          18,        0.141667,          2.1671,          1.9472,          2.1849,          2.1784,          2.2135,          1.9269,          1.9541,          1.9836,          2.0083,          2.0294,          1.8506,          1.9946,          2.1591,          2.0945,          2.0095,          2.1270
          19,        0.150000,          2.1656,          1.9460,          2.1829,          2.1761,          2.2110,          1.9257,          1.9563,          1.9869,          2.0114,          2.0328,          1.8549,          1.9996,          2.1648,          2.1030,          2.0206,          2.1257
          20,        0.158333,          2.1645,          1.9450,          2.1814,          2.1744,          2.2093,          1.9255,          1.9576,          1.9883,          2.0130,          2.0349,          1.8580,          2.0036,          2.1696,          2.1102,          2.0300,          2.1248
          21,        0.166667,          2.1636,          1.9442,          2.1802,          2.1732,          2.2084,          1.9257,          1.9580,          1.9889,          2.0139,          2.0363,          1.8605,          2.0068,          2.1735,          2.1160,          2.0377,          2.1240
          22,        0.175000,          2.1629,          1.9436,          2.1794,          2.1725,          2.2079,          1.9258,          1.9581,          1.9892,          2.0145,          2.0372,          1.8625,          2.0094,          2.1802,          2.1367,          2.0472,          2.1233
          23,        0.183333,          2.1623,          1.9431,          2.1787,          2.1719,          2.2075,          1.9257,          1.9580,          1.9894,          2.0148,          2.0378,          1.8643,          2.0124,          2.1800,          2.1238,          2.0526,          2.1228
          24,        0.191667,          2.1618,          1.9428,          2.1783,          2.1716,          2.2071,          1.9255,          1.9580,          1.9894,          2.0151,          2.0383,          1.8659,          2.0128,          2.1816,          2.1264,          2.0522,          2.1224
          25,        0.200000,          2.1615,          1.9425,          2.1780,          2.1713,          2.2068,          1.9254,          1.9579,          1.9893,          2.0152,          2.0390,          1.8663,          2.0145,          2.1823,          2.1286,          2.0556,          2.1221
          26,        0.208333,          2.1612,          1.9424,          2.1777,          2.1710,          2.2065,          1.9252,          1.9578,          1.9893,          2.0154,          2.0391,          1.8671,          2.0155,          2.1837,          2.1304,          2.0581,          2.1218
          27,        0.216667,          2.1611,          1.9423,          2.1776,          2.1708,          2.2063,          1.9251,          1.9577,          1.9893,          2.0154,          2.0393,          1.8678,          2.0161,          2.1844,          2.1318,          2.0602,          2.1217
          28,        0.225000,          2.1609,          1.9422,          2.1774,          2.1707,          2.2061,          1.9250,          1.9576,          1.9893,          2.0154,          2.0395,          1.8681,          2.0167,          2.1852,          2.1330,          2.0618,          2.1215
          29,        0.233333,          2.1609,          1.9421,          2.1773,          2.1705,          2.2060,          1.9249,          1.9575,          1.9892,          2.0155,          2.0396,          1.8685,          2.0172,          2.1857,          2.1340,          2.0631,          2.1214
          30,        0.241667,          2.1608,          1.9420,          2.1772,          2.1704,          2.2059,          1.9248,          1.9574,          1.9892,          2.0155,          2.0397,          1.8689,          2.0176,          2.1861,          2.1346,          2.0641,          2.1214
