"OutphaseC4_007 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Outphase\runs\OutphaseC4_007.tcf]","Time (h)","Q 2 [OutphaseC4_007]","Q 3 [OutphaseC4_007]","Q 4 [OutphaseC4_007]","Q 5 [OutphaseC4_007]","Q 6 [OutphaseC4_007]","Q 7 [OutphaseC4_007]","Q 1 [OutphaseC4_007]","Q  8 [OutphaseC4_007]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           3,        0.016667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.3508,          0.0000
           4,        0.025000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.9688,          0.0000
           5,        0.033333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -1.4733,          0.0000
           6,        0.041667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -1.9096,          0.0000
           7,        0.050000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -2.4213,          0.0000
           8,        0.058333,         -0.7028,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -2.9290,          0.0000
           9,        0.066667,         -1.5700,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -3.5438,          0.0000
          10,        0.075000,         -2.4380,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -4.1188,          0.0000
          11,        0.083333,         -3.2484,         -0.7991,          0.0000,          0.0000,          0.0000,          0.0000,         -4.6800,          0.0000
          12,        0.091667,         -3.9760,         -1.3870,          0.0000,          0.0000,          0.0000,          0.0000,         -5.1109,          0.0000
          13,        0.100000,         -4.5919,         -1.5720,          0.0000,          0.0000,          0.0000,          0.0000,         -5.5029,          0.0000
          14,        0.108333,         -5.1048,         -1.9038,          0.0000,          0.0000,          0.0000,          0.0000,         -5.8515,          0.0000
          15,        0.116667,         -5.5217,         -2.1270,          0.0000,          0.0000,          0.0000,          0.0000,         -6.0869,          0.0000
          16,        0.125000,         -5.8497,         -2.3373,          0.0000,          0.0000,          0.0000,          0.0000,         -6.2971,          0.0000
          17,        0.133333,         -6.1144,         -2.5226,          0.0000,          0.0000,          0.0000,          0.0000,         -6.4673,          0.0000
          18,        0.141667,         -6.3171,         -2.6628,          0.0000,          0.0000,          0.0000,          0.0000,         -6.5837,          0.0000
          19,        0.150000,         -6.4707,         -2.7752,          0.0000,          0.0000,          0.0000,          0.0000,         -6.6868,          0.0000
          20,        0.158333,         -6.6027,         -2.8643,          0.0000,          0.0000,          0.0000,          0.0000,         -6.7471,          0.0000
          21,        0.166667,         -6.6893,         -2.9497,          0.0000,          0.0000,          0.0000,          0.0000,         -6.8301,          0.0000
          22,        0.175000,         -6.7659,         -3.0394,          0.0000,          0.0000,          0.0000,          0.0000,         -6.8359,          0.0000
          23,        0.183333,         -6.8224,         -3.1423,          0.0000,          0.0000,          0.0000,          0.0000,         -6.9009,          0.0000
          24,        0.191667,         -6.8611,         -3.2561,         -0.0917,          0.0000,          0.0000,          0.0000,         -6.9177,          0.0000
          25,        0.200000,         -6.8975,         -3.4020,         -0.3562,          0.0000,          0.0000,          0.0000,         -6.9342,          0.0000
          26,        0.208333,         -6.9186,         -3.5809,         -0.6611,          0.0000,          0.0000,          0.0000,         -6.9659,          0.0000
          27,        0.216667,         -6.9413,         -3.7823,         -1.0158,         -0.0001,          0.0000,          0.0000,         -6.9419,          0.0000
