"InphaseC4_006 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_InphaseC4\runs\InphaseC4_006.tcf]","Time (h)","Q 2 [InphaseC4_006]","Q 3 [InphaseC4_006]","Q 4 [InphaseC4_006]","Q 5 [InphaseC4_006]","Q 6 [InphaseC4_006]","Q 7 [InphaseC4_006]","Q 1 [InphaseC4_006]","Q  8 [InphaseC4_006]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -3.5390,         -0.0000
           3,        0.016667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0000,         -5.9546,         -0.0003
           4,        0.025000,         -3.9030,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0003,         -5.9902,          0.0004
           5,        0.033333,         -2.6960,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003,         -6.0009,          0.0012
           6,        0.041667,         -2.7139,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0005,         -6.0011,          0.0005
           7,        0.050000,         -3.3694,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0001,         -5.9999,          0.0000
           8,        0.058333,         -3.2369,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0003,         -5.9995,         -0.0006
           9,        0.066667,         -3.2070,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0006,         -6.0020,         -0.0006
          10,        0.075000,         -3.5629,         -0.0020,          0.0000,          0.0000,          0.0000,         -0.0008,         -5.8668,         -0.0006
          11,        0.083333,         -3.8339,         -0.6391,          0.0000,          0.0000,          0.0000,         -0.0000,         -5.7996,          0.0005
          12,        0.091667,         -4.0099,         -1.3598,          0.0000,          0.0000,          0.0000,          0.0006,         -5.7442,          0.0003
          13,        0.100000,         -4.3041,         -2.0408,         -0.0002,          0.0000,          0.0000,         -0.0005,         -5.7450,          0.0000
          14,        0.108333,         -4.6204,         -2.6885,         -1.2106,          0.0000,          0.0000,         -0.0002,         -5.7615,          0.0007
          15,        0.116667,         -4.8699,         -3.2972,         -1.5359,          0.0000,          0.0000,         -0.0001,         -5.7927,          0.0009
          16,        0.125000,         -5.0640,         -3.8149,         -1.8506,          0.0000,          0.0000,         -0.0003,         -5.8153,         -0.0016
          17,        0.133333,         -5.2561,         -4.2451,         -2.2930,          0.0000,          0.0000,         -0.0001,         -5.8437,          0.0003
