"Time (h)    ","1D and 2D:  ","H Vol In    ","H Vol Out   ","Q Vol In    ","Q Vol Out   ","Tot Vol In  ","Tot Vol Out ","Vol I-O     ","dVol        ","Vol Err     ","Q ME (%)    ","Vol I+O     ","Tot Vol     ","Cum Vol I+O ","Cum Vol Err ","Cum ME (%)  ","Cum Q ME (%)"
         0.000,              ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  204.9802    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    
         4.000,              ,  2.202432    ,  124493.8    ,  144000.0    ,  0.000000    ,  144002.2    ,  124493.8    ,  19508.42    ,  19508.43    , 0.2850963E-02, 0.1061827E-05,  268496.0    ,  19713.41    ,  268496.0    , 0.2850963E-02, 0.1061827E-05, 0.1061827E-05
         4.500,              ,  0.000000    ,  18000.00    ,  18000.00    ,  0.000000    ,  18000.00    ,  18000.00    , 0.1271486E-02,  0.000000    ,-0.1271486E-02,-0.3531906E-05,  36000.00    ,  19713.41    ,  304496.0    , 0.1579477E-02, 0.5187185E-06, 0.5187185E-06
         5.000,              ,  0.000000    ,  18000.00    ,  18000.00    ,  0.000000    ,  18000.00    ,  18000.00    , 0.1265526E-02, 0.1953125E-02, 0.6875992E-03, 0.1909998E-05,  36000.00    ,  19713.41    ,  340496.0    , 0.2267076E-02, 0.6658158E-06, 0.6658158E-06
         5.500,              ,  0.000000    ,  18000.00    ,  18000.00    ,  0.000000    ,  18000.00    ,  18000.00    ,-0.3638268E-03,-0.3906250E-02,-0.3542423E-02,-0.9840065E-05,  36000.00    ,  19713.40    ,  376496.0    ,-0.1275347E-02,-0.3387412E-06,-0.3387412E-06
         6.000,              ,  0.000000    ,  18000.00    ,  18000.00    ,  0.000000    ,  18000.00    ,  18000.00    , 0.4496574E-03,  0.000000    ,-0.4496574E-03,-0.1249048E-05,  36000.00    ,  19713.40    ,  412496.0    ,-0.1725004E-02,-0.4181869E-06,-0.4181869E-06
         6.000,              ,  0.000000    ,  1.253155    ,  1.253128    ,  0.000000    ,  1.253128    ,  1.253155    ,-0.2706051E-04, 0.1953125E-02, 0.1980186E-02, 0.7900886E-01,  2.506283    ,  19713.41    ,  412498.5    , 0.2551811E-03, 0.6186232E-07, 0.6186232E-07
