"OutphaseC4_010","Location","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow"
"F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Outphase\runs\OutphaseC4_010.tcf","Time","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"," 1","2","3","4","5","6","7","1"," 8"
"F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Outphase\results\010\OutphaseC4_010_POMM.csv","Maximum (Extracted from Time Series)",          1.0678,          0.0000,          1.9315,          0.4296,          0.6599,          0.0000,          0.7295,          0.1792,          0.8214,          0.7444,          0.7453,          0.2277,          0.4869,          1.8290,          2.5553,          0.8349,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
"","Time of Maximum",          5.0250,          0.0000,          0.0917,          0.2500,          0.5250,          0.0000,          4.5000,          0.6000,          0.9417,          0.5000,          1.4667,          0.7417,          0.7417,          4.9000,          4.9333,          0.0083,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
"","Minimum (Extracted From Time Series)",          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -10.0135,        -10.0123,        -10.0042,        -10.0047,        -10.0012,        -10.0019,        -10.2095,        -10.0004
"","Time of Minimum",          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          4.5000,          2.4750,          5.0833,          4.3417,          5.6417,          2.3667,          5.1417,          4.5583
