"OutphaseC4_011 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Outphase\runs\OutphaseC4_011.tcf]","Time (h)","Q 2 [OutphaseC4_011]","Q 3 [OutphaseC4_011]","Q 4 [OutphaseC4_011]","Q 5 [OutphaseC4_011]","Q 6 [OutphaseC4_011]","Q 7 [OutphaseC4_011]","Q 1 [OutphaseC4_011]","Q  8 [OutphaseC4_011]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.6842,          0.0000
           3,        0.016667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -1.8529,          0.0000
           4,        0.025000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -3.3911,          0.0000
           5,        0.033333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -4.2012,          0.0000
           6,        0.041667,         -1.7628,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -5.6524,          0.0000
           7,        0.050000,         -3.6929,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -6.8650,          0.0000
           8,        0.058333,         -5.5173,         -0.8092,          0.0000,          0.0000,          0.0000,          0.0000,         -8.0294,          0.0000
           9,        0.066667,         -7.0161,         -2.8798,          0.0000,          0.0000,          0.0000,          0.0000,         -8.9659,          0.0000
          10,        0.075000,         -8.3026,         -3.0808,          0.0000,          0.0000,          0.0000,          0.0000,         -9.7151,          0.0000
          11,        0.083333,         -9.2391,         -3.8415,          0.0000,          0.0000,          0.0000,          0.0000,        -10.4131,          0.0000
          12,        0.091667,        -10.0109,         -4.2860,          0.0000,          0.0000,          0.0000,          0.0000,        -10.7709,          0.0000
          13,        0.100000,        -10.5349,         -4.5680,          0.0000,          0.0000,          0.0000,          0.0000,        -11.1570,          0.0000
          14,        0.108333,        -10.9572,         -4.9550,          0.0000,          0.0000,          0.0000,          0.0000,        -11.3512,          0.0000
          15,        0.116667,        -11.2361,         -5.1556,          0.0000,          0.0000,          0.0000,          0.0000,        -11.5310,          0.0000
          16,        0.125000,        -11.4599,         -5.4414,          0.0000,          0.0000,          0.0000,          0.0000,        -11.6829,          0.0000
          17,        0.133333,        -11.6162,         -5.7782,         -0.4839,          0.0000,          0.0000,          0.0000,        -11.7500,          0.0000
          18,        0.141667,        -11.7116,         -6.1575,         -1.1753,          0.0000,          0.0000,          0.0000,        -11.8664,          0.0000
          19,        0.150000,        -11.8133,         -6.5879,         -1.9674,          0.0000,          0.0000,          0.0000,        -11.8457,          0.0000
          20,        0.158333,        -11.8463,         -7.0511,         -2.8309,         -1.4428,          0.0000,          0.0000,        -11.9327,          0.0000
          21,        0.166667,        -11.9062,         -7.5335,         -3.7185,         -2.4816,          0.0000,          0.0000,        -11.9281,          0.0000
          22,        0.175000,        -11.9233,         -7.9919,         -4.5824,         -3.1932,          0.0000,          0.0000,        -11.9484,          0.0000
          23,        0.183333,        -11.9476,         -8.4425,         -5.4196,         -3.6335,          0.0000,          0.0000,        -11.9750,          0.0000
          24,        0.191667,        -11.9670,         -8.8409,         -6.1903,         -4.2077,          0.0000,          0.0000,        -11.9650,          0.0000
          25,        0.200000,        -11.9665,         -9.2473,         -6.9063,         -4.6390,          0.0000,          0.0000,        -12.0123,          0.0000
          26,        0.208333,        -11.9893,         -9.5754,         -7.5506,         -5.0627,          0.0000,          0.0000,        -11.9697,          0.0000
          27,        0.216667,        -11.9809,         -9.9116,         -8.1313,         -5.4171,          0.0000,          0.0000,        -12.0160,          0.0000
          28,        0.225000,        -11.9938,        -10.1715,         -8.6463,         -5.7310,          0.0000,          0.0000,        -11.9738,          0.0000
          29,        0.233333,        -11.9925,        -10.4226,         -9.0980,         -6.0229,          0.0000,          0.0000,        -11.9960,          0.0000
          30,        0.241667,        -11.9926,        -10.6318,         -9.4973,         -6.3061,          0.0000,          0.0000,        -12.0114,          0.0000
          31,        0.250000,        -12.0009,        -10.8201,         -9.8419,         -6.5573,          0.0000,          0.0000,        -11.9832,          0.0000
