"OutphaseC4_014 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Outphase\runs\OutphaseC4_014.tcf]","Time (h)","Q 2 [OutphaseC4_014]","Q 3 [OutphaseC4_014]","Q 4 [OutphaseC4_014]","Q 5 [OutphaseC4_014]","Q 6 [OutphaseC4_014]","Q 7 [OutphaseC4_014]","Q 1 [OutphaseC4_014]","Q  8 [OutphaseC4_014]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -9.2958,          0.0000
           3,        0.016667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -11.4762,          0.0000
           4,        0.025000,         -6.6043,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -15.0563,          0.0000
           5,        0.033333,        -12.9293,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -20.0101,          0.0000
           6,        0.041667,        -18.8182,         -9.6681,          0.0000,          0.0000,          0.0000,          0.0000,        -23.4843,          0.0000
           7,        0.050000,        -22.4143,         -9.9818,          0.0000,          0.0000,          0.0000,          0.0000,        -25.1162,          0.0000
           8,        0.058333,        -25.2286,        -12.0604,          0.0000,          0.0000,          0.0000,          0.0000,        -27.4780,          0.0000
           9,        0.066667,        -26.8567,        -13.7769,          0.0000,          0.0000,          0.0000,          0.0000,        -28.0146,          0.0000
          10,        0.075000,        -28.0308,        -14.6768,         -2.4694,          0.0000,          0.0000,          0.0000,        -29.0131,          0.0000
          11,        0.083333,        -28.7804,        -16.5479,         -5.4196,          0.0000,          0.0000,          0.0000,        -29.4041,          0.0000
          12,        0.091667,        -29.1425,        -18.3378,         -8.7111,         -5.1090,          0.0000,          0.0000,        -29.4206,          0.0000
          13,        0.100000,        -29.5691,        -19.9693,        -11.8808,         -8.7420,          0.0000,          0.0000,        -29.7270,          0.0000
          14,        0.108333,        -29.6243,        -21.6482,        -14.7795,        -10.1187,          0.0000,          0.0000,        -29.7749,          0.0000
          15,        0.116667,        -29.8667,        -22.9527,        -17.3304,        -11.8164,          0.0000,          0.0000,        -29.9649,          0.0000
          16,        0.125000,        -29.8550,        -24.1857,        -19.5102,        -13.2582,          0.0000,          0.0000,        -29.7783,          0.0000
          17,        0.133333,        -29.9450,        -25.1854,        -21.3787,        -14.3601,          0.0000,          0.0000,        -30.0606,          0.0000
          18,        0.141667,        -29.9651,        -26.0527,        -22.9031,        -15.6567,          0.0000,          0.0000,        -30.0291,          0.0000
          19,        0.150000,        -29.9502,        -26.7403,        -24.2156,        -16.9117,         -1.8486,          0.0000,        -29.9353,          0.0000
          20,        0.158333,        -29.9937,        -27.3578,        -25.2464,        -18.2968,         -4.4653,          0.0000,        -30.0645,          0.0000
