"VanillaC4_002 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_VanillaC4\runs\VanillaC4_002.tcf]","Time (h)","Q 2 [VanillaC4_002]","Q 3 [VanillaC4_002]","Q 4 [VanillaC4_002]","Q 5 [VanillaC4_002]","Q 6 [VanillaC4_002]","Q 7 [VanillaC4_002]","Q 1 [VanillaC4_002]","Q  8 [VanillaC4_002]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           3,        0.016667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -1.1196,         -0.0000
           4,        0.025000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -1.6368,          0.0001
           5,        0.033333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -1.8198,          0.0002
           6,        0.041667,         -0.8551,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -1.8963,         -0.0001
           7,        0.050000,         -1.3912,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -1.9370,          0.0001
           8,        0.058333,         -1.6402,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -1.9612,          0.0002
           9,        0.066667,         -1.7777,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -1.9753,         -0.0000
          10,        0.075000,         -1.8556,         -0.2381,          0.0000,          0.0000,          0.0000,          0.0000,         -1.9842,          0.0002
          11,        0.083333,         -1.9041,         -1.0681,          0.0000,          0.0000,          0.0000,          0.0000,         -1.9896,          0.0002
          12,        0.091667,         -1.9361,         -1.4187,          0.0000,          0.0000,          0.0000,          0.0000,         -1.9931,         -0.0000
          13,        0.100000,         -1.9570,         -1.6188,          0.0000,          0.0000,          0.0000,          0.0000,         -1.9957,          0.0001
          14,        0.108333,         -1.9710,         -1.7448,          0.0000,          0.0000,          0.0000,          0.0000,         -1.9970,          0.0001
          15,        0.116667,         -1.9803,         -1.8248,         -0.4080,          0.0000,          0.0000,          0.0000,         -1.9979,         -0.0001
          16,        0.125000,         -1.9866,         -1.8772,         -1.0727,          0.0000,          0.0000,          0.0000,         -1.9986,          0.0001
          17,        0.133333,         -1.9909,         -1.9143,         -1.3927,          0.0000,          0.0000,          0.0000,         -1.9990,          0.0001
          18,        0.141667,         -1.9936,         -1.9401,         -1.5862,          0.0000,          0.0000,          0.0000,         -1.9993,         -0.0001
          19,        0.150000,         -1.9972,         -1.9581,         -1.7138,         -0.2123,          0.0000,          0.0000,         -1.9995,          0.0001
          20,        0.158333,         -1.9969,         -1.9712,         -1.7978,         -0.9840,          0.0000,          0.0000,         -1.9997,          0.0001
          21,        0.166667,         -1.9977,         -1.9787,         -1.8547,         -1.3273,          0.0000,          0.0000,         -1.9999,         -0.0001
          22,        0.175000,         -1.9984,         -1.9849,         -1.8966,         -1.5346,          0.0000,          0.0000,         -1.9998,          0.0004
          23,        0.183333,         -1.9990,         -1.9893,         -1.9259,         -1.6750,          0.0000,          0.0000,         -2.0000,         -0.0005
          24,        0.191667,         -1.9992,         -1.9924,         -1.9465,         -1.7685,          0.0000,          0.0000,         -1.9998,         -0.0005
          25,        0.200000,         -1.9994,         -1.9947,         -1.9615,         -1.8320,          0.0000,          0.0000,         -1.9999,          0.0001
          26,        0.208333,         -1.9997,         -1.9962,         -1.9723,         -1.8770,          0.0000,          0.0000,         -2.0001,          0.0000
          27,        0.216667,         -1.9997,         -1.9974,         -1.9802,         -1.9106,         -0.5477,          0.0000,         -2.0000,          0.0002
