"VanillaC4_007 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_VanillaC4\runs\VanillaC4_007.tcf]","Time (h)","V 2 [VanillaC4_007]","V 3 [VanillaC4_007]","V 4 [VanillaC4_007]","V 5 [VanillaC4_007]","V 6 [VanillaC4_007]","V 7 [VanillaC4_007]","V 8 [VanillaC4_007]","V 9 [VanillaC4_007]","V 10 [VanillaC4_007]","V 11 [VanillaC4_007]","V 12 [VanillaC4_007]","V 13 [VanillaC4_007]","V 14 [VanillaC4_007]","V 15 [VanillaC4_007]","V 16 [VanillaC4_007]","V  1 [VanillaC4_007]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          1.4082
           3,        0.016667,          1.3015,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          1.2154
           4,        0.025000,          1.2016,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          1.1354
           5,        0.033333,          1.1449,          0.3869,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          1.0981
           6,        0.041667,          1.1149,          0.5108,          1.0475,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          1.0758
           7,        0.050000,          1.0941,          0.5451,          1.0469,          0.8780,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0002,          0.0001,          1.0605
           8,        0.058333,          1.0814,          0.5608,          1.0348,          1.0008,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          1.0509
           9,        0.066667,          1.0726,          0.5688,          1.0239,          1.0045,          1.0608,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          1.0451
          10,        0.075000,          1.0667,          0.5728,          1.0157,          0.9991,          1.0642,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          1.0409
          11,        0.083333,          1.0627,          0.5758,          1.0097,          0.9930,          1.0570,          0.2631,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0007,          0.0001,          0.0001,          1.0382
          12,        0.091667,          1.0599,          0.5774,          1.0051,          0.9896,          1.0509,          0.4437,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0004,          0.0002,          0.0000,          1.0363
          13,        0.100000,          1.0579,          0.5784,          1.0014,          0.9859,          1.0438,          0.4971,          0.3588,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0001,          0.0002,          1.0348
          14,        0.108333,          1.0565,          0.5792,          0.9987,          0.9829,          1.0396,          0.5289,          0.5047,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0001,          0.0001,          1.0338
          15,        0.116667,          1.0554,          0.5797,          0.9968,          0.9804,          1.0360,          0.5466,          0.5616,          0.4681,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0000,          1.0332
          16,        0.125000,          1.0547,          0.5801,          0.9954,          0.9785,          1.0330,          0.5574,          0.5879,          0.5736,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0002,          0.0001,          1.0327
          17,        0.133333,          1.0542,          0.5803,          0.9944,          0.9770,          1.0306,          0.5645,          0.6038,          0.6233,          0.5484,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          1.0323
          18,        0.141667,          1.0538,          0.5804,          0.9936,          0.9761,          1.0287,          0.5693,          0.6148,          0.6482,          0.6408,          0.4923,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          1.0321
          19,        0.150000,          1.0534,          0.5805,          0.9931,          0.9753,          1.0274,          0.5727,          0.6223,          0.6632,          0.6787,          0.6625,          0.0000,          0.0000,          0.0002,          0.0001,          0.0000,          1.0319
          20,        0.158333,          1.0533,          0.5806,          0.9926,          0.9748,          1.0265,          0.5750,          0.6272,          0.6733,          0.7017,          0.7176,          0.0000,          0.0000,          0.0001,          0.0002,          0.0000,          1.0318
          21,        0.166667,          1.0531,          0.5807,          0.9922,          0.9743,          1.0257,          0.5768,          0.6306,          0.6793,          0.7127,          0.7407,          0.0200,          0.2642,          0.0000,          0.0001,          0.0000,          1.0317
          22,        0.175000,          1.0530,          0.5808,          0.9920,          0.9739,          1.0251,          0.5781,          0.6330,          0.6833,          0.7210,          0.7553,          0.3171,          0.6325,          1.0003,          0.0001,          0.0001,          1.0316
          23,        0.183333,          1.0529,          0.5808,          0.9917,          0.9737,          1.0247,          0.5790,          0.6343,          0.6862,          0.7267,          0.7651,          0.4077,          0.6972,          1.0424,          0.4416,          0.0000,          1.0316
          24,        0.191667,          1.0528,          0.5808,          0.9916,          0.9735,          1.0244,          0.5796,          0.6355,          0.6881,          0.7304,          0.7711,          0.4378,          0.7284,          1.0491,          0.7642,          0.2085,          1.0315
          25,        0.200000,          1.0528,          0.5808,          0.9915,          0.9733,          1.0241,          0.5802,          0.6363,          0.6894,          0.7330,          0.7748,          0.4608,          0.7451,          1.0502,          0.8728,          0.4564,          1.0315
          26,        0.208333,          1.0527,          0.5808,          0.9914,          0.9732,          1.0238,          0.5806,          0.6370,          0.6906,          0.7347,          0.7773,          0.4775,          0.7555,          1.0501,          0.9206,          0.7475,          1.0315
          27,        0.216667,          1.0528,          0.5808,          0.9913,          0.9731,          1.0237,          0.5809,          0.6374,          0.6914,          0.7360,          0.7790,          0.4894,          0.7638,          1.0488,          0.9577,          0.8311,          1.0315
          28,        0.225000,          1.0527,          0.5808,          0.9913,          0.9731,          1.0235,          0.5811,          0.6377,          0.6920,          0.7369,          0.7802,          0.4976,          0.7686,          1.0489,          0.9920,          0.8773,          1.0315
          29,        0.233333,          1.0527,          0.5808,          0.9912,          0.9730,          1.0234,          0.5812,          0.6380,          0.6925,          0.7377,          0.7810,          0.5038,          0.7718,          1.0497,          1.0058,          0.9110,          1.0314
          30,        0.241667,          1.0527,          0.5808,          0.9912,          0.9730,          1.0234,          0.5812,          0.6381,          0.6927,          0.7382,          0.7817,          0.5081,          0.7745,          1.0513,          1.0136,          0.9368,          1.0314
          31,        0.250000,          1.0527,          0.5808,          0.9912,          0.9729,          1.0233,          0.5814,          0.6383,          0.6930,          0.7386,          0.7824,          0.5114,          0.7768,          1.0519,          1.0185,          0.9561,          1.0314
          32,        0.258333,          1.0527,          0.5809,          0.9913,          0.9729,          1.0233,          0.5814,          0.6384,          0.6932,          0.7388,          0.7827,          0.5117,          0.7782,          1.0521,          1.0219,          0.9702,          1.0314
          33,        0.266667,          1.0527,          0.5808,          0.9912,          0.9729,          1.0232,          0.5815,          0.6384,          0.6933,          0.7390,          0.7829,          0.5134,          0.7794,          1.0522,          1.0244,          0.9806,          1.0314
          34,        0.275000,          1.0527,          0.5808,          0.9912,          0.9729,          1.0232,          0.5815,          0.6384,          0.6934,          0.7392,          0.7831,          0.5147,          0.7804,          1.0525,          1.0263,          0.9882,          1.0314
          35,        0.283333,          1.0527,          0.5808,          0.9912,          0.9728,          1.0232,          0.5815,          0.6385,          0.6935,          0.7392,          0.7834,          0.5157,          0.7810,          1.0528,          1.0277,          0.9939,          1.0314
          36,        0.291667,          1.0527,          0.5808,          0.9912,          0.9728,          1.0232,          0.5815,          0.6385,          0.6936,          0.7393,          0.7834,          0.5164,          0.7817,          1.0529,          1.0288,          0.9980,          1.0314
          37,        0.300000,          1.0527,          0.5808,          0.9912,          0.9728,          1.0232,          0.5816,          0.6386,          0.6936,          0.7394,          0.7835,          0.5170,          0.7820,          1.0530,          1.0297,          1.0014,          1.0314
          38,        0.308333,          1.0527,          0.5808,          0.9912,          0.9728,          1.0231,          0.5815,          0.6385,          0.6937,          0.7394,          0.7836,          0.5174,          0.7823,          1.0530,          1.0304,          1.0038,          1.0314
          39,        0.316667,          1.0527,          0.5808,          0.9912,          0.9728,          1.0231,          0.5816,          0.6386,          0.6937,          0.7394,          0.7837,          0.5177,          0.7826,          1.0531,          1.0309,          1.0060,          1.0314
