"OutphaseC4_020 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Outphase\runs\OutphaseC4_020.tcf]","Time (h)","Q 2 [OutphaseC4_020]","Q 3 [OutphaseC4_020]","Q 4 [OutphaseC4_020]","Q 5 [OutphaseC4_020]","Q 6 [OutphaseC4_020]","Q 7 [OutphaseC4_020]","Q 1 [OutphaseC4_020]","Q  8 [OutphaseC4_020]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -38.6562,         -0.0000
           3,        0.016667,        -32.2730,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0000,        -60.6063,          0.0007
           4,        0.025000,        -55.2028,        -35.7081,          0.0000,          0.0000,          0.0000,         -0.0001,        -69.8088,          0.0008
           5,        0.033333,        -70.2438,        -39.3979,          0.0000,          0.0000,          0.0000,          0.0000,        -78.6799,         -0.0000
           6,        0.041667,        -77.2170,        -44.3114,        -12.2654,          0.0000,          0.0000,         -0.0004,        -83.7412,         -0.0023
           7,        0.050000,        -82.2781,        -52.7157,        -26.8415,        -16.6275,          0.0000,          0.0001,        -86.1690,          0.0012
           8,        0.058333,        -85.3639,        -60.9809,        -40.9121,        -30.0011,          0.0000,         -0.0003,        -87.8667,         -0.0008
           9,        0.066667,        -87.3227,        -68.0574,        -52.0988,        -35.9436,          0.0000,          0.0000,        -88.6994,         -0.0024
          10,        0.075000,        -88.4351,        -73.6240,        -60.7990,        -42.8893,         -1.9816,         -0.0004,        -89.2648,          0.0011
          11,        0.083333,        -89.0900,        -77.6148,        -67.2349,        -49.2361,        -14.1367,         -0.0004,        -89.5842,         -0.0016
          12,        0.091667,        -89.4795,        -80.4518,        -72.1087,        -55.9704,        -25.9092,         -6.0518,        -89.7543,         -0.0005
          13,        0.100000,        -89.6921,        -82.6053,        -75.9945,        -62.1270,        -37.1154,         -8.9748,        -89.8599,          0.0009
          14,        0.108333,        -89.8382,        -84.2886,        -79.0989,        -67.3753,        -46.7620,        -16.4798,        -89.9161,         -4.9378
          15,        0.116667,        -89.8920,        -85.5542,        -81.5481,        -72.0692,        -54.7713,        -24.3391,        -89.9527,        -13.0563
          16,        0.125000,        -89.9054,        -86.5437,        -83.4501,        -75.7591,        -61.1557,        -32.6720,        -89.9728,        -20.8525
          17,        0.133333,        -89.9010,        -87.3230,        -84.9311,        -78.6410,        -65.7665,        -40.8785,        -89.9825,        -30.6231
          18,        0.141667,        -89.9372,        -87.9235,        -86.0728,        -80.9170,        -69.4875,        -48.4025,        -89.9916,        -39.6814
