"OutphaseC4_007 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_OutphaseC4\runs\OutphaseC4_007.tcf]","Time (h)","Q 2 [OutphaseC4_007]","Q 3 [OutphaseC4_007]","Q 4 [OutphaseC4_007]","Q 5 [OutphaseC4_007]","Q 6 [OutphaseC4_007]","Q 7 [OutphaseC4_007]","Q 1 [OutphaseC4_007]","Q  8 [OutphaseC4_007]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           3,        0.016667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.3292,          0.0000
           4,        0.025000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -1.0276,          0.0000
           5,        0.033333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -1.4487,          0.0000
           6,        0.041667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -1.9221,          0.0000
           7,        0.050000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -2.3787,          0.0000
           8,        0.058333,         -0.7006,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -2.9621,          0.0000
           9,        0.066667,         -1.5695,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -3.5432,          0.0000
          10,        0.075000,         -2.4351,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -4.1079,          0.0000
          11,        0.083333,         -3.2508,         -0.7948,          0.0000,          0.0000,          0.0000,          0.0000,         -4.6743,          0.0000
          12,        0.091667,         -3.9753,         -1.3863,          0.0000,          0.0000,          0.0000,          0.0000,         -5.0991,          0.0000
          13,        0.100000,         -4.5926,         -1.5721,          0.0000,          0.0000,          0.0000,          0.0000,         -5.5182,          0.0000
          14,        0.108333,         -5.1031,         -1.9031,          0.0000,          0.0000,          0.0000,          0.0000,         -5.8154,          0.0000
          15,        0.116667,         -5.5276,         -2.1284,          0.0000,          0.0000,          0.0000,          0.0000,         -6.0910,          0.0000
          16,        0.125000,         -5.8468,         -2.3375,          0.0000,          0.0000,          0.0000,          0.0000,         -6.2861,          0.0000
          17,        0.133333,         -6.1164,         -2.5232,          0.0000,          0.0000,          0.0000,          0.0000,         -6.4506,          0.0000
          18,        0.141667,         -6.3154,         -2.6612,          0.0000,          0.0000,          0.0000,          0.0000,         -6.5949,          0.0000
          19,        0.150000,         -6.4740,         -2.7747,          0.0000,          0.0000,          0.0000,          0.0000,         -6.6796,          0.0000
          20,        0.158333,         -6.6021,         -2.8647,          0.0000,          0.0000,          0.0000,          0.0000,         -6.7648,          0.0000
          21,        0.166667,         -6.6897,         -2.9481,          0.0000,          0.0000,          0.0000,          0.0000,         -6.8210,          0.0000
          22,        0.175000,         -6.7685,         -3.0404,          0.0000,          0.0000,          0.0000,          0.0000,         -6.8394,          0.0000
          23,        0.183333,         -6.8164,         -3.1408,          0.0000,          0.0000,          0.0000,          0.0000,         -6.9043,          0.0000
          24,        0.191667,         -6.8656,         -3.2556,         -0.0914,          0.0000,          0.0000,          0.0000,         -6.9087,          0.0000
          25,        0.200000,         -6.8927,         -3.4026,         -0.3559,          0.0000,          0.0000,          0.0000,         -6.9408,          0.0000
          26,        0.208333,         -6.9221,         -3.5792,         -0.6606,          0.0000,          0.0000,          0.0000,         -6.9561,          0.0000
          27,        0.216667,         -6.9418,         -3.7843,         -1.0153,         -0.0001,          0.0000,          0.0000,         -6.9578,          0.0000
