"   Time (h) ","iStep     ","nRS_NaNs","nRS_HCNs","dtTarget    ","tLastMax    ","H V In      ","H V Out     ","Es HX V In  ","Es HX V Out ","x1D HX V In ","x1D HX V Out","S/RF Vol In ","S/RF Vol Out","Es SX V In  ","Es SX V Out ","x1D SX V In ","x1D SX V Out","V In-Out    ","dVol        ","V Err       ","Total V     ","Q ME (%)"
         0.000,           0,         0,         0, 0.2500000E-01,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  164.6656    ,     0.000
         4.000,       62720,         0,         0, 0.2296917    ,  3.998982    ,  1.972022    ,  97212.16    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  115200.0    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  17989.81    ,  17989.81    , 0.5864610E-03,  18154.48    ,     0.000
         4.500,       70580,         0,         0, 0.2296943    ,  4.498664    ,  0.000000    ,  14400.00    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  14400.00    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , 0.4658699E-03, 0.1953125E-02, 0.1487255E-02,  18154.48    ,     0.000
         5.000,       78440,         0,         0, 0.2296930    ,  4.999364    ,  0.000000    ,  14400.00    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  14400.00    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,-0.4777908E-03, 0.1953125E-02, 0.2430916E-02,  18154.48    ,     0.000
         5.500,       86300,         0,         0, 0.2296958    ,  5.492621    ,  0.000000    ,  14400.00    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  14400.00    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,-0.3869534E-03,  0.000000    , 0.3869534E-03,  18154.48    ,     0.000
         6.000,       94160,         0,         0, 0.2296600    ,  5.997074    ,  0.000000    ,  14400.00    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  14400.00    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , 0.2081394E-03,-0.1953125E-02,-0.2161264E-02,  18154.48    ,    -0.000
         6.000,       94161,         0,         0, 0.2296355    ,  5.997074    ,  0.000000    ,  1.002486    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  1.002502    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , 0.1609325E-04, 0.5859375E-02, 0.5843282E-02,  18154.48    ,     0.291
