"OutphaseC4_002 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Outphase\runs\OutphaseC4_002.tcf]","Time (h)","Q 2 [OutphaseC4_002]","Q 3 [OutphaseC4_002]","Q 4 [OutphaseC4_002]","Q 5 [OutphaseC4_002]","Q 6 [OutphaseC4_002]","Q 7 [OutphaseC4_002]","Q 1 [OutphaseC4_002]","Q  8 [OutphaseC4_002]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           3,        0.016667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           4,        0.025000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           5,        0.033333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           6,        0.041667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0199,          0.0000
           7,        0.050000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0690,          0.0000
           8,        0.058333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.1275,          0.0000
           9,        0.066667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.1668,          0.0000
          10,        0.075000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.2169,          0.0000
          11,        0.083333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.2586,          0.0000
          12,        0.091667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.3155,          0.0000
          13,        0.100000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.3495,          0.0000
          14,        0.108333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.3943,          0.0000
          15,        0.116667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.4375,          0.0000
          16,        0.125000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.4981,          0.0000
          17,        0.133333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.5426,          0.0000
          18,        0.141667,         -0.0001,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.6078,          0.0000
          19,        0.150000,         -0.0691,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.6786,          0.0000
          20,        0.158333,         -0.1869,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.7608,          0.0000
          21,        0.166667,         -0.3124,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.8580,          0.0000
          22,        0.175000,         -0.4396,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.9581,          0.0000
          23,        0.183333,         -0.5768,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -1.0538,          0.0000
          24,        0.191667,         -0.7096,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -1.1497,          0.0000
          25,        0.200000,         -0.8409,         -0.1654,          0.0000,          0.0000,          0.0000,          0.0000,         -1.2403,          0.0000
          26,        0.208333,         -0.9672,         -0.2137,          0.0000,          0.0000,          0.0000,          0.0000,         -1.3243,          0.0000
          27,        0.216667,         -1.0847,         -0.2707,          0.0000,          0.0000,          0.0000,          0.0000,         -1.3979,          0.0000
          28,        0.225000,         -1.1921,         -0.3329,          0.0000,          0.0000,          0.0000,          0.0000,         -1.4778,          0.0000
