"InphaseC4_007 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Inphase\runs\InphaseC4_007.tcf]","Time (h)","Q 2 [InphaseC4_007]","Q 3 [InphaseC4_007]","Q 4 [InphaseC4_007]","Q 5 [InphaseC4_007]","Q 6 [InphaseC4_007]","Q 7 [InphaseC4_007]","Q 1 [InphaseC4_007]","Q  8 [InphaseC4_007]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -4.7159,          0.0003
           3,        0.016667,         -1.8701,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0000,         -6.9845,          0.0015
           4,        0.025000,         -4.5485,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,         -6.9998,          0.0004
           5,        0.033333,         -3.1449,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0002,         -6.9999,          0.0011
           6,        0.041667,         -3.2761,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003,         -6.9999,         -0.0006
           7,        0.050000,         -4.0645,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -7.0008,         -0.0001
           8,        0.058333,         -3.9635,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0004,         -7.0015,         -0.0006
           9,        0.066667,         -3.9985,         -0.0046,          0.0000,          0.0000,          0.0000,          0.0003,         -6.9012,          0.0003
          10,        0.075000,         -4.4897,         -0.8588,          0.0000,          0.0000,          0.0000,          0.0001,         -6.7511,         -0.0001
          11,        0.083333,         -4.8644,         -1.7248,          0.0000,          0.0000,          0.0000,         -0.0005,         -6.7338,          0.0001
          12,        0.091667,         -5.1326,         -2.6259,         -0.0000,          0.0000,          0.0000,          0.0001,         -6.7093,          0.0000
          13,        0.100000,         -5.4654,         -3.4165,         -1.6493,          0.0000,          0.0000,         -0.0002,         -6.7236,         -0.0003
          14,        0.108333,         -5.7855,         -4.1107,         -1.9557,          0.0000,          0.0000,         -0.0002,         -6.7656,         -0.0005
          15,        0.116667,         -6.0373,         -4.7163,         -2.4271,          0.0000,          0.0000,          0.0001,         -6.8033,         -0.0002
          16,        0.125000,         -6.2343,         -5.2097,         -2.8915,          0.0000,          0.0000,         -0.0004,         -6.8339,          0.0014
          17,        0.133333,         -6.4014,         -5.6026,         -3.1739,          0.0000,          0.0000,          0.0009,         -6.8661,         -0.0011
          18,        0.141667,         -6.5431,         -5.9167,         -3.4232,          0.0000,          0.0000,         -0.0004,         -6.8939,          0.0001
          19,        0.150000,         -6.6439,         -6.1676,         -3.6906,          0.0000,          0.0000,         -0.0003,         -6.9175,          0.0001
          20,        0.158333,         -6.7256,         -6.3593,         -3.9266,         -0.1637,          0.0000,         -0.0005,         -6.9358,         -0.0003
          21,        0.166667,         -6.7917,         -6.5090,         -4.1573,         -0.6290,          0.0000,         -0.0004,         -6.9506,          0.0006
          22,        0.175000,         -6.8397,         -6.6249,         -4.4334,         -1.2447,          0.0000,         -0.0002,         -6.9619,          0.0008
          23,        0.183333,         -6.8780,         -6.7132,         -4.7412,         -1.9556,          0.0000,         -0.0002,         -6.9705,          0.0001
          24,        0.191667,         -6.9063,         -6.7808,         -5.0979,         -2.7146,         -0.0000,         -0.0002,         -6.9776,         -0.0004
          25,        0.200000,         -6.9293,         -6.8330,         -5.4028,         -3.4336,         -1.1731,          0.0004,         -6.9827,         -0.0001
          26,        0.208333,         -6.9455,         -6.8729,         -5.6883,         -4.0898,         -0.9909,         -0.0006,         -6.9868,         -0.0005
          27,        0.216667,         -6.9583,         -6.9032,         -5.9507,         -4.6520,         -1.1594,         -0.0000,         -6.9901,          0.0000
          28,        0.225000,         -6.9688,         -6.9263,         -6.1638,         -5.1337,         -1.8533,          0.0005,         -6.9922,          0.0006
          29,        0.233333,         -6.9763,         -6.9440,         -6.3327,         -5.5279,         -2.2627,         -0.0001,         -6.9940,         -0.0004
          30,        0.241667,         -6.9818,         -6.9572,         -6.4782,         -5.8430,         -2.4118,         -0.0001,         -6.9958,         -0.0002
          31,        0.250000,         -6.9859,         -6.9673,         -6.5914,         -6.0977,         -2.9146,         -0.0007,         -6.9964,         -0.0001
          32,        0.258333,         -6.9897,         -6.9751,         -6.6839,         -6.2986,         -3.4894,         -0.8244,         -6.9971,         -0.0006
          33,        0.266667,         -6.9922,         -6.9810,         -6.7526,         -6.4569,         -3.9487,         -1.4913,         -6.9983,         -0.8996
          34,        0.275000,         -6.9940,         -6.9857,         -6.8099,         -6.5793,         -4.3807,         -2.2765,         -6.9985,         -1.6541
          35,        0.283333,         -6.9955,         -6.9891,         -6.8538,         -6.6761,         -4.8461,         -3.0312,         -6.9987,         -2.9201
          36,        0.291667,         -6.9965,         -6.9916,         -6.8882,         -6.7510,         -5.2301,         -3.7923,         -6.9990,         -3.8882
          37,        0.300000,         -6.9976,         -6.9937,         -6.9123,         -6.8082,         -5.5605,         -4.3634,         -6.9993,         -4.2160
          38,        0.308333,         -6.9977,         -6.9952,         -6.9329,         -6.8518,         -5.8430,         -4.8138,         -6.9996,         -4.6707
          39,        0.316667,         -6.9987,         -6.9964,         -6.9480,         -6.8861,         -6.0794,         -5.2641,         -6.9994,         -5.0009
          40,        0.325000,         -6.9988,         -6.9972,         -6.9603,         -6.9124,         -6.2713,         -5.5638,         -6.9999,         -5.3263
          41,        0.333333,         -6.9993,         -6.9979,         -6.9699,         -6.9327,         -6.4220,         -5.8734,         -6.9996,         -5.6552
          42,        0.341667,         -6.9997,         -6.9983,         -6.9764,         -6.9483,         -6.5445,         -6.1196,         -6.9998,         -5.9325
          43,        0.350000,         -6.9990,         -6.9988,         -6.9822,         -6.9602,         -6.6457,         -6.2979,         -6.9999,         -6.1545
          44,        0.358333,         -6.9992,         -6.9991,         -6.9870,         -6.9693,         -6.7217,         -6.4517,         -6.9997,         -6.3285
          45,        0.366667,         -7.0000,         -6.9992,         -6.9896,         -6.9768,         -6.7822,         -6.5716,         -7.0001,         -6.4734
          46,        0.375000,         -6.9995,         -6.9995,         -6.9922,         -6.9821,         -6.8301,         -6.6629,         -6.9999,         -6.5831
          47,        0.383333,         -7.0001,         -6.9994,         -6.9934,         -6.9860,         -6.8682,         -6.7365,         -7.0000,         -6.6702
          48,        0.391667,         -7.0000,         -6.9998,         -6.9950,         -6.9896,         -6.8971,         -6.7952,         -7.0002,         -6.7427
          49,        0.400000,         -7.0001,         -6.9998,         -6.9964,         -6.9917,         -6.9205,         -6.8405,         -7.0000,         -6.7977
          50,        0.408333,         -7.0003,         -6.9998,         -6.9973,         -6.9939,         -6.9380,         -6.8757,         -6.9999,         -6.8421
          51,        0.416667,         -7.0003,         -6.9999,         -6.9974,         -6.9954,         -6.9517,         -6.9032,         -6.9999,         -6.8770
          52,        0.425000,         -6.9997,         -6.9999,         -6.9985,         -6.9965,         -6.9622,         -6.9248,         -7.0000,         -6.9036
          53,        0.433333,         -6.9994,         -7.0000,         -6.9985,         -6.9973,         -6.9708,         -6.9415,         -6.9999,         -6.9247
          54,        0.441667,         -7.0000,         -7.0001,         -6.9992,         -6.9978,         -6.9773,         -6.9545,         -7.0002,         -6.9420
          55,        0.450000,         -6.9999,         -6.9999,         -6.9989,         -6.9983,         -6.9829,         -6.9648,         -6.9999,         -6.9539
          56,        0.458333,         -6.9999,         -6.9999,         -6.9994,         -6.9989,         -6.9864,         -6.9727,         -6.9999,         -6.9646
          57,        0.466667,         -7.0003,         -7.0000,         -6.9994,         -6.9990,         -6.9898,         -6.9787,         -7.0001,         -6.9730
          58,        0.475000,         -7.0000,         -7.0000,         -6.9996,         -6.9994,         -6.9918,         -6.9836,         -6.9999,         -6.9783
          59,        0.483333,         -7.0006,         -6.9999,         -6.9992,         -6.9992,         -6.9939,         -6.9873,         -7.0003,         -6.9836
          60,        0.491667,         -6.9996,         -7.0000,         -7.0002,         -6.9996,         -6.9942,         -6.9902,         -6.9999,         -6.9871
          61,        0.500000,         -6.9999,         -7.0000,         -7.0007,         -6.9997,         -6.9966,         -6.9925,         -6.9998,         -6.9898
          62,        0.508333,         -7.0002,         -6.9999,         -6.9999,         -6.9996,         -6.9968,         -6.9943,         -7.0000,         -6.9926
          63,        0.516667,         -7.0000,         -7.0001,         -6.9994,         -6.9998,         -6.9982,         -6.9953,         -6.9996,         -6.9939
          64,        0.525000,         -6.9998,         -7.0001,         -7.0008,         -6.9997,         -6.9979,         -6.9963,         -7.0000,         -6.9955
          65,        0.533333,         -7.0009,         -7.0000,         -7.0003,         -7.0000,         -6.9988,         -6.9971,         -7.0001,         -6.9959
          66,        0.541667,         -7.0002,         -7.0000,         -7.0003,         -6.9998,         -6.9992,         -6.9976,         -7.0001,         -6.9971
          67,        0.550000,         -7.0005,         -7.0000,         -6.9995,         -7.0001,         -6.9995,         -6.9986,         -7.0000,         -6.9976
          68,        0.558333,         -6.9997,         -7.0001,         -6.9997,         -7.0002,         -6.9997,         -6.9988,         -6.9996,         -6.9985
          69,        0.566667,         -6.9998,         -7.0001,         -7.0001,         -7.0000,         -6.9995,         -6.9990,         -7.0002,         -6.9986
          70,        0.575000,         -6.9991,         -7.0000,         -6.9999,         -6.9998,         -6.9997,         -6.9994,         -7.0000,         -6.9985
          71,        0.583333,         -6.9996,         -7.0000,         -7.0002,         -6.9997,         -6.9993,         -6.9994,         -7.0001,         -6.9985
          72,        0.591667,         -7.0005,         -7.0000,         -7.0003,         -6.9998,         -7.0006,         -6.9994,         -7.0001,         -6.9987
          73,        0.600000,         -6.9996,         -7.0000,         -6.9998,         -7.0000,         -7.0000,         -6.9996,         -7.0002,         -6.9989
          74,        0.608333,         -6.9994,         -7.0000,         -7.0004,         -6.9998,         -7.0000,         -6.9997,         -7.0002,         -7.0004
          75,        0.616667,         -7.0006,         -7.0000,         -6.9999,         -6.9997,         -6.9999,         -6.9998,         -7.0000,         -7.0002
          76,        0.625000,         -6.9995,         -6.9998,         -6.9997,         -7.0001,         -6.9996,         -6.9996,         -6.9998,         -6.9997
          77,        0.633333,         -7.0001,         -7.0000,         -6.9998,         -6.9999,         -6.9999,         -6.9999,         -7.0001,         -6.9999
          78,        0.641667,         -6.9996,         -7.0000,         -6.9996,         -7.0002,         -7.0000,         -7.0001,         -7.0001,         -7.0002
          79,        0.650000,         -6.9997,         -7.0001,         -7.0002,         -7.0001,         -6.9999,         -7.0000,         -6.9999,         -6.9992
          80,        0.658333,         -7.0004,         -6.9999,         -7.0000,         -6.9999,         -7.0001,         -7.0000,         -7.0002,         -6.9999
          81,        0.666667,         -6.9997,         -7.0001,         -6.9999,         -7.0001,         -7.0001,         -6.9998,         -6.9999,         -7.0007
          82,        0.675000,         -6.9990,         -7.0000,         -6.9999,         -7.0000,         -6.9999,         -6.9998,         -7.0001,         -7.0006
          83,        0.683333,         -7.0001,         -7.0000,         -7.0001,         -7.0000,         -7.0003,         -6.9999,         -7.0004,         -6.9992
          84,        0.691667,         -7.0000,         -7.0001,         -6.9997,         -7.0002,         -7.0003,         -6.9999,         -7.0000,         -7.0001
          85,        0.700000,         -7.0000,         -7.0000,         -7.0009,         -6.9999,         -6.9997,         -7.0002,         -7.0002,         -7.0002
          86,        0.708333,         -7.0000,         -7.0000,         -7.0000,         -7.0001,         -6.9996,         -6.9998,         -7.0000,         -7.0000
          87,        0.716667,         -6.9994,         -7.0000,         -7.0000,         -7.0001,         -7.0003,         -7.0001,         -6.9999,         -7.0001
          88,        0.725000,         -7.0001,         -7.0000,         -6.9993,         -6.9997,         -7.0006,         -7.0001,         -6.9999,         -7.0001
          89,        0.733333,         -7.0004,         -7.0000,         -7.0000,         -7.0001,         -6.9999,         -7.0001,         -7.0002,         -7.0003
          90,        0.741667,         -6.9992,         -7.0000,         -6.9997,         -7.0000,         -6.9997,         -6.9999,         -7.0001,         -7.0000
          91,        0.750000,         -7.0005,         -7.0001,         -7.0004,         -7.0001,         -7.0003,         -7.0000,         -7.0001,         -6.9998
          92,        0.758333,         -6.9996,         -7.0001,         -6.9998,         -6.9997,         -6.9995,         -7.0001,         -7.0001,         -7.0004
          93,        0.766667,         -7.0006,         -7.0000,         -6.9999,         -6.9999,         -7.0007,         -7.0000,         -7.0000,         -7.0003
          94,        0.775000,         -7.0002,         -6.9999,         -7.0004,         -6.9997,         -6.9992,         -7.0000,         -6.9999,         -6.9993
          95,        0.783333,         -7.0001,         -6.9999,         -6.9992,         -6.9996,         -6.9993,         -6.9999,         -7.0002,         -7.0004
          96,        0.791667,         -6.9995,         -7.0000,         -7.0000,         -7.0002,         -7.0000,         -6.9996,         -7.0002,         -7.0005
          97,        0.800000,         -7.0002,         -7.0000,         -7.0003,         -7.0001,         -6.9995,         -6.9999,         -7.0003,         -7.0004
          98,        0.808333,         -7.0000,         -7.0001,         -7.0005,         -7.0001,         -7.0004,         -7.0001,         -7.0000,         -7.0005
          99,        0.816667,         -6.9998,         -7.0000,         -7.0001,         -6.9998,         -7.0000,         -7.0000,         -7.0000,         -6.9996
