"OutphaseC4_019 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_OutphaseC4\runs\OutphaseC4_019.tcf]","Time (h)","Q 2 [OutphaseC4_019]","Q 3 [OutphaseC4_019]","Q 4 [OutphaseC4_019]","Q 5 [OutphaseC4_019]","Q 6 [OutphaseC4_019]","Q 7 [OutphaseC4_019]","Q 1 [OutphaseC4_019]","Q  8 [OutphaseC4_019]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -39.4086,          0.0003
           3,        0.016667,        -24.7810,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -49.6326,          0.0008
           4,        0.025000,        -46.2125,        -27.5257,          0.0000,          0.0000,          0.0000,          0.0000,        -61.9539,         -0.0007
           5,        0.033333,        -60.7243,        -34.6300,          0.0000,          0.0000,          0.0000,          0.0000,        -71.9222,          0.0002
           6,        0.041667,        -68.3033,        -37.8769,         -7.3375,          0.0000,          0.0000,          0.0000,        -74.1227,         -0.0012
           7,        0.050000,        -72.8487,        -45.0500,        -19.0956,         -9.2859,          0.0000,          0.0000,        -76.0572,          0.0012
           8,        0.058333,        -75.4573,        -51.3317,        -31.6680,        -22.8277,          0.0000,          0.0000,        -77.9718,         -0.0003
           9,        0.066667,        -77.3004,        -57.9769,        -42.3759,        -29.6490,          0.0000,          0.0000,        -78.5509,          0.0004
          10,        0.075000,        -78.3230,        -63.0807,        -50.6803,        -35.2101,          0.0000,          0.0000,        -79.2627,          0.0003
          11,        0.083333,        -79.0015,        -67.1739,        -57.1698,        -40.5270,         -5.4872,          0.0000,        -79.4909,         -0.0009
          12,        0.091667,        -79.4003,        -70.1360,        -62.1375,        -46.1114,        -15.5042,         -0.2165,        -79.7451,          0.0012
          13,        0.100000,        -79.6365,        -72.3759,        -65.9100,        -51.7975,        -25.6544,         -4.7660,        -79.8181,          0.0008
          14,        0.108333,        -79.7884,        -74.0594,        -68.8395,        -56.7802,        -35.0677,         -8.1888,        -79.9002,         -0.0014
          15,        0.116667,        -79.8761,        -75.3353,        -71.1657,        -60.9933,        -43.1335,        -14.5780,        -79.9384,         -3.6768
          16,        0.125000,        -79.8991,        -76.3280,        -73.0067,        -64.6585,        -49.8747,        -21.2096,        -79.9629,        -10.5447
          17,        0.133333,        -79.9175,        -77.1110,        -74.4815,        -67.7068,        -55.2769,        -28.5689,        -79.9786,        -17.6593
          18,        0.141667,        -79.9277,        -77.7246,        -75.6528,        -70.0992,        -59.1587,        -35.7561,        -79.9862,        -26.2241
          19,        0.150000,        -79.9305,        -78.2089,        -76.5771,        -72.0392,        -62.2573,        -42.3315,        -79.9936,        -34.2734
          20,        0.158333,        -79.9438,        -78.5893,        -77.3096,        -73.5943,        -65.2637,        -48.2783,        -79.9951,        -41.4480
