"OutphaseC4_019 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_OutphaseC4\runs\OutphaseC4_019.tcf]","Time (h)","V 2 [OutphaseC4_019]","V 3 [OutphaseC4_019]","V 4 [OutphaseC4_019]","V 5 [OutphaseC4_019]","V 6 [OutphaseC4_019]","V 7 [OutphaseC4_019]","V 8 [OutphaseC4_019]","V 9 [OutphaseC4_019]","V 10 [OutphaseC4_019]","V 11 [OutphaseC4_019]","V 12 [OutphaseC4_019]","V 13 [OutphaseC4_019]","V 14 [OutphaseC4_019]","V 15 [OutphaseC4_019]","V 16 [OutphaseC4_019]","V  1 [OutphaseC4_019]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          2.3005,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          1.8495
           3,        0.016667,          1.8363,          0.0000,          2.8093,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          1.0376
           4,        0.025000,          2.0132,          2.0148,          3.7601,          1.7657,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          1.0855
           5,        0.033333,          2.0208,          2.6048,          4.2682,          1.3864,          1.1759,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          1.0600
           6,        0.041667,          2.0029,          2.8526,          2.9694,          1.4594,          1.0509,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          1.0180
           7,        0.050000,          2.0074,          2.9741,          3.1371,          1.8441,          1.2206,          0.0000,          0.9292,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.9995
           8,        0.058333,          1.9966,          3.0471,          2.9149,          2.0131,          1.3690,          1.3312,          1.8911,          0.7268,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          1.0014
           9,        0.066667,          1.9935,          3.0966,          2.7575,          2.0736,          1.5615,          1.8417,          2.4442,          0.4775,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.9954
          10,        0.075000,          1.9903,          3.1186,          2.6457,          2.0799,          1.6815,          2.1354,          0.8071,          0.5193,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.9963
          11,        0.083333,          1.9897,          3.1360,          2.5581,          2.0439,          1.7489,          2.3387,          0.2587,          0.5716,          0.9568,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.9942
          12,        0.091667,          1.9885,          3.1501,          2.4850,          1.9972,          1.7771,          2.4393,          0.2043,          0.6333,          1.3470,          1.6002,          0.4705,          0.4425,          0.0157,          0.0000,          0.0002,          0.9945
          13,        0.100000,          1.9883,          3.1441,          2.4277,          1.9566,          1.7946,          2.5340,          0.2101,          0.7328,          1.5691,          2.2876,          0.2070,          0.3875,          0.4603,          0.0000,          0.0001,          0.9937
          14,        0.108333,          1.9879,          3.0290,          2.3871,          1.9236,          1.8063,          2.6182,          0.2307,          0.8113,          1.6864,          2.7501,          0.1445,          0.4355,          0.5148,          1.0131,          0.0001,          0.9937
          15,        0.116667,          1.9878,          2.7495,          2.3580,          1.9159,          1.8176,          2.6839,          0.2841,          0.8347,          1.7737,          3.0782,          0.0985,          0.5350,          0.6385,          1.6513,          0.1471,          0.9936
          16,        0.125000,          1.9877,          2.4698,          2.3361,          1.8998,          1.8243,          2.7203,          0.3542,          0.8859,          1.8266,          3.3067,          0.0602,          0.6647,          0.8759,          2.0470,          0.7223,          0.9936
          17,        0.133333,          1.9877,          2.2766,          2.3166,          1.8852,          1.8199,          2.7351,          0.4150,          0.9507,          1.8858,          3.4722,          0.1013,          0.7806,          1.1617,          2.3205,          1.7682,          0.9935
          18,        0.141667,          1.9875,          2.1378,          2.2985,          1.8651,          1.8190,          2.7395,          0.4527,          0.9982,          1.9190,          3.5997,          0.1956,          0.8746,          1.3612,          2.5335,          2.4627,          0.9934
          19,        0.150000,          1.9876,          2.0613,          2.2803,          1.8447,          1.8155,          2.7328,          0.4713,          1.0105,          1.9297,          3.6202,          0.2569,          1.0003,          1.5024,          2.6976,          2.7860,          0.9935
          20,        0.158333,          1.9875,          2.0015,          2.2692,          1.8315,          1.8134,          2.7281,          0.4804,          1.0062,          1.9313,          3.0303,          0.2916,          1.0466,          1.6053,          2.8183,          3.0696,          0.9935
          21,        0.166667,          1.9875,          1.9611,          2.2592,          1.8288,          1.8225,          2.7207,          0.4883,          0.9946,          1.9352,          2.5853,          0.3227,          1.0429,          1.6871,          2.9182,          3.8258,          0.9935
          22,        0.175000,          1.9875,          1.9380,          2.2514,          1.8174,          1.8187,          2.7151,          0.4996,          0.9938,          1.9433,          2.3577,          0.3496,          1.0878,          1.7413,          3.0006,          4.3885,          0.9934
