"VanillaC4_019 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Vanilla\runs\VanillaC4_019.tcf]","Time (h)","V 2 [VanillaC4_019]","V 3 [VanillaC4_019]","V 4 [VanillaC4_019]","V 5 [VanillaC4_019]","V 6 [VanillaC4_019]","V 7 [VanillaC4_019]","V 8 [VanillaC4_019]","V 9 [VanillaC4_019]","V 10 [VanillaC4_019]","V 11 [VanillaC4_019]","V 12 [VanillaC4_019]","V 13 [VanillaC4_019]","V 14 [VanillaC4_019]","V 15 [VanillaC4_019]","V 16 [VanillaC4_019]","V  1 [VanillaC4_019]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          3.3184,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          3.1014
           3,        0.016667,          2.7123,          2.2972,          2.8320,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          2.6095
           4,        0.025000,          2.4952,          2.1747,          2.5804,          2.6178,          2.6821,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          0.0000,          0.0000,          2.4120
           5,        0.033333,          2.3876,          2.1079,          2.4517,          2.4752,          2.5599,          1.9525,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0001,          0.0000,          0.0000,          0.0000,          2.3145
           6,        0.041667,          2.3214,          2.0635,          2.3735,          2.3900,          2.4607,          2.0357,          1.8656,          1.3846,          0.0000,          0.0000,          0.0001,          0.0001,          0.0000,          0.0001,          0.0000,          2.2528
           7,        0.050000,          2.2779,          2.0314,          2.3218,          2.3324,          2.3928,          2.0255,          1.9888,          1.7673,          1.3925,          0.3910,          0.0000,          0.0001,          0.0000,          0.0000,          0.0000,          2.2117
           8,        0.058333,          2.2482,          2.0096,          2.2854,          2.2926,          2.3463,          2.0060,          2.0051,          1.9098,          1.6901,          1.4426,          0.9685,          0.4175,          0.0001,          0.0001,          0.0001,          2.1828
           9,        0.066667,          2.2266,          1.9940,          2.2596,          2.2624,          2.3121,          1.9896,          2.0012,          1.9535,          1.8207,          1.6517,          1.2457,          1.1710,          1.0832,          0.8022,          0.0000,          2.1627
          10,        0.075000,          2.2111,          1.9818,          2.2405,          2.2408,          2.2860,          1.9748,          1.9902,          1.9655,          1.8795,          1.7594,          1.3697,          1.3864,          1.3818,          1.1122,          1.0420,          2.1481
