"VanillaC4_019 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Vanilla\runs\VanillaC4_019.tcf]","Time (h)","Q 2 [VanillaC4_019]","Q 3 [VanillaC4_019]","Q 4 [VanillaC4_019]","Q 5 [VanillaC4_019]","Q 6 [VanillaC4_019]","Q 7 [VanillaC4_019]","Q 1 [VanillaC4_019]","Q  8 [VanillaC4_019]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,         -0.0030,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -70.0881,         -0.0002
           3,        0.016667,        -61.8942,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0003,        -76.6152,         -0.0001
           4,        0.025000,        -70.1349,        -50.3378,          0.0000,          0.0000,          0.0000,          0.0001,        -77.1522,         -0.0008
           5,        0.033333,        -73.8052,        -62.9389,        -37.4866,          0.0000,         -0.0002,         -0.0007,        -78.0547,          0.0012
           6,        0.041667,        -75.8572,        -69.0277,        -55.0425,        -34.2281,         -0.0007,          0.0002,        -78.6655,          0.0005
           7,        0.050000,        -77.1121,        -72.5048,        -63.6089,        -50.9797,         -0.0039,         -0.0012,        -79.0686,         -0.0014
           8,        0.058333,        -77.9185,        -74.6832,        -68.6015,        -60.2864,        -40.3071,         -0.0002,        -79.3275,          0.0006
           9,        0.066667,        -78.4709,        -76.1102,        -71.7902,        -66.0114,        -51.6022,        -41.2881,        -79.5091,         -4.1817
          10,        0.075000,        -78.8561,        -77.0950,        -73.9327,        -69.7556,        -59.2336,        -52.1166,        -79.6330,        -46.0438
          11,        0.083333,        -79.1416,        -77.8103,        -75.4260,        -72.3555,        -64.5593,        -59.5497,        -79.7289,        -69.4560
          12,        0.091667,        -79.3441,        -78.3261,        -76.5084,        -74.1917,        -68.4713,        -68.0136,        -79.7913,        -72.6421
          13,        0.100000,        -79.4980,        -78.7137,        -77.3158,        -75.5400,        -71.2882,        -73.3589,        -79.8433,        -73.8730
          14,        0.108333,        -79.6141,        -79.0061,        -77.9153,        -76.5580,        -73.8735,        -74.7318,        -79.8767,        -74.6075
          15,        0.116667,        -79.6994,        -79.2278,        -78.3815,        -77.3328,        -75.9443,        -75.6770,        -79.9054,        -75.3057
          16,        0.125000,        -79.7658,        -79.3972,        -78.7386,        -77.9366,        -77.0073,        -76.4301,        -79.9259,        -76.0109
          17,        0.133333,        -79.8142,        -79.5274,        -79.0167,        -78.4151,        -77.6687,        -77.0624,        -79.9435,        -76.6710
          18,        0.141667,        -79.8548,        -79.6282,        -79.2339,        -78.8336,        -78.1658,        -77.6090,        -79.9556,        -77.2694
          19,        0.150000,        -79.8865,        -79.7069,        -79.4063,        -79.1408,        -78.5515,        -78.0704,        -79.9635,        -77.7865
          20,        0.158333,        -79.9104,        -79.7695,        -79.5516,        -79.3495,        -78.8551,        -78.4545,        -79.9727,        -78.2212
          21,        0.166667,        -79.9293,        -79.8196,        -79.6629,        -79.4978,        -79.0952,        -78.7667,        -79.9774,        -78.5786
          22,        0.175000,        -79.9447,        -79.8612,        -79.7422,        -79.6090,        -79.2817,        -79.0198,        -79.9828,        -78.8675
          23,        0.183333,        -79.9566,        -79.8948,        -79.8022,        -79.6951,        -79.4285,        -79.2174,        -79.9866,        -79.0990
          24,        0.191667,        -79.9656,        -79.9202,        -79.8470,        -79.7623,        -79.5475,        -79.3785,        -79.9895,        -79.2830
          25,        0.200000,        -79.9742,        -79.9395,        -79.8811,        -79.8140,        -79.6427,        -79.5077,        -79.9930,        -79.4304
          26,        0.208333,        -79.9809,        -79.9534,        -79.9086,        -79.8543,        -79.7173,        -79.6106,        -79.9936,        -79.5482
          27,        0.216667,        -79.9856,        -79.9641,        -79.9282,        -79.8853,        -79.7768,        -79.6921,        -79.9949,        -79.6423
          28,        0.225000,        -79.9888,        -79.9723,        -79.9441,        -79.9098,        -79.8242,        -79.7570,        -79.9958,        -79.7174
          29,        0.233333,        -79.9912,        -79.9782,        -79.9562,        -79.9294,        -79.8618,        -79.8071,        -79.9976,        -79.7765
          30,        0.241667,        -79.9932,        -79.9826,        -79.9658,        -79.9447,        -79.8907,        -79.8483,        -79.9972,        -79.8246
          31,        0.250000,        -79.9952,        -79.9867,        -79.9733,        -79.9567,        -79.9144,        -79.8801,        -79.9987,        -79.8603
          32,        0.258333,        -79.9959,        -79.9898,        -79.9788,        -79.9660,        -79.9320,        -79.9056,        -79.9983,        -79.8895
          33,        0.266667,        -79.9965,        -79.9920,        -79.9834,        -79.9726,        -79.9466,        -79.9246,        -79.9987,        -79.9137
          34,        0.275000,        -79.9976,        -79.9939,        -79.9865,        -79.9787,        -79.9581,        -79.9412,        -79.9992,        -79.9316
          35,        0.283333,        -79.9979,        -79.9954,        -79.9894,        -79.9838,        -79.9670,        -79.9534,        -80.0001,        -79.9462
          36,        0.291667,        -79.9987,        -79.9962,        -79.9915,        -79.9869,        -79.9737,        -79.9633,        -79.9997,        -79.9567
          37,        0.300000,        -79.9989,        -79.9967,        -79.9937,        -79.9901,        -79.9792,        -79.9693,        -80.0004,        -79.9669
          38,        0.308333,        -79.9994,        -79.9977,        -79.9953,        -79.9911,        -79.9838,        -79.9779,        -79.9992,        -79.9743
          39,        0.316667,        -79.9994,        -79.9978,        -79.9964,        -79.9931,        -79.9871,        -79.9819,        -79.9996,        -79.9789
          40,        0.325000,        -79.9992,        -79.9986,        -79.9969,        -79.9949,        -79.9897,        -79.9858,        -79.9998,        -79.9834
          41,        0.333333,        -79.9997,        -79.9987,        -79.9976,        -79.9962,        -79.9918,        -79.9886,        -79.9996,        -79.9869
          42,        0.341667,        -79.9998,        -79.9991,        -79.9983,        -79.9970,        -79.9940,        -79.9908,        -79.9997,        -79.9906
          43,        0.350000,        -79.9991,        -79.9993,        -79.9984,        -79.9976,        -79.9956,        -79.9927,        -79.9999,        -79.9924
          44,        0.358333,        -80.0002,        -79.9988,        -79.9986,        -79.9980,        -79.9961,        -79.9949,        -80.0003,        -79.9930
          45,        0.366667,        -79.9997,        -79.9995,        -79.9988,        -79.9986,        -79.9973,        -79.9956,        -79.9990,        -79.9952
          46,        0.375000,        -79.9996,        -79.9994,        -79.9993,        -79.9988,        -79.9977,        -79.9934,        -79.9999,        -79.9959
          47,        0.383333,        -80.0000,        -79.9994,        -79.9993,        -79.9988,        -79.9977,        -79.9972,        -80.0000,        -79.9970
          48,        0.391667,        -79.9995,        -79.9994,        -79.9994,        -79.9990,        -79.9988,        -79.9970,        -80.0002,        -79.9974
          49,        0.400000,        -79.9996,        -79.9997,        -79.9996,        -79.9998,        -79.9988,        -79.9980,        -79.9992,        -79.9977
          50,        0.408333,        -80.0004,        -79.9999,        -79.9995,        -79.9995,        -79.9989,        -80.0014,        -79.9996,        -79.9986
          51,        0.416667,        -79.9998,        -79.9996,        -79.9997,        -79.9998,        -79.9989,        -79.9979,        -80.0002,        -79.9992
          52,        0.425000,        -79.9996,        -80.0000,        -79.9998,        -79.9998,        -79.9991,        -79.9988,        -79.9997,        -79.9997
          53,        0.433333,        -79.9999,        -80.0001,        -79.9995,        -80.0001,        -80.0003,        -79.9989,        -79.9995,        -79.9995
          54,        0.441667,        -80.0004,        -79.9998,        -79.9998,        -79.9999,        -79.9990,        -79.9991,        -80.0005,        -79.9995
          55,        0.450000,        -79.9995,        -79.9995,        -79.9998,        -80.0001,        -79.9996,        -79.9997,        -79.9994,        -79.9993
          56,        0.458333,        -79.9997,        -79.9999,        -79.9997,        -80.0000,        -79.9997,        -80.0011,        -80.0000,        -79.9992
          57,        0.466667,        -80.0000,        -79.9997,        -80.0001,        -80.0005,        -79.9996,        -79.9984,        -79.9997,        -80.0001
          58,        0.475000,        -79.9999,        -80.0000,        -79.9999,        -79.9999,        -79.9995,        -80.0005,        -79.9994,        -79.9987
          59,        0.483333,        -79.9996,        -80.0000,        -80.0000,        -79.9997,        -79.9999,        -79.9986,        -79.9993,        -79.9997
          60,        0.491667,        -80.0002,        -79.9996,        -80.0002,        -79.9997,        -80.0000,        -79.9994,        -79.9999,        -80.0001
          61,        0.500000,        -79.9999,        -80.0001,        -80.0002,        -79.9996,        -79.9991,        -79.9995,        -80.0005,        -79.9993
          62,        0.508333,        -80.0004,        -79.9998,        -80.0004,        -80.0000,        -80.0001,        -79.9990,        -79.9999,        -79.9998
          63,        0.516667,        -80.0001,        -79.9997,        -80.0003,        -79.9998,        -79.9995,        -79.9994,        -80.0009,        -79.9997
          64,        0.525000,        -79.9997,        -79.9996,        -80.0001,        -79.9996,        -79.9997,        -79.9997,        -79.9999,        -80.0002
          65,        0.533333,        -80.0006,        -79.9996,        -79.9998,        -80.0000,        -80.0005,        -79.9996,        -80.0005,        -79.9993
          66,        0.541667,        -80.0000,        -79.9998,        -80.0003,        -79.9996,        -79.9992,        -79.9998,        -79.9994,        -80.0001
          67,        0.550000,        -79.9998,        -79.9999,        -80.0003,        -79.9999,        -80.0001,        -79.9978,        -80.0005,        -80.0008
          68,        0.558333,        -79.9997,        -80.0003,        -79.9996,        -79.9999,        -79.9999,        -79.9991,        -80.0009,        -80.0003
          69,        0.566667,        -79.9996,        -80.0003,        -80.0003,        -79.9999,        -79.9997,        -80.0002,        -80.0001,        -80.0005
          70,        0.575000,        -80.0003,        -80.0001,        -80.0000,        -80.0001,        -79.9997,        -79.9999,        -79.9988,        -79.9998
          71,        0.583333,        -80.0003,        -80.0001,        -79.9995,        -79.9998,        -80.0000,        -80.0006,        -80.0001,        -79.9999
          72,        0.591667,        -79.9999,        -80.0005,        -80.0001,        -79.9999,        -80.0003,        -79.9995,        -79.9999,        -79.9994
          73,        0.600000,        -80.0001,        -80.0000,        -80.0003,        -79.9997,        -80.0000,        -79.9999,        -80.0006,        -79.9993
          74,        0.608333,        -80.0001,        -79.9999,        -79.9997,        -79.9995,        -80.0001,        -80.0006,        -80.0002,        -80.0001
          75,        0.616667,        -80.0002,        -80.0003,        -80.0001,        -80.0007,        -79.9999,        -79.9986,        -79.9999,        -80.0370
          76,        0.625000,        -79.9996,        -79.9998,        -80.0000,        -80.0000,        -80.0004,        -80.0041,        -79.9994,        -79.9920
          77,        0.633333,        -80.0000,        -79.9998,        -79.9995,        -79.9997,        -80.0001,        -80.0021,        -80.0010,        -79.9733
          78,        0.641667,        -80.0005,        -80.0001,        -79.9999,        -79.9999,        -80.0002,        -80.0190,        -80.0011,        -79.9917
          79,        0.650000,        -79.9992,        -80.0001,        -80.0000,        -80.0000,        -80.0014,        -79.9885,        -80.0008,        -79.9832
          80,        0.658333,        -80.0001,        -79.9996,        -80.0002,        -80.0003,        -80.0018,        -79.9982,        -80.0001,        -79.9897
          81,        0.666667,        -79.9997,        -80.0000,        -80.0001,        -79.9999,        -80.0014,        -79.9928,        -79.9993,        -79.9932
          82,        0.675000,        -79.9994,        -79.9996,        -80.0001,        -80.0005,        -79.9994,        -79.9961,        -79.9995,        -79.9951
          83,        0.683333,        -80.0003,        -80.0000,        -79.9997,        -80.0000,        -79.9998,        -79.9981,        -79.9997,        -79.9978
          84,        0.691667,        -80.0000,        -80.0000,        -80.0000,        -80.0008,        -79.9991,        -79.9984,        -80.0009,        -79.9980
          85,        0.700000,        -79.9998,        -80.0000,        -80.0001,        -79.9999,        -79.9994,        -79.9973,        -80.0002,        -79.9986
          86,        0.708333,        -80.0001,        -79.9997,        -79.9998,        -79.9998,        -79.9994,        -79.9978,        -79.9985,        -79.9992
          87,        0.716667,        -80.0001,        -79.9999,        -80.0000,        -79.9999,        -80.0002,        -79.9998,        -79.9990,        -79.9992
          88,        0.725000,        -80.0006,        -79.9999,        -80.0000,        -79.9997,        -79.9997,        -79.9995,        -79.9996,        -79.9985
          89,        0.733333,        -80.0004,        -79.9996,        -80.0000,        -80.0000,        -80.0005,        -80.0001,        -80.0000,        -79.9997
          90,        0.741667,        -79.9999,        -79.9997,        -79.9998,        -80.0003,        -79.9992,        -79.9999,        -80.0007,        -80.0001
          91,        0.750000,        -80.0002,        -79.9998,        -80.0001,        -79.9999,        -80.0000,        -79.9993,        -80.0000,        -80.0008
          92,        0.758333,        -80.0006,        -80.0001,        -80.0000,        -79.9998,        -80.0002,        -80.0004,        -79.9999,        -80.0000
          93,        0.766667,        -79.9995,        -80.0000,        -79.9997,        -79.9997,        -80.0000,        -79.9990,        -79.9994,        -79.9988
          94,        0.775000,        -80.0001,        -80.0001,        -80.0000,        -80.0001,        -79.9996,        -80.0004,        -80.0009,        -80.0002
          95,        0.783333,        -80.0000,        -80.0000,        -80.0002,        -80.0000,        -80.0005,        -79.9995,        -79.9995,        -80.0006
          96,        0.791667,        -80.0001,        -80.0001,        -80.0002,        -80.0001,        -80.0001,        -80.0008,        -79.9998,        -79.9993
          97,        0.800000,        -80.0003,        -80.0001,        -80.0001,        -80.0001,        -80.0000,        -80.0007,        -79.9996,        -80.0001
          98,        0.808333,        -80.0004,        -80.0001,        -80.0001,        -80.0001,        -80.0001,        -79.9996,        -80.0000,        -80.0009
          99,        0.816667,        -79.9998,        -80.0002,        -80.0000,        -79.9998,        -80.0001,        -79.9979,        -80.0002,        -80.0009
