"VanillaC4_016 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Vanilla\runs\VanillaC4_016.tcf]","Time (h)","Q 2 [VanillaC4_016]","Q 3 [VanillaC4_016]","Q 4 [VanillaC4_016]","Q 5 [VanillaC4_016]","Q 6 [VanillaC4_016]","Q 7 [VanillaC4_016]","Q 1 [VanillaC4_016]","Q  8 [VanillaC4_016]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -42.5263,          0.0013
           3,        0.016667,        -34.9579,          0.0000,          0.0000,          0.0000,          0.0000,          0.0005,        -46.7863,         -0.0016
           4,        0.025000,        -42.4068,        -22.4669,          0.0000,          0.0000,          0.0000,         -0.0002,        -47.9816,         -0.0007
           5,        0.033333,        -45.3707,        -35.6280,         -0.0103,          0.0000,          0.0007,         -0.0003,        -48.6801,          0.0004
           6,        0.041667,        -46.9729,        -41.1049,        -26.7446,          0.0000,          0.0003,          0.0003,        -49.1086,          0.0003
           7,        0.050000,        -47.9146,        -44.0606,        -35.5843,        -19.6507,          0.0000,          0.0000,        -49.3727,          0.0002
           8,        0.058333,        -48.5289,        -45.8691,        -40.2957,        -31.2028,          0.0006,          0.0004,        -49.5511,          0.0008
           9,        0.066667,        -48.9426,        -47.0421,        -43.1863,        -37.2355,        -15.5915,          0.0001,        -49.6791,         -0.0004
          10,        0.075000,        -49.2295,        -47.8521,        -45.0880,        -40.9539,        -26.3137,         -5.9553,        -49.7649,          0.0010
          11,        0.083333,        -49.4308,        -48.4189,        -46.3827,        -43.4044,        -33.0689,        -24.2825,        -49.8261,         -6.0353
          12,        0.091667,        -49.5713,        -48.8212,        -47.3077,        -45.1112,        -37.6284,        -31.0225,        -49.8689,        -25.5081
          13,        0.100000,        -49.6765,        -49.1119,        -47.9745,        -46.3159,        -40.7675,        -35.7302,        -49.9023,        -39.8213
          14,        0.108333,        -49.7532,        -49.3246,        -48.4640,        -47.2069,        -43.0402,        -40.3062,        -49.9253,        -42.2431
          15,        0.116667,        -49.8127,        -49.4802,        -48.8242,        -47.8669,        -44.6986,        -43.9345,        -49.9428,        -43.5879
          16,        0.125000,        -49.8577,        -49.6004,        -49.0940,        -48.3598,        -45.9597,        -45.2550,        -49.9577,        -44.6310
          17,        0.133333,        -49.8904,        -49.6914,        -49.2971,        -48.7313,        -47.1476,        -46.2520,        -49.9667,        -45.5774
          18,        0.141667,        -49.9153,        -49.7616,        -49.4520,        -49.0141,        -47.9006,        -47.0312,        -49.9743,        -46.4200
          19,        0.150000,        -49.9345,        -49.8153,        -49.5733,        -49.2271,        -48.3944,        -47.6545,        -49.9800,        -47.1406
          20,        0.158333,        -49.9497,        -49.8560,        -49.6667,        -49.4006,        -48.7564,        -48.1514,        -49.9858,        -47.7327
          21,        0.166667,        -49.9607,        -49.8876,        -49.7395,        -49.5447,        -49.0247,        -48.5392,        -49.9890,        -48.2100
          22,        0.175000,        -49.9690,        -49.9127,        -49.7977,        -49.6522,        -49.2381,        -48.8438,        -49.9916,        -48.5816
          23,        0.183333,        -49.9765,        -49.9317,        -49.8441,        -49.7314,        -49.4036,        -49.0908,        -49.9922,        -48.8821
          24,        0.191667,        -49.9814,        -49.9464,        -49.8799,        -49.7924,        -49.5332,        -49.2861,        -49.9939,        -49.1182
          25,        0.200000,        -49.9852,        -49.9581,        -49.9077,        -49.8391,        -49.6352,        -49.4397,        -49.9955,        -49.3077
          26,        0.208333,        -49.9880,        -49.9679,        -49.9284,        -49.8742,        -49.7144,        -49.5609,        -49.9969,        -49.4552
          27,        0.216667,        -49.9915,        -49.9750,        -49.9443,        -49.9028,        -49.7768,        -49.6558,        -49.9973,        -49.5714
          28,        0.225000,        -49.9931,        -49.9808,        -49.9566,        -49.9238,        -49.8253,        -49.7303,        -49.9982,        -49.6653
          29,        0.233333,        -49.9942,        -49.9852,        -49.9663,        -49.9406,        -49.8636,        -49.7889,        -49.9983,        -49.7370
          30,        0.241667,        -49.9958,        -49.9883,        -49.9736,        -49.9540,        -49.8934,        -49.8347,        -49.9984,        -49.7947
          31,        0.250000,        -49.9970,        -49.9910,        -49.9796,        -49.9638,        -49.9166,        -49.8708,        -49.9989,        -49.8385
          32,        0.258333,        -49.9973,        -49.9929,        -49.9845,        -49.9719,        -49.9349,        -49.8988,        -49.9992,        -49.8731
          33,        0.266667,        -49.9980,        -49.9949,        -49.9875,        -49.9780,        -49.9487,        -49.9208,        -49.9989,        -49.9022
          34,        0.275000,        -49.9983,        -49.9957,        -49.9901,        -49.9831,        -49.9600,        -49.9381,        -49.9985,        -49.9229
          35,        0.283333,        -49.9991,        -49.9967,        -49.9922,        -49.9864,        -49.9689,        -49.9514,        -49.9993,        -49.9390
          36,        0.291667,        -49.9992,        -49.9970,        -49.9943,        -49.9898,        -49.9757,        -49.9622,        -50.0000,        -49.9535
          37,        0.300000,        -49.9993,        -49.9980,        -49.9954,        -49.9921,        -49.9807,        -49.9705,        -49.9993,        -49.9638
          38,        0.308333,        -49.9993,        -49.9982,        -49.9966,        -49.9938,        -49.9851,        -49.9769,        -49.9996,        -49.9712
          39,        0.316667,        -49.9994,        -49.9986,        -49.9976,        -49.9950,        -49.9884,        -49.9817,        -50.0002,        -49.9783
          40,        0.325000,        -49.9998,        -49.9990,        -49.9979,        -49.9961,        -49.9910,        -49.9858,        -49.9997,        -49.9814
          41,        0.333333,        -50.0000,        -49.9992,        -49.9983,        -49.9972,        -49.9930,        -49.9890,        -49.9998,        -49.9866
          42,        0.341667,        -49.9997,        -49.9993,        -49.9982,        -49.9978,        -49.9944,        -49.9911,        -50.0000,        -49.9886
          43,        0.350000,        -50.0000,        -49.9996,        -49.9989,        -49.9980,        -49.9959,        -49.9930,        -49.9997,        -49.9907
          44,        0.358333,        -50.0001,        -49.9998,        -49.9995,        -49.9986,        -49.9967,        -49.9944,        -49.9999,        -49.9945
          45,        0.366667,        -49.9996,        -49.9995,        -49.9996,        -49.9991,        -49.9974,        -49.9961,        -50.0002,        -49.9946
          46,        0.375000,        -50.0001,        -50.0000,        -49.9996,        -49.9993,        -49.9979,        -49.9969,        -50.0006,        -49.9963
          47,        0.383333,        -49.9999,        -49.9995,        -49.9995,        -49.9990,        -49.9983,        -49.9969,        -50.0003,        -49.9965
          48,        0.391667,        -50.0000,        -49.9999,        -49.9999,        -49.9993,        -49.9986,        -49.9980,        -50.0000,        -49.9974
          49,        0.400000,        -50.0002,        -49.9998,        -50.0001,        -49.9999,        -49.9985,        -49.9986,        -49.9998,        -49.9969
          50,        0.408333,        -50.0000,        -49.9999,        -49.9998,        -49.9995,        -49.9995,        -49.9986,        -49.9999,        -49.9984
          51,        0.416667,        -49.9999,        -49.9997,        -49.9999,        -49.9997,        -49.9997,        -49.9990,        -49.9999,        -49.9989
          52,        0.425000,        -49.9998,        -50.0002,        -49.9995,        -49.9998,        -49.9993,        -49.9993,        -49.9999,        -49.9995
          53,        0.433333,        -49.9998,        -49.9998,        -49.9996,        -49.9994,        -49.9995,        -49.9996,        -50.0000,        -49.9996
          54,        0.441667,        -50.0000,        -50.0002,        -50.0000,        -50.0000,        -49.9996,        -49.9996,        -49.9998,        -49.9993
          55,        0.450000,        -50.0001,        -50.0002,        -49.9999,        -50.0000,        -49.9996,        -49.9997,        -50.0002,        -50.0000
          56,        0.458333,        -50.0000,        -50.0000,        -49.9998,        -49.9997,        -49.9999,        -49.9995,        -50.0000,        -49.9993
          57,        0.466667,        -49.9999,        -50.0001,        -49.9999,        -49.9997,        -49.9997,        -49.9998,        -49.9999,        -49.9994
          58,        0.475000,        -50.0002,        -50.0001,        -49.9998,        -50.0001,        -50.0001,        -50.0000,        -50.0004,        -49.9999
          59,        0.483333,        -50.0000,        -49.9996,        -50.0001,        -50.0002,        -50.0002,        -49.9997,        -50.0002,        -49.9990
          60,        0.491667,        -50.0003,        -49.9996,        -49.9995,        -49.9995,        -50.0000,        -50.0001,        -49.9998,        -50.0001
          61,        0.500000,        -50.0000,        -49.9997,        -50.0003,        -49.9998,        -50.0001,        -50.0000,        -50.0001,        -50.0007
          62,        0.508333,        -50.0001,        -50.0000,        -49.9998,        -49.9998,        -50.0000,        -49.9997,        -50.0004,        -49.9989
          63,        0.516667,        -50.0001,        -50.0001,        -49.9998,        -50.0000,        -50.0000,        -49.9999,        -50.0003,        -50.0007
          64,        0.525000,        -50.0002,        -50.0004,        -50.0003,        -50.0001,        -50.0001,        -49.9998,        -50.0000,        -49.9991
          65,        0.533333,        -50.0001,        -50.0001,        -50.0000,        -50.0002,        -50.0000,        -49.9996,        -50.0001,        -50.0011
          66,        0.541667,        -50.0001,        -50.0000,        -49.9997,        -50.0002,        -50.0000,        -49.9996,        -50.0007,        -49.9992
          67,        0.550000,        -49.9999,        -50.0001,        -49.9998,        -49.9996,        -50.0000,        -50.0002,        -49.9997,        -50.0000
          68,        0.558333,        -50.0001,        -50.0000,        -50.0001,        -49.9998,        -49.9996,        -50.0000,        -49.9997,        -50.0005
          69,        0.566667,        -49.9999,        -50.0002,        -50.0001,        -49.9999,        -50.0002,        -49.9998,        -50.0003,        -50.0000
          70,        0.575000,        -50.0002,        -50.0000,        -50.0003,        -49.9999,        -49.9997,        -49.9996,        -50.0000,        -50.0005
          71,        0.583333,        -50.0001,        -50.0002,        -50.0001,        -49.9996,        -49.9999,        -49.9998,        -49.9999,        -49.9995
          72,        0.591667,        -49.9998,        -50.0001,        -50.0000,        -49.9998,        -50.0001,        -50.0000,        -49.9998,        -50.0003
          73,        0.600000,        -49.9999,        -50.0002,        -50.0000,        -49.9997,        -49.9999,        -49.9993,        -50.0001,        -50.0012
          74,        0.608333,        -49.9997,        -50.0000,        -50.0005,        -50.0001,        -50.0000,        -49.9999,        -50.0002,        -50.0000
          75,        0.616667,        -50.0000,        -50.0001,        -49.9999,        -49.9999,        -50.0000,        -49.9997,        -49.9998,        -50.0003
          76,        0.625000,        -49.9997,        -50.0003,        -50.0000,        -49.9999,        -49.9998,        -49.9994,        -49.9999,        -50.0002
          77,        0.633333,        -50.0001,        -50.0003,        -49.9998,        -49.9998,        -50.0001,        -49.9996,        -50.0004,        -50.0017
          78,        0.641667,        -49.9999,        -50.0000,        -49.9998,        -49.9999,        -50.0001,        -49.9998,        -50.0000,        -49.9999
          79,        0.650000,        -50.0002,        -50.0000,        -49.9999,        -50.0000,        -50.0001,        -50.0004,        -49.9998,        -50.0016
          80,        0.658333,        -50.0000,        -50.0001,        -50.0002,        -49.9999,        -50.0000,        -50.0007,        -50.0003,        -50.0016
          81,        0.666667,        -49.9995,        -50.0001,        -50.0000,        -49.9999,        -49.9999,        -50.0001,        -49.9998,        -50.0000
          82,        0.675000,        -49.9997,        -49.9999,        -50.0002,        -49.9999,        -50.0003,        -49.9990,        -49.9997,        -49.9976
          83,        0.683333,        -49.9998,        -49.9999,        -50.0000,        -50.0003,        -50.0002,        -49.9991,        -49.9994,        -49.9999
          84,        0.691667,        -50.0002,        -50.0002,        -50.0002,        -50.0000,        -50.0001,        -49.9993,        -50.0000,        -50.0008
          85,        0.700000,        -50.0002,        -50.0000,        -50.0000,        -50.0001,        -49.9997,        -49.9994,        -49.9998,        -49.9991
          86,        0.708333,        -49.9998,        -50.0000,        -49.9999,        -50.0000,        -50.0003,        -49.9998,        -50.0000,        -50.0026
          87,        0.716667,        -50.0000,        -49.9999,        -50.0001,        -49.9998,        -50.0000,        -49.9996,        -49.9999,        -50.0172
          88,        0.725000,        -50.0006,        -50.0001,        -50.0000,        -50.0002,        -50.0002,        -50.0003,        -50.0000,        -49.9809
          89,        0.733333,        -50.0005,        -50.0004,        -50.0000,        -49.9998,        -50.0001,        -50.0025,        -50.0003,        -49.9909
          90,        0.741667,        -50.0003,        -50.0002,        -50.0005,        -50.0004,        -49.9996,        -50.0119,        -49.9997,        -49.9909
          91,        0.750000,        -50.0004,        -49.9999,        -49.9999,        -50.0001,        -50.0005,        -49.9965,        -49.9998,        -49.9933
          92,        0.758333,        -50.0002,        -50.0002,        -50.0005,        -50.0002,        -50.0012,        -49.9974,        -50.0004,        -49.9959
          93,        0.766667,        -49.9998,        -50.0002,        -50.0001,        -50.0000,        -50.0006,        -49.9987,        -49.9998,        -49.9978
          94,        0.775000,        -50.0001,        -50.0001,        -50.0001,        -50.0002,        -50.0000,        -49.9991,        -50.0002,        -49.9991
          95,        0.783333,        -49.9998,        -50.0005,        -49.9999,        -50.0001,        -49.9998,        -49.9997,        -49.9998,        -49.9994
          96,        0.791667,        -49.9999,        -50.0001,        -50.0002,        -50.0000,        -50.0000,        -49.9998,        -50.0001,        -49.9989
          97,        0.800000,        -49.9998,        -50.0000,        -49.9999,        -49.9999,        -49.9997,        -49.9993,        -50.0005,        -49.9995
          98,        0.808333,        -49.9999,        -50.0001,        -50.0000,        -50.0001,        -49.9999,        -49.9998,        -49.9998,        -49.9998
          99,        0.816667,        -49.9999,        -50.0003,        -50.0004,        -49.9999,        -49.9997,        -50.0000,        -49.9997,        -49.9987
         100,        0.825000,        -49.9998,        -49.9999,        -50.0000,        -49.9999,        -49.9998,        -50.0001,        -50.0000,        -50.0001
         101,        0.833333,        -49.9997,        -50.0002,        -50.0001,        -49.9999,        -50.0002,        -50.0002,        -49.9996,        -49.9995
         102,        0.841667,        -50.0000,        -49.9999,        -50.0003,        -50.0003,        -49.9995,        -49.9997,        -50.0004,        -49.9999
         103,        0.850000,        -50.0004,        -50.0000,        -50.0004,        -50.0000,        -50.0002,        -50.0002,        -50.0007,        -49.9995
         104,        0.858333,        -49.9996,        -50.0000,        -50.0003,        -49.9999,        -50.0004,        -49.9999,        -49.9996,        -50.0003
         105,        0.866667,        -50.0001,        -50.0003,        -50.0002,        -50.0001,        -50.0002,        -49.9997,        -49.9994,        -50.0008
         106,        0.875000,        -49.9998,        -50.0001,        -49.9997,        -50.0003,        -49.9999,        -50.0001,        -49.9999,        -50.0005
         107,        0.883333,        -50.0003,        -50.0000,        -49.9999,        -50.0003,        -50.0000,        -49.9999,        -49.9997,        -50.0006
         108,        0.891667,        -49.9996,        -50.0002,        -50.0001,        -49.9999,        -50.0001,        -50.0000,        -49.9998,        -50.0012
         109,        0.900000,        -49.9999,        -50.0001,        -49.9999,        -50.0001,        -50.0002,        -50.0003,        -49.9998,        -50.0000
         110,        0.908333,        -49.9998,        -49.9997,        -49.9999,        -50.0000,        -49.9996,        -49.9996,        -50.0004,        -49.9999
         111,        0.916667,        -50.0000,        -50.0000,        -49.9997,        -50.0001,        -50.0001,        -49.9998,        -49.9999,        -49.9995
         112,        0.925000,        -50.0000,        -50.0001,        -49.9997,        -50.0000,        -50.0002,        -49.9999,        -49.9997,        -50.0004
         113,        0.933333,        -49.9999,        -49.9997,        -50.0003,        -50.0000,        -49.9998,        -49.9997,        -49.9996,        -49.9999
         114,        0.941667,        -49.9999,        -49.9999,        -49.9999,        -50.0001,        -50.0001,        -49.9999,        -50.0000,        -50.0012
         115,        0.950000,        -50.0000,        -50.0001,        -50.0001,        -49.9999,        -49.9998,        -49.9995,        -49.9997,        -50.0012
         116,        0.958333,        -49.9997,        -50.0000,        -50.0000,        -50.0001,        -50.0000,        -49.9998,        -50.0007,        -50.0001
         117,        0.966667,        -50.0001,        -49.9999,        -50.0005,        -50.0003,        -49.9997,        -50.0004,        -50.0003,        -50.0007
         118,        0.975000,        -49.9999,        -50.0000,        -49.9999,        -49.9997,        -50.0001,        -49.9998,        -49.9997,        -49.9990
         119,        0.983333,        -49.9999,        -49.9999,        -50.0000,        -50.0002,        -50.0000,        -50.0001,        -50.0011,        -49.9992
         120,        0.991667,        -50.0000,        -49.9999,        -50.0003,        -49.9997,        -50.0001,        -49.9994,        -49.9998,        -49.9997
         121,        1.000000,        -50.0002,        -50.0001,        -50.0001,        -49.9997,        -50.0000,        -50.0000,        -50.0006,        -49.9990
         122,        1.008333,        -50.0001,        -49.9999,        -50.0001,        -50.0002,        -50.0000,        -50.0002,        -50.0008,        -50.0004
         123,        1.016667,        -49.9999,        -50.0001,        -49.9999,        -50.0000,        -49.9998,        -49.9999,        -49.9993,        -49.9984
         124,        1.025000,        -50.0003,        -50.0000,        -49.9997,        -50.0003,        -50.0000,        -49.9999,        -50.0001,        -50.0012
         125,        1.033333,        -50.0002,        -49.9999,        -50.0005,        -49.9999,        -49.9999,        -49.9997,        -50.0000,        -49.9985
         126,        1.041667,        -50.0000,        -49.9998,        -49.9999,        -50.0001,        -50.0000,        -50.0000,        -50.0000,        -49.9995
         127,        1.050000,        -49.9997,        -49.9997,        -50.0000,        -50.0000,        -50.0000,        -49.9999,        -49.9998,        -50.0000
         128,        1.058333,        -50.0000,        -50.0001,        -49.9998,        -50.0001,        -50.0000,        -50.0002,        -49.9995,        -50.0004
         129,        1.066667,        -50.0004,        -49.9999,        -49.9997,        -50.0000,        -50.0002,        -50.0001,        -50.0005,        -49.9982
         130,        1.075000,        -49.9997,        -50.0001,        -49.9998,        -50.0002,        -49.9999,        -49.9998,        -50.0005,        -50.0003
         131,        1.083333,        -50.0003,        -50.0000,        -50.0000,        -50.0003,        -50.0001,        -50.0002,        -49.9999,        -49.9998
