"OutphaseC4_012 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Outphase\runs\OutphaseC4_012.tcf]","Time (h)","Q 2 [OutphaseC4_012]","Q 3 [OutphaseC4_012]","Q 4 [OutphaseC4_012]","Q 5 [OutphaseC4_012]","Q 6 [OutphaseC4_012]","Q 7 [OutphaseC4_012]","Q 1 [OutphaseC4_012]","Q  8 [OutphaseC4_012]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -1.9669,          0.0000
           3,        0.016667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -2.9826,          0.0000
           4,        0.025000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -5.1158,          0.0000
           5,        0.033333,         -1.4278,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -6.3320,          0.0000
           6,        0.041667,         -4.1572,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -8.4537,          0.0000
           7,        0.050000,         -6.6378,         -0.0011,          0.0000,          0.0000,          0.0000,          0.0000,         -9.9456,          0.0000
           8,        0.058333,         -8.7580,         -3.8292,          0.0000,          0.0000,          0.0000,          0.0000,        -11.3050,          0.0000
           9,        0.066667,        -10.4839,         -4.0905,          0.0000,          0.0000,          0.0000,          0.0000,        -12.2291,          0.0000
          10,        0.075000,        -11.7295,         -4.9889,          0.0000,          0.0000,          0.0000,          0.0000,        -13.0334,          0.0000
          11,        0.083333,        -12.6979,         -5.6836,          0.0000,          0.0000,          0.0000,          0.0000,        -13.6901,          0.0000
          12,        0.091667,        -13.3774,         -5.9986,          0.0000,          0.0000,          0.0000,          0.0000,        -13.9962,          0.0000
          13,        0.100000,        -13.8395,         -6.5360,          0.0000,          0.0000,          0.0000,          0.0000,        -14.4176,          0.0000
          14,        0.108333,        -14.2182,         -6.8433,         -0.0022,          0.0000,          0.0000,          0.0000,        -14.4349,          0.0000
          15,        0.116667,        -14.4231,         -7.3334,         -0.9219,          0.0000,          0.0000,          0.0000,        -14.7088,          0.0000
          16,        0.125000,        -14.6292,         -7.9603,         -1.9343,          0.0000,          0.0000,          0.0000,        -14.7554,          0.0000
