"InphaseC4_014 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_InphaseC4\runs\InphaseC4_014.tcf]","Time (h)","Q 2 [InphaseC4_014]","Q 3 [InphaseC4_014]","Q 4 [InphaseC4_014]","Q 5 [InphaseC4_014]","Q 6 [InphaseC4_014]","Q 7 [InphaseC4_014]","Q 1 [InphaseC4_014]","Q  8 [InphaseC4_014]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -26.2414,         -0.0005
           3,        0.016667,        -23.8888,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,        -30.6042,         -0.0008
           4,        0.025000,        -22.3163,         -0.1340,          0.0000,          0.0000,          0.0000,          0.0004,        -30.0400,         -0.0013
           5,        0.033333,        -19.8547,        -10.3711,          0.0000,          0.0000,          0.0000,          0.0002,        -29.8872,          0.0021
           6,        0.041667,        -22.8880,        -15.0104,         -9.3042,          0.0000,         -0.0006,          0.0003,        -28.4365,          0.0001
           7,        0.050000,        -25.9965,        -19.9447,        -13.0861,          0.0000,          0.0005,         -0.0001,        -28.9242,         -0.0007
           8,        0.058333,        -27.2893,        -23.7564,        -15.0706,         -2.5518,          0.0003,         -0.0004,        -29.2116,         -0.0008
           9,        0.066667,        -28.0684,        -25.9519,        -18.2811,         -7.5244,          0.0002,          0.0002,        -29.3681,          0.0003
          10,        0.075000,        -28.7516,        -27.3107,        -21.1781,        -13.1297,         -0.0020,          0.0007,        -29.5542,         -0.0008
          11,        0.083333,        -29.2250,        -28.2738,        -23.4639,        -17.8137,         -8.8120,          0.0000,        -29.7255,          0.0007
          12,        0.091667,        -29.5034,        -28.9102,        -25.4249,        -21.4425,        -12.8200,         -3.1701,        -29.8265,         -0.0013
          13,        0.100000,        -29.6729,        -29.2995,        -26.8881,        -24.1587,        -15.8868,         -9.0828,        -29.8814,         -6.9671
          14,        0.108333,        -29.7876,        -29.5490,        -27.8908,        -26.0704,        -19.4699,        -13.6101,        -29.9225,        -11.9008
          15,        0.116667,        -29.8664,        -29.7102,        -28.5753,        -27.3603,        -22.5008,        -18.1482,        -29.9505,        -19.5339
          16,        0.125000,        -29.9142,        -29.8144,        -29.0479,        -28.2308,        -24.5543,        -22.9374,        -29.9685,        -23.6522
          17,        0.133333,        -29.9445,        -29.8813,        -29.3708,        -28.8256,        -26.0797,        -24.2383,        -29.9802,        -24.7296
          18,        0.141667,        -29.9646,        -29.9240,        -29.5814,        -29.2210,        -27.2732,        -25.5969,        -29.9866,        -25.4540
          19,        0.150000,        -29.9779,        -29.9512,        -29.7229,        -29.4830,        -28.1215,        -26.8080,        -29.9918,        -26.3468
          20,        0.158333,        -29.9863,        -29.9686,        -29.8172,        -29.6586,        -28.7004,        -27.6580,        -29.9946,        -27.3125
          21,        0.166667,        -29.9910,        -29.9796,        -29.8794,        -29.7746,        -29.0977,        -28.4114,        -29.9967,        -28.1950
          22,        0.175000,        -29.9938,        -29.9874,        -29.9208,        -29.8510,        -29.3790,        -28.9333,        -29.9975,        -28.8235
          23,        0.183333,        -29.9961,        -29.9919,        -29.9476,        -29.9025,        -29.5758,        -29.2718,        -29.9983,        -29.2183
          24,        0.191667,        -29.9974,        -29.9946,        -29.9661,        -29.9354,        -29.7115,        -29.5061,        -29.9990,        -29.4688
          25,        0.200000,        -29.9983,        -29.9963,        -29.9775,        -29.9579,        -29.8031,        -29.6606,        -29.9991,        -29.6295
          26,        0.208333,        -29.9985,        -29.9981,        -29.9844,        -29.9730,        -29.8671,        -29.7660,        -30.0001,        -29.7415
          27,        0.216667,        -29.9994,        -29.9984,        -29.9909,        -29.9815,        -29.9093,        -29.8403,        -29.9999,        -29.8224
          28,        0.225000,        -29.9993,        -29.9989,        -29.9933,        -29.9878,        -29.9391,        -29.8912,        -29.9996,        -29.8795
          29,        0.233333,        -29.9996,        -29.9994,        -29.9952,        -29.9924,        -29.9590,        -29.9264,        -29.9999,        -29.9185
          30,        0.241667,        -30.0004,        -29.9995,        -29.9974,        -29.9953,        -29.9729,        -29.9508,        -30.0000,        -29.9454
          31,        0.250000,        -30.0007,        -29.9997,        -29.9980,        -29.9969,        -29.9816,        -29.9669,        -29.9997,        -29.9634
          32,        0.258333,        -30.0001,        -29.9999,        -29.9991,        -29.9983,        -29.9881,        -29.9778,        -30.0002,        -29.9763
          33,        0.266667,        -30.0005,        -30.0000,        -29.9992,        -29.9979,        -29.9910,        -29.9851,        -30.0002,        -29.9838
          34,        0.275000,        -29.9999,        -29.9997,        -29.9997,        -29.9992,        -29.9943,        -29.9900,        -30.0003,        -29.9889
          35,        0.283333,        -30.0002,        -30.0001,        -30.0001,        -29.9993,        -29.9971,        -29.9936,        -30.0002,        -29.9931
          36,        0.291667,        -29.9998,        -29.9998,        -29.9992,        -29.9992,        -29.9976,        -29.9953,        -30.0002,        -29.9953
          37,        0.300000,        -30.0003,        -29.9998,        -29.9995,        -29.9999,        -29.9989,        -29.9973,        -30.0000,        -29.9967
          38,        0.308333,        -29.9996,        -30.0000,        -30.0009,        -29.9997,        -29.9979,        -29.9979,        -29.9999,        -29.9974
          39,        0.316667,        -29.9997,        -30.0003,        -29.9999,        -29.9996,        -29.9999,        -29.9988,        -30.0000,        -29.9988
          40,        0.325000,        -30.0004,        -29.9999,        -29.9997,        -30.0000,        -29.9995,        -29.9992,        -29.9998,        -29.9997
          41,        0.333333,        -29.9999,        -30.0003,        -29.9999,        -30.0006,        -29.9994,        -29.9996,        -30.0000,        -29.9990
          42,        0.341667,        -29.9998,        -30.0000,        -30.0004,        -30.0004,        -30.0000,        -29.9997,        -29.9998,        -29.9994
          43,        0.350000,        -29.9997,        -30.0002,        -30.0000,        -30.0000,        -30.0001,        -29.9998,        -30.0000,        -29.9998
          44,        0.358333,        -29.9995,        -30.0000,        -30.0002,        -29.9999,        -29.9996,        -29.9998,        -30.0002,        -30.0000
