"InphaseC4_014 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_InphaseC4\runs\InphaseC4_014.tcf]","Time (h)","V 2 [InphaseC4_014]","V 3 [InphaseC4_014]","V 4 [InphaseC4_014]","V 5 [InphaseC4_014]","V 6 [InphaseC4_014]","V 7 [InphaseC4_014]","V 8 [InphaseC4_014]","V 9 [InphaseC4_014]","V 10 [InphaseC4_014]","V 11 [InphaseC4_014]","V 12 [InphaseC4_014]","V 13 [InphaseC4_014]","V 14 [InphaseC4_014]","V 15 [InphaseC4_014]","V 16 [InphaseC4_014]","V  1 [InphaseC4_014]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          3.6717,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          2.8033
           3,        0.016667,          2.9418,          0.0000,          0.5911,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          2.8965
           4,        0.025000,          2.6562,          0.1148,          1.0660,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          2.8818
           5,        0.033333,          1.8577,          0.0966,          0.9813,          1.7259,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          0.0001,          0.0000,          0.0000,          2.8490
           6,        0.041667,          1.6809,          0.2701,          1.0467,          1.8900,          2.3030,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          0.0001,          0.0001,          0.0000,          2.7972
           7,        0.050000,          1.6047,          0.3943,          1.1381,          2.0427,          2.5921,          0.0000,          0.4228,          0.0000,          0.0001,          0.0000,          0.0001,          0.0001,          0.0001,          0.0000,          0.0001,          2.1472
           8,        0.058333,          1.5368,          0.4374,          1.1740,          2.1329,          2.4971,          0.0000,          0.5282,          0.0000,          0.0000,          0.0001,          0.0003,          0.0001,          0.0001,          0.0000,          0.0000,          2.0166
           9,        0.066667,          1.4906,          0.4736,          1.1878,          2.1739,          1.9603,          0.1097,          0.6760,          0.1251,          0.0000,          0.0001,          0.0000,          0.0001,          0.0001,          0.0001,          0.0001,          1.9313
          10,        0.075000,          1.4679,          0.5045,          1.2004,          2.1981,          1.7773,          0.2004,          0.7704,          1.3569,          0.3426,          0.0033,          0.0002,          0.0001,          0.0001,          0.0001,          0.0000,          1.8759
          11,        0.083333,          1.4542,          0.5220,          1.2087,          2.2154,          1.6662,          0.2687,          0.8408,          1.7155,          0.5267,          0.4845,          0.0641,          0.0001,          0.0001,          0.0000,          0.0001,          1.8417
          12,        0.091667,          1.4438,          0.5325,          1.2131,          2.2263,          1.5994,          0.3378,          0.9006,          1.9041,          0.3759,          0.5717,          0.7445,          0.4315,          0.1145,          0.0000,          0.0001,          1.8200
          13,        0.100000,          1.4364,          0.5392,          1.2158,          2.2326,          1.5547,          0.3956,          0.9428,          2.0162,          0.3419,          0.5998,          0.9622,          0.6715,          0.3793,          0.2583,          0.0994,          1.8064
          14,        0.108333,          1.4320,          0.5438,          1.2173,          2.2368,          1.5237,          0.4347,          0.9728,          2.0854,          0.3966,          0.6080,          1.1105,          0.9067,          0.6512,          0.4277,          0.4092,          1.7975
          15,        0.116667,          1.4292,          0.5468,          1.2184,          2.2393,          1.5017,          0.4599,          0.9921,          2.1277,          0.4602,          0.6561,          1.2153,          1.1247,          0.9449,          0.7333,          0.6374,          1.7916
          16,        0.125000,          1.4274,          0.5486,          1.2192,          2.2409,          1.4877,          0.4770,          1.0056,          2.1533,          0.5104,          0.6889,          1.2754,          1.5201,          1.2088,          0.8838,          0.7714,          1.7881
          17,        0.133333,          1.4263,          0.5499,          1.2196,          2.2420,          1.4784,          0.4882,          1.0147,          2.1755,          0.5513,          0.7192,          1.3173,          1.7151,          1.3382,          0.9827,          0.8423,          1.7858
          18,        0.141667,          1.4255,          0.5507,          1.2198,          2.2426,          1.4716,          0.4961,          1.0211,          2.1897,          0.5852,          0.7460,          1.3489,          1.8432,          1.4454,          1.0467,          0.8779,          1.7842
          19,        0.150000,          1.4251,          0.5512,          1.2200,          2.2431,          1.4674,          0.4998,          1.0251,          2.1906,          0.6094,          0.7654,          1.3699,          1.9340,          1.5120,          1.0950,          0.9387,          1.7833
          20,        0.158333,          1.4248,          0.5517,          1.2201,          2.2434,          1.4644,          0.5023,          1.0279,          2.1892,          0.6274,          0.7780,          1.3841,          1.9809,          1.5494,          1.1380,          0.9855,          1.7827
          21,        0.166667,          1.4245,          0.5518,          1.2202,          2.2437,          1.4624,          0.5041,          1.0298,          2.1770,          0.6403,          0.7873,          1.3937,          2.0046,          1.5771,          1.1733,          1.0223,          1.7823
          22,        0.175000,          1.4244,          0.5519,          1.2203,          2.2438,          1.4611,          0.5053,          1.0310,          2.1564,          0.6492,          0.7940,          1.4005,          2.0286,          1.5954,          1.1966,          1.0499,          1.7820
          23,        0.183333,          1.4243,          0.5520,          1.2203,          2.2439,          1.4603,          0.5060,          1.0318,          2.1451,          0.6552,          0.7984,          1.4051,          2.0477,          1.6087,          1.2113,          1.0668,          1.7819
          24,        0.191667,          1.4243,          0.5520,          1.2203,          2.2439,          1.4597,          0.5065,          1.0324,          2.1376,          0.6595,          0.8015,          1.4084,          2.0616,          1.6188,          1.2206,          1.0771,          1.7818
          25,        0.200000,          1.4242,          0.5521,          1.2203,          2.2440,          1.4594,          0.5068,          1.0328,          2.1325,          0.6624,          0.8036,          1.4106,          2.0715,          1.6257,          1.2268,          1.0835,          1.7818
          26,        0.208333,          1.4242,          0.5521,          1.2203,          2.2440,          1.4592,          0.5071,          1.0330,          2.1286,          0.6643,          0.8052,          1.4121,          2.0778,          1.6303,          1.2311,          1.0876,          1.7817
          27,        0.216667,          1.4242,          0.5522,          1.2203,          2.2440,          1.4590,          0.5073,          1.0331,          2.1194,          0.6657,          0.8063,          1.4132,          2.0816,          1.6334,          1.2342,          1.0906,          1.7817
          28,        0.225000,          1.4242,          0.5522,          1.2203,          2.2441,          1.4588,          0.5073,          1.0333,          2.1141,          0.6667,          0.8070,          1.4139,          2.0843,          1.6354,          1.2364,          1.0928,          1.7817
