"OutphaseC4_003 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Outphase\runs\OutphaseC4_003.tcf]","Time (h)","Q 2 [OutphaseC4_003]","Q 3 [OutphaseC4_003]","Q 4 [OutphaseC4_003]","Q 5 [OutphaseC4_003]","Q 6 [OutphaseC4_003]","Q 7 [OutphaseC4_003]","Q 1 [OutphaseC4_003]","Q  8 [OutphaseC4_003]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           3,        0.016667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           4,        0.025000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0003,          0.0000
           5,        0.033333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.1076,          0.0000
           6,        0.041667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.2208,          0.0000
           7,        0.050000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.3370,          0.0000
           8,        0.058333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.4288,          0.0000
           9,        0.066667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.5277,          0.0000
          10,        0.075000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.6126,          0.0000
          11,        0.083333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.7174,          0.0000
          12,        0.091667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.8202,          0.0000
          13,        0.100000,         -0.0001,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.9355,          0.0000
          14,        0.108333,         -0.1563,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -1.0798,          0.0000
          15,        0.116667,         -0.3834,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -1.2682,          0.0000
          16,        0.125000,         -0.6248,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -1.4280,          0.0000
          17,        0.133333,         -0.8707,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -1.6071,          0.0000
          18,        0.141667,         -1.1175,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -1.7790,          0.0000
          19,        0.150000,         -1.3515,         -0.3204,          0.0000,          0.0000,          0.0000,          0.0000,         -1.9322,          0.0000
          20,        0.158333,         -1.5721,         -0.4168,          0.0000,          0.0000,          0.0000,          0.0000,         -2.0874,          0.0000
          21,        0.166667,         -1.7728,         -0.5125,          0.0000,          0.0000,          0.0000,          0.0000,         -2.2064,          0.0000
          22,        0.175000,         -1.9499,         -0.6115,          0.0000,          0.0000,          0.0000,          0.0000,         -2.3350,          0.0000
          23,        0.183333,         -2.1087,         -0.6825,          0.0000,          0.0000,          0.0000,          0.0000,         -2.4295,          0.0000
          24,        0.191667,         -2.2464,         -0.7699,          0.0000,          0.0000,          0.0000,          0.0000,         -2.5194,          0.0000
          25,        0.200000,         -2.3662,         -0.8283,          0.0000,          0.0000,          0.0000,          0.0000,         -2.6014,          0.0000
          26,        0.208333,         -2.4680,         -0.9014,          0.0000,          0.0000,          0.0000,          0.0000,         -2.6615,          0.0000
          27,        0.216667,         -2.5547,         -0.9488,          0.0000,          0.0000,          0.0000,          0.0000,         -2.7204,          0.0000
