"InphaseC4_011","Location","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow"
"F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Inphase\runs\InphaseC4_011.tcf","Time","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"," 1","2","3","4","5","6","7","1"," 8"
"F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Inphase\results\011\InphaseC4_011_PO.csv",        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          2.3605,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -9.8951,          0.0007
,        0.016667,          2.4635,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          2.3285,         -7.6542,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -12.0042,          0.0018
,        0.025000,          2.3142,          0.0000,          0.4816,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          2.3270,         -7.9361,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,        -12.0007,         -0.0005
,        0.033333,          1.5516,          0.0000,          0.3845,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0000,          0.0001,          2.3270,         -5.9660,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0001,        -11.9999,         -0.0023
,        0.041667,          1.2764,          0.0281,          0.4078,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0000,          0.0001,          2.3269,         -6.7129,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0000,        -12.0001,          0.0009
,        0.050000,          1.1623,          0.0467,          0.5133,          0.6904,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0001,          0.0000,          0.0000,          2.3196,         -8.0267,         -1.1586,          0.0000,          0.0000,          0.0000,          0.0007,        -11.8953,          0.0004
,        0.058333,          1.0656,          0.0672,          0.5516,          1.1808,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          0.0001,          2.2268,         -8.4266,         -3.4058,          0.0000,          0.0000,          0.0000,          0.0005,        -11.5827,          0.0004
,        0.066667,          1.0069,          0.1021,          0.5884,          1.3713,          1.6597,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          1.7611,         -8.9895,         -5.2317,         -0.4190,          0.0000,          0.0000,          0.0005,        -11.4582,         -0.0003
