"InphaseC4_003 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_inphase\runs\InphaseC4_003.tcf]","Time (h)","Q 2 [InphaseC4_003]","Q 3 [InphaseC4_003]","Q 4 [InphaseC4_003]","Q 5 [InphaseC4_003]","Q 6 [InphaseC4_003]","Q 7 [InphaseC4_003]","Q 1 [InphaseC4_003]","Q  8 [InphaseC4_003]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -19.8299,         -0.0001
           3,        0.016667,        -16.8011,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0002,        -21.6824,         -0.0007
           4,        0.025000,        -14.9959,          0.0000,          0.0000,          0.0000,          0.0000,          0.0004,        -21.6413,         -0.0018
           5,        0.033333,        -12.7971,         -3.2313,          0.0000,          0.0000,          0.0000,         -0.0009,        -21.6373,         -0.0001
           6,        0.041667,        -15.0542,         -6.9070,          0.0000,          0.0000,         -0.0000,         -0.0004,        -21.0295,          0.0013
           7,        0.050000,        -17.5148,        -10.9547,         -5.7908,          0.0000,          0.0002,          0.0006,        -20.8192,          0.0001
           8,        0.058333,        -18.5902,        -14.4613,         -8.6805,          0.0000,          0.0008,          0.0003,        -20.9273,          0.0004
           9,        0.066667,        -19.3533,        -16.6821,        -10.2619,          0.0000,          0.0005,          0.0004,        -20.9903,         -0.0011
          10,        0.075000,        -20.1080,        -18.2118,        -12.0157,         -2.4839,          0.0001,         -0.0007,        -21.1736,          0.0012
          11,        0.083333,        -20.6495,        -19.3485,        -13.7203,         -5.8200,         -0.0009,          0.0002,        -21.3374,          0.0011
          12,        0.091667,        -20.9639,        -20.1225,        -15.4070,         -9.3267,         -0.0009,          0.0009,        -21.4305,         -0.0003
          13,        0.100000,        -21.1777,        -20.6241,        -17.0257,        -12.4768,         -5.7927,          0.0005,        -21.4880,         -0.0000
          14,        0.108333,        -21.3318,        -20.9579,        -18.2996,        -15.0260,         -7.7158,         -0.0008,        -21.5373,          0.0007
          15,        0.116667,        -21.4375,        -21.1862,        -19.2398,        -16.9492,         -9.5219,         -4.0257,        -21.5723,         -0.2171
          16,        0.125000,        -21.5039,        -21.3382,        -19.9594,        -18.3530,        -12.1266,         -6.4620,        -21.5935,         -4.7329
          17,        0.133333,        -21.5474,        -21.4378,        -20.4683,        -19.3559,        -14.4798,         -9.3444,        -21.6076,         -9.9288
          18,        0.141667,        -21.5780,        -21.5044,        -20.8321,        -20.0649,        -16.1746,        -13.9232,        -21.6175,        -13.2488
          19,        0.150000,        -21.5979,        -21.5490,        -21.0837,        -20.5552,        -17.5514,        -15.1165,        -21.6239,        -15.5756
          20,        0.158333,        -21.6108,        -21.5785,        -21.2571,        -20.8950,        -18.6746,        -16.6367,        -21.6286,        -16.5875
          21,        0.166667,        -21.6194,        -21.5983,        -21.3769,        -21.1292,        -19.5130,        -17.9952,        -21.6314,        -17.6053
          22,        0.175000,        -21.6259,        -21.6114,        -21.4597,        -21.2902,        -20.1106,        -18.8865,        -21.6333,        -18.5439
          23,        0.183333,        -21.6294,        -21.6200,        -21.5160,        -21.4002,        -20.5499,        -19.6650,        -21.6344,        -19.3782
          24,        0.191667,        -21.6316,        -21.6258,        -21.5552,        -21.4751,        -20.8690,        -20.2596,        -21.6353,        -20.0753
          25,        0.200000,        -21.6333,        -21.6295,        -21.5816,        -21.5268,        -21.0956,        -20.6647,        -21.6361,        -20.5535
          26,        0.208333,        -21.6343,        -21.6324,        -21.5987,        -21.5621,        -21.2562,        -20.9546,        -21.6363,        -20.8773
          27,        0.216667,        -21.6356,        -21.6338,        -21.6119,        -21.5861,        -21.3716,        -21.1563,        -21.6366,        -21.0984
          28,        0.225000,        -21.6366,        -21.6347,        -21.6195,        -21.6025,        -21.4516,        -21.2969,        -21.6369,        -21.2520
          29,        0.233333,        -21.6368,        -21.6358,        -21.6251,        -21.6134,        -21.5066,        -21.3977,        -21.6370,        -21.3641
          30,        0.241667,        -21.6367,        -21.6363,        -21.6295,        -21.6209,        -21.5459,        -21.4692,        -21.6367,        -21.4444
          31,        0.250000,        -21.6367,        -21.6365,        -21.6311,        -21.6259,        -21.5745,        -21.5197,        -21.6370,        -21.5014
          32,        0.258333,        -21.6370,        -21.6369,        -21.6331,        -21.6298,        -21.5932,        -21.5553,        -21.6369,        -21.5431
          33,        0.266667,        -21.6375,        -21.6367,        -21.6348,        -21.6323,        -21.6060,        -21.5801,        -21.6372,        -21.5714
          34,        0.275000,        -21.6379,        -21.6367,        -21.6347,        -21.6337,        -21.6162,        -21.5974,        -21.6369,        -21.5909
          35,        0.283333,        -21.6366,        -21.6368,        -21.6364,        -21.6349,        -21.6223,        -21.6096,        -21.6371,        -21.6055
          36,        0.291667,        -21.6370,        -21.6373,        -21.6364,        -21.6356,        -21.6267,        -21.6184,        -21.6371,        -21.6148
          37,        0.300000,        -21.6370,        -21.6369,        -21.6368,        -21.6361,        -21.6300,        -21.6238,        -21.6371,        -21.6219
          38,        0.308333,        -21.6373,        -21.6372,        -21.6368,        -21.6362,        -21.6326,        -21.6281,        -21.6370,        -21.6261
          39,        0.316667,        -21.6373,        -21.6367,        -21.6371,        -21.6364,        -21.6331,        -21.6309,        -21.6372,        -21.6304
          40,        0.325000,        -21.6371,        -21.6372,        -21.6373,        -21.6370,        -21.6345,        -21.6329,        -21.6369,        -21.6323
