"InphaseC4_003 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_inphase\runs\InphaseC4_003.tcf]","Time (h)","V 2 [InphaseC4_003]","V 3 [InphaseC4_003]","V 4 [InphaseC4_003]","V 5 [InphaseC4_003]","V 6 [InphaseC4_003]","V 7 [InphaseC4_003]","V 8 [InphaseC4_003]","V 9 [InphaseC4_003]","V 10 [InphaseC4_003]","V 11 [InphaseC4_003]","V 12 [InphaseC4_003]","V 13 [InphaseC4_003]","V 14 [InphaseC4_003]","V 15 [InphaseC4_003]","V 16 [InphaseC4_003]","V  1 [InphaseC4_003]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          3.2871,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          2.7289
           3,        0.016667,          2.7918,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          2.6816
           4,        0.025000,          2.5414,          0.1794,          0.8516,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          0.0000,          2.6794
           5,        0.033333,          1.7098,          0.0695,          0.7148,          1.1657,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          0.0001,          2.6794
           6,        0.041667,          1.5162,          0.1095,          0.7874,          1.5015,          1.3393,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          0.0001,          0.0001,          0.0001,          0.0001,          2.6714
           7,        0.050000,          1.4344,          0.2257,          0.8945,          1.7287,          2.1507,          0.0000,          0.0000,          0.0000,          0.0002,          0.0001,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          2.1446
           8,        0.058333,          1.3567,          0.2699,          0.9394,          1.8682,          2.4257,          0.0000,          0.0000,          0.0000,          0.0003,          0.0002,          0.0000,          0.0002,          0.0000,          0.0000,          0.0000,          1.9510
           9,        0.066667,          1.3085,          0.3030,          0.9634,          1.9363,          2.5385,          0.0000,          0.3091,          0.0000,          0.0002,          0.0001,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          1.8370
          10,        0.075000,          1.2861,          0.3338,          0.9843,          1.9791,          1.8437,          0.0000,          0.4610,          0.0000,          0.0001,          0.0001,          0.0000,          0.0001,          0.0000,          0.0000,          0.0000,          1.7663
