"sfe_25 [F:\tuflow-wf_python3\output_folder\sfe_25_tuflow\runs\009\sfe_25.tcf]","Time (h)","V 1 [sfe_25]","V 2 [sfe_25]","V 3 [sfe_25]","V 4 [sfe_25]","V 5 [sfe_25]","V 6 [sfe_25]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.016667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           3,        0.033333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           4,        0.050000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           5,        0.066667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           6,        0.083333,          1.0537,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           7,        0.100000,          0.6562,          1.2753,          0.0000,          0.0000,          0.0000,          0.0000
           8,        0.116667,          0.7148,          1.5663,          0.8563,          0.0000,          0.0000,          0.0000
           9,        0.133333,          0.7549,          1.7372,          0.1846,          1.0321,          0.4526,          0.0000
          10,        0.150000,          0.8208,          1.4755,          0.1399,          1.5071,          0.9982,          0.1465
          11,        0.166667,          0.8713,          1.2939,          0.1376,          1.8414,          1.2501,          1.1050
          12,        0.183333,          0.9058,          1.2530,          0.0422,          2.0084,          1.3383,          1.5968
          13,        0.200000,          0.9271,          1.2419,          0.0276,          2.0709,          1.4081,          1.7464
          14,        0.216667,          0.9380,          1.2442,          0.0695,          2.0909,          1.4772,          1.8182
          15,        0.233333,          0.9429,          1.2479,          0.0654,          2.1060,          1.5026,          1.8555
          16,        0.250000,          0.9435,          1.2529,          0.0683,          2.1153,          1.5072,          1.8752
          17,        0.266667,          0.9457,          1.2567,          0.0769,          2.1204,          1.5392,          1.8816
          18,        0.283333,          0.9470,          1.2581,          0.0810,          2.1235,          1.5453,          1.8872
          19,        0.300000,          0.9478,          1.2588,          0.0817,          2.1255,          1.5480,          1.8913
          20,        0.316667,          0.9485,          1.2591,          0.0807,          2.1266,          1.5530,          1.8934
          21,        0.333333,          0.9486,          1.2592,          0.0800,          2.1275,          1.5541,          1.8939
          22,        0.350000,          0.9488,          1.2590,          0.0797,          2.1282,          1.5550,          1.8950
          23,        0.366667,          0.9488,          1.2588,          0.0800,          2.1287,          1.5555,          1.8959
          24,        0.383333,          0.9492,          1.2587,          0.0802,          2.1290,          1.5564,          1.8965
          25,        0.400000,          0.9496,          1.2591,          0.0797,          2.1294,          1.5549,          1.8970
          26,        0.416667,          0.9498,          1.2593,          0.0795,          2.1298,          1.5553,          1.8974
          27,        0.433333,          0.9499,          1.2597,          0.0794,          2.1300,          1.5556,          1.8978
          28,        0.450000,          0.9501,          1.2597,          0.0793,          2.1301,          1.5559,          1.8982
          29,        0.466667,          0.9501,          1.2600,          0.0793,          2.1304,          1.5562,          1.8985
          30,        0.483333,          0.9502,          1.2602,          0.0793,          2.1305,          1.5563,          1.8986
          31,        0.500000,          0.9503,          1.2604,          0.0792,          2.1306,          1.5564,          1.8988
          32,        0.516667,          0.9502,          1.2605,          0.0792,          2.1307,          1.5565,          1.8988
          33,        0.533333,          0.9503,          1.2603,          0.0793,          2.1306,          1.5566,          1.8989
          34,        0.550000,          0.9504,          1.2604,          0.0792,          2.1307,          1.5566,          1.8993
          35,        0.566667,          0.9503,          1.2609,          0.0793,          2.1307,          1.5566,          1.8993
          36,        0.583333,          0.9503,          1.2609,          0.0794,          2.1307,          1.5567,          1.8994
          37,        0.600000,          0.9503,          1.2604,          0.0793,          2.1308,          1.5567,          1.8994
          38,        0.616667,          0.9503,          1.2607,          0.0793,          2.1308,          1.5566,          1.8994
          39,        0.633333,          0.9504,          1.2606,          0.0793,          2.1308,          1.5567,          1.8994
          40,        0.650000,          0.9504,          1.2606,          0.0794,          2.1308,          1.5567,          1.8994
          41,        0.666667,          0.9503,          1.2608,          0.0794,          2.1308,          1.5567,          1.8994
          42,        0.683333,          0.9503,          1.2604,          0.0793,          2.1308,          1.5567,          1.8994
          43,        0.700000,          0.9503,          1.2606,          0.0794,          2.1308,          1.5567,          1.8994
          44,        0.716667,          0.9503,          1.2606,          0.0793,          2.1308,          1.5567,          1.8994
          45,        0.733333,          0.9503,          1.2609,          0.0793,          2.1308,          1.5567,          1.8994
          46,        0.750000,          0.9504,          1.2607,          0.0793,          2.1308,          1.5567,          1.8994
          47,        0.766667,          0.9503,          1.2605,          0.0794,          2.1308,          1.5567,          1.8995
          48,        0.783333,          0.9504,          1.2608,          0.0794,          2.1308,          1.5567,          1.8994
          49,        0.800000,          0.9504,          1.2604,          0.0793,          2.1308,          1.5567,          1.8994
          50,        0.816667,          0.9503,          1.2608,          0.0793,          2.1308,          1.5567,          1.8994
          51,        0.833333,          0.9504,          1.2608,          0.0794,          2.1308,          1.5567,          1.8994
          52,        0.850000,          0.9503,          1.2604,          0.0793,          2.1308,          1.5567,          1.8994
          53,        0.866667,          0.9503,          1.2609,          0.0794,          2.1308,          1.5567,          1.8994
          54,        0.883333,          0.9503,          1.2603,          0.0794,          2.1308,          1.5567,          1.8994
          55,        0.900000,          0.9503,          1.2607,          0.0794,          2.1308,          1.5567,          1.8994
          56,        0.916667,          0.9504,          1.2608,          0.0794,          2.1308,          1.5567,          1.8995
          57,        0.933333,          0.9504,          1.2603,          0.0793,          2.1308,          1.5567,          1.8994
          58,        0.950000,          0.9503,          1.2609,          0.0794,          2.1308,          1.5567,          1.8994
          59,        0.966667,          0.9503,          1.2606,          0.0794,          2.1308,          1.5567,          1.8994
          60,        0.983333,          0.9504,          1.2606,          0.0794,          2.1308,          1.5567,          1.8994
          61,        1.000000,          0.9503,          1.2607,          0.0794,          2.1308,          1.5567,          1.8994
          62,        1.016667,          0.9503,          1.2604,          0.0794,          2.1308,          1.5567,          1.8995
          63,        1.033333,          0.9503,          1.2608,          0.0794,          2.1308,          1.5567,          1.8994
          64,        1.050000,          0.9503,          1.2605,          0.0794,          2.1308,          1.5567,          1.8994
          65,        1.066667,          0.9503,          1.2608,          0.0794,          2.1308,          1.5567,          1.8994
          66,        1.083333,          0.9503,          1.2607,          0.0794,          2.1308,          1.5567,          1.8994
