"OutphaseC4_018 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_OutphaseC4\runs\OutphaseC4_018.tcf]","Time (h)","Q 2 [OutphaseC4_018]","Q 3 [OutphaseC4_018]","Q 4 [OutphaseC4_018]","Q 5 [OutphaseC4_018]","Q 6 [OutphaseC4_018]","Q 7 [OutphaseC4_018]","Q 1 [OutphaseC4_018]","Q  8 [OutphaseC4_018]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -32.2082,         -0.0002
           3,        0.016667,        -18.4161,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -41.4590,         -0.0001
           4,        0.025000,        -37.5589,        -18.9197,          0.0000,          0.0000,          0.0000,          0.0000,        -52.8386,          0.0000
           5,        0.033333,        -51.7635,        -29.4704,          0.0000,          0.0000,          0.0000,          0.0000,        -61.6429,          0.0006
           6,        0.041667,        -58.6346,        -31.2883,         -3.0135,          0.0000,          0.0000,          0.0000,        -63.4974,         -0.0009
           7,        0.050000,        -63.0410,        -37.2906,        -12.0882,          0.0000,          0.0000,          0.0000,        -66.7298,          0.0003
           8,        0.058333,        -65.8414,        -42.7325,        -22.9277,        -14.6559,          0.0000,          0.0000,        -67.9048,          0.0007
           9,        0.066667,        -67.4620,        -48.4216,        -32.5451,        -24.1686,          0.0000,          0.0000,        -68.5341,         -0.0007
          10,        0.075000,        -68.3822,        -52.9446,        -40.6376,        -27.8215,          0.0000,          0.0000,        -69.1987,          0.0013
          11,        0.083333,        -69.0019,        -56.6587,        -46.9911,        -32.7211,          0.0000,          0.0000,        -69.5009,         -0.0002
          12,        0.091667,        -69.3711,        -59.7629,        -51.9490,        -36.9437,         -6.3494,          0.0000,        -69.6964,          0.0004
          13,        0.100000,        -69.6053,        -62.0450,        -55.7810,        -41.7235,        -14.7003,         -0.7750,        -69.8229,          0.0010
          14,        0.108333,        -69.7611,        -63.7970,        -58.7818,        -46.3595,        -23.3068,         -3.3813,        -69.8712,         -0.0004
          15,        0.116667,        -69.8593,        -65.1394,        -61.1163,        -50.4138,        -31.2174,         -6.5621,        -69.9243,          0.0008
          16,        0.125000,        -69.9105,        -66.1690,        -62.9425,        -53.9096,        -38.0560,        -11.6681,        -69.9450,         -0.3091
          17,        0.133333,        -69.8997,        -66.9814,        -64.3763,        -56.8470,        -43.8002,        -16.9047,        -69.9649,         -7.0850
          18,        0.141667,        -69.9263,        -67.6042,        -65.5123,        -59.3510,        -48.5553,        -23.1939,        -69.9757,        -13.0959
