"OutphaseC4_018 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_OutphaseC4\runs\OutphaseC4_018.tcf]","Time (h)","V 2 [OutphaseC4_018]","V 3 [OutphaseC4_018]","V 4 [OutphaseC4_018]","V 5 [OutphaseC4_018]","V 6 [OutphaseC4_018]","V 7 [OutphaseC4_018]","V 8 [OutphaseC4_018]","V 9 [OutphaseC4_018]","V 10 [OutphaseC4_018]","V 11 [OutphaseC4_018]","V 12 [OutphaseC4_018]","V 13 [OutphaseC4_018]","V 14 [OutphaseC4_018]","V 15 [OutphaseC4_018]","V 16 [OutphaseC4_018]","V  1 [OutphaseC4_018]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          2.2539,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          1.7385
           3,        0.016667,          1.7205,          0.0000,          2.4512,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.9773
           4,        0.025000,          1.9258,          1.6239,          3.4427,          1.7046,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          1.0471
           5,        0.033333,          1.9383,          2.2854,          3.9936,          1.3095,          1.1640,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.9870
           6,        0.041667,          1.9861,          2.5324,          3.5466,          1.2574,          0.9354,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.9443
           7,        0.050000,          1.9708,          2.6770,          3.0388,          1.5780,          1.0875,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.9530
           8,        0.058333,          1.9571,          2.7690,          2.7736,          1.8100,          1.2038,          0.1273,          1.3806,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.9498
           9,        0.066667,          1.9559,          2.8186,          2.5846,          1.8681,          1.3931,          1.3945,          2.0036,          0.5201,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.9436
          10,        0.075000,          1.9543,          2.8509,          2.4674,          1.8614,          1.5143,          1.7713,          1.9318,          0.4319,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.9433
          11,        0.083333,          1.9510,          2.8718,          2.3921,          1.8521,          1.5873,          2.0068,          0.3233,          0.4796,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.9426
          12,        0.091667,          1.9507,          2.8776,          2.3429,          1.8472,          1.6404,          2.1762,          0.1336,          0.5144,          0.9408,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.9419
          13,        0.100000,          1.9498,          2.8877,          2.3015,          1.8364,          1.6743,          2.3065,          0.1237,          0.5742,          1.2888,          1.5339,          0.4627,          0.4375,          0.1143,          0.0000,          0.0000,          0.9418
          14,        0.108333,          1.9494,          2.8501,          2.2563,          1.8076,          1.6898,          2.3600,          0.1550,          0.6453,          1.4932,          2.1305,          0.1606,          0.3605,          0.4033,          0.0000,          0.0001,          0.9415
          15,        0.116667,          1.9491,          2.6430,          2.2166,          1.7634,          1.6928,          2.4143,          0.1788,          0.7398,          1.6083,          2.5636,          0.1713,          0.4077,          0.4806,          0.4967,          0.0001,          0.9414
          16,        0.125000,          1.9489,          2.3433,          2.1879,          1.7377,          1.6944,          2.4595,          0.1964,          0.7953,          1.7024,          2.8777,          0.1475,          0.4766,          0.5855,          1.4477,          0.0001,          0.9414
          17,        0.133333,          1.9487,          2.1065,          2.1687,          1.7296,          1.7062,          2.4986,          0.2232,          0.8015,          1.7637,          3.0950,          0.0964,          0.5689,          0.7465,          1.8718,          0.4216,          0.9413
          18,        0.141667,          1.9488,          1.9497,          2.1529,          1.7202,          1.7129,          2.5299,          0.2710,          0.7997,          1.8006,          3.2603,          0.0702,          0.6833,          1.0074,          2.1595,          1.4514,          0.9413
          19,        0.150000,          1.9487,          1.8374,          2.1407,          1.7063,          1.7091,          2.5556,          0.3278,          0.8329,          1.8413,          3.3841,          0.1175,          0.7745,          1.2023,          2.3803,          2.1732,          0.9413
          20,        0.158333,          1.9486,          1.7719,          2.1308,          1.6950,          1.7074,          2.5772,          0.3708,          0.8859,          1.8812,          3.4732,          0.1844,          0.8287,          1.3468,          2.5456,          2.5884,          0.9413
          21,        0.166667,          1.9486,          1.7198,          2.1272,          1.6866,          1.7040,          2.5944,          0.3961,          0.9241,          1.9021,          3.0759,          0.2415,          0.9144,          1.4536,          2.6783,          2.8673,          0.9412
          22,        0.175000,          1.9486,          1.6843,          2.1159,          1.6869,          1.7101,          2.6094,          0.4096,          0.9316,          1.9071,          2.5413,          0.2665,          0.9837,          1.5289,          2.7768,          3.7026,          0.9412
          23,        0.183333,          1.9486,          1.6627,          2.1120,          1.6557,          1.7017,          2.6186,          0.4185,          0.9260,          1.9054,          2.2336,          0.2853,          0.9838,          1.5866,          2.8539,          4.1909,          0.9412
          24,        0.191667,          1.9486,          1.6443,          2.1154,          1.6650,          1.6986,          2.6276,          0.4269,          0.9270,          1.9118,          2.0742,          0.2968,          0.9745,          1.6311,          2.9237,          4.3086,          0.9412
          25,        0.200000,          1.9486,          1.6292,          2.1101,          1.6695,          1.7138,          2.6362,          0.4373,          0.9252,          1.9172,          1.9884,          0.3072,          0.9819,          1.6601,          2.9757,          4.4010,          0.9413
          26,        0.208333,          1.9486,          1.6174,          2.1083,          1.6423,          1.6999,          2.6407,          0.4452,          0.9414,          1.9223,          1.9330,          0.3189,          1.0101,          1.6802,          3.0138,          4.4768,          0.9412
          27,        0.216667,          1.9486,          1.6087,          2.1084,          1.6421,          1.6972,          2.6464,          0.4571,          0.9398,          1.9253,          1.8984,          0.3237,          1.0549,          1.6940,          3.0455,          4.5351,          0.9412
          28,        0.225000,          1.9486,          1.6019,          2.1079,          1.6383,          1.7050,          2.6509,          0.4592,          0.9588,          1.9253,          1.8728,          0.3241,          1.0768,          1.7021,          3.0714,          4.5875,          0.9412
          29,        0.233333,          1.9486,          1.5966,          2.1089,          1.6299,          1.7015,          2.6517,          0.4644,          0.9481,          1.9297,          1.8554,          0.3280,          1.0746,          1.7099,          3.0956,          4.6278,          0.9412
