"Time (h)    ","1D and 2D:  ","H Vol In    ","H Vol Out   ","Q Vol In    ","Q Vol Out   ","Tot Vol In  ","Tot Vol Out ","Vol I-O     ","dVol        ","Vol Err     ","Q ME (%)    ","Vol I+O     ","Tot Vol     ","Cum Vol I+O ","Cum Vol Err ","Cum ME (%)  ","Cum Q ME (%)"
         0.000,              ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  56.74250    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    
         4.000,              , 0.2580420    ,  12935.18    ,  14400.00    ,  0.000000    ,  14400.26    ,  12935.18    ,  1465.081    ,  1465.081    ,-0.5929971E-04,-0.2169335E-06,  27335.44    ,  1521.824    ,  27335.44    ,-0.5929971E-04,-0.2169335E-06,-0.2169335E-06
         4.500,              ,  0.000000    ,  1799.998    ,  1800.000    ,  0.000000    ,  1800.000    ,  1799.998    , 0.1626611E-02, 0.1586914E-02,-0.3969669E-04,-0.1102686E-05,  3599.998    ,  1521.825    ,  30935.43    ,-0.9899640E-04,-0.3200097E-06,-0.3200097E-06
         5.000,              ,  0.000000    ,  1800.002    ,  1800.000    ,  0.000000    ,  1800.000    ,  1800.002    ,-0.2343237E-02,-0.2563477E-02,-0.2202392E-03,-0.6117750E-05,  3600.002    ,  1521.823    ,  34535.44    ,-0.3192356E-03,-0.9243710E-06,-0.9243710E-06
         5.500,              ,  0.000000    ,  1799.999    ,  1800.000    ,  0.000000    ,  1800.000    ,  1799.999    , 0.7615685E-03, 0.1098633E-02, 0.3370643E-03, 0.9362899E-05,  3599.999    ,  1521.824    ,  38135.44    , 0.1782870E-04, 0.4675102E-07, 0.4675102E-07
         6.000,              ,  0.000000    ,  1800.000    ,  1800.000    ,  0.000000    ,  1800.000    ,  1800.000    ,-0.1375675E-03,-0.4882812E-03,-0.3507137E-03,-0.9742048E-05,  3600.000    ,  1521.823    ,  41735.44    ,-0.3328850E-03,-0.7976076E-06,-0.7976076E-06
         6.000,              ,  0.000000    , 0.1253334    , 0.1253128    ,  0.000000    , 0.1253128    , 0.1253334    ,-0.2056360E-04, 0.2441406E-03, 0.2647042E-03,  0.000000    , 0.2506462    ,  1521.824    ,  41735.69    ,-0.6818080E-04,-0.1633633E-06,-0.1633633E-06
