"VanillaC4_012 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_VanillaC4\runs\VanillaC4_012.tcf]","Time (h)","Q 2 [VanillaC4_012]","Q 3 [VanillaC4_012]","Q 4 [VanillaC4_012]","Q 5 [VanillaC4_012]","Q 6 [VanillaC4_012]","Q 7 [VanillaC4_012]","Q 1 [VanillaC4_012]","Q  8 [VanillaC4_012]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -8.8689,          0.0000
           3,        0.016667,         -0.0084,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -13.1272,          0.0010
           4,        0.025000,         -9.8889,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -14.0812,         -0.0009
           5,        0.033333,        -12.3070,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,        -14.4603,         -0.0001
           6,        0.041667,        -13.3663,         -7.7729,          0.0000,          0.0000,          0.0000,         -0.0002,        -14.6459,         -0.0003
           7,        0.050000,        -13.9519,        -10.7456,          0.0000,          0.0000,          0.0000,          0.0001,        -14.7667,         -0.0003
           8,        0.058333,        -14.2989,        -12.2654,         -4.8473,          0.0000,          0.0000,          0.0001,        -14.8465,          0.0001
           9,        0.066667,        -14.5186,        -13.1582,         -8.9509,          0.0000,          0.0000,         -0.0007,        -14.8928,          0.0005
          10,        0.075000,        -14.6592,        -13.7267,        -11.0062,         -3.8744,          0.0000,         -0.0002,        -14.9241,         -0.0002
          11,        0.083333,        -14.7611,        -14.0985,        -12.2435,         -8.2184,          0.0000,         -0.0000,        -14.9479,          0.0003
          12,        0.091667,        -14.8292,        -14.3499,        -13.0422,        -10.4140,          0.0000,          0.0003,        -14.9628,         -0.0001
          13,        0.100000,        -14.8755,        -14.5277,        -13.5923,        -11.7725,          0.0000,          0.0002,        -14.9721,         -0.0006
          14,        0.108333,        -14.9106,        -14.6554,        -13.9710,        -12.6739,         -3.8500,          0.0002,        -14.9808,         -0.0007
          15,        0.116667,        -14.9341,        -14.7474,        -14.2376,        -13.2954,         -7.8482,          0.0001,        -14.9863,         -0.0003
          16,        0.125000,        -14.9514,        -14.8133,        -14.4334,        -13.7391,         -9.9888,         -0.0006,        -14.9895,          0.0001
          17,        0.133333,        -14.9644,        -14.8620,        -14.5779,        -14.0567,        -11.3639,         -5.5606,        -14.9925,          0.0005
          18,        0.141667,        -14.9739,        -14.8973,        -14.6845,        -14.2875,        -12.3129,         -8.2932,        -14.9940,         -4.2102
          19,        0.150000,        -14.9807,        -14.9237,        -14.7636,        -14.4633,        -12.9811,        -10.0956,        -14.9958,         -7.1295
          20,        0.158333,        -14.9857,        -14.9430,        -14.8223,        -14.5941,        -13.4751,        -11.3528,        -14.9970,        -10.4551
          21,        0.166667,        -14.9893,        -14.9574,        -14.8661,        -14.6925,        -13.8388,        -12.2421,        -14.9981,        -11.4964
          22,        0.175000,        -14.9919,        -14.9678,        -14.8990,        -14.7669,        -14.1080,        -12.9497,        -14.9977,        -12.1821
          23,        0.183333,        -14.9940,        -14.9761,        -14.9238,        -14.8228,        -14.3137,        -13.5015,        -14.9987,        -12.7576
          24,        0.191667,        -14.9954,        -14.9821,        -14.9424,        -14.8653,        -14.4725,        -13.8539,        -14.9993,        -13.2380
          25,        0.200000,        -14.9967,        -14.9862,        -14.9562,        -14.8974,        -14.5952,        -14.1142,        -14.9985,        -13.6203
          26,        0.208333,        -14.9975,        -14.9898,        -14.9669,        -14.9217,        -14.6908,        -14.3176,        -14.9991,        -13.9224
          27,        0.216667,        -14.9984,        -14.9922,        -14.9747,        -14.9402,        -14.7639,        -14.4736,        -15.0004,        -14.1620
          28,        0.225000,        -14.9983,        -14.9943,        -14.9809,        -14.9544,        -14.8191,        -14.5943,        -14.9996,        -14.3508
          29,        0.233333,        -14.9984,        -14.9953,        -14.9851,        -14.9651,        -14.8613,        -14.6875,        -14.9990,        -14.4983
          30,        0.241667,        -14.9995,        -14.9965,        -14.9891,        -14.9732,        -14.8934,        -14.7592,        -15.0003,        -14.6123
          31,        0.250000,        -14.9993,        -14.9976,        -14.9916,        -14.9798,        -14.9183,        -14.8146,        -15.0001,        -14.7004
          32,        0.258333,        -14.9991,        -14.9981,        -14.9934,        -14.9844,        -14.9373,        -14.8572,        -14.9992,        -14.7683
          33,        0.266667,        -14.9999,        -14.9984,        -14.9951,        -14.9881,        -14.9520,        -14.8900,        -14.9998,        -14.8220
          34,        0.275000,        -14.9997,        -14.9990,        -14.9964,        -14.9910,        -14.9630,        -14.9158,        -15.0006,        -14.8631
          35,        0.283333,        -14.9995,        -14.9989,        -14.9969,        -14.9933,        -14.9715,        -14.9351,        -14.9994,        -14.8948
          36,        0.291667,        -14.9997,        -14.9993,        -14.9975,        -14.9947,        -14.9780,        -14.9500,        -14.9999,        -14.9195
          37,        0.300000,        -15.0002,        -14.9996,        -14.9985,        -14.9959,        -14.9829,        -14.9615,        -15.0004,        -14.9372
          38,        0.308333,        -14.9996,        -14.9996,        -14.9987,        -14.9970,        -14.9873,        -14.9704,        -14.9995,        -14.9522
          39,        0.316667,        -15.0000,        -14.9997,        -14.9991,        -14.9979,        -14.9903,        -14.9776,        -14.9999,        -14.9626
          40,        0.325000,        -15.0003,        -15.0000,        -14.9993,        -14.9980,        -14.9926,        -14.9828,        -15.0006,        -14.9718
          41,        0.333333,        -15.0000,        -14.9998,        -14.9994,        -14.9989,        -14.9943,        -14.9866,        -14.9999,        -14.9777
          42,        0.341667,        -14.9999,        -14.9996,        -14.9994,        -14.9990,        -14.9953,        -14.9895,        -14.9997,        -14.9831
          43,        0.350000,        -15.0004,        -14.9999,        -14.9997,        -14.9990,        -14.9967,        -14.9921,        -15.0003,        -14.9873
          44,        0.358333,        -14.9998,        -14.9999,        -14.9999,        -14.9993,        -14.9976,        -14.9937,        -14.9997,        -14.9900
          45,        0.366667,        -14.9997,        -14.9999,        -15.0001,        -14.9993,        -14.9979,        -14.9953,        -14.9996,        -14.9926
          46,        0.375000,        -14.9998,        -14.9999,        -14.9995,        -14.9996,        -14.9985,        -14.9967,        -15.0003,        -14.9934
          47,        0.383333,        -15.0001,        -15.0002,        -15.0000,        -14.9997,        -14.9989,        -14.9975,        -15.0001,        -14.9959
          48,        0.391667,        -14.9997,        -14.9999,        -15.0000,        -14.9997,        -14.9992,        -14.9980,        -14.9995,        -14.9968
          49,        0.400000,        -15.0002,        -15.0000,        -14.9999,        -14.9996,        -14.9994,        -14.9984,        -14.9998,        -14.9977
          50,        0.408333,        -14.9999,        -15.0000,        -14.9998,        -14.9999,        -14.9995,        -14.9987,        -15.0000,        -14.9981
          51,        0.416667,        -15.0000,        -15.0000,        -14.9998,        -14.9999,        -14.9996,        -14.9991,        -15.0000,        -14.9980
          52,        0.425000,        -15.0002,        -14.9998,        -14.9998,        -14.9999,        -14.9997,        -14.9992,        -14.9998,        -14.9989
          53,        0.433333,        -15.0000,        -15.0002,        -15.0000,        -15.0003,        -14.9999,        -14.9994,        -15.0005,        -14.9989
          54,        0.441667,        -15.0001,        -14.9999,        -14.9998,        -15.0000,        -14.9998,        -14.9996,        -14.9998,        -14.9993
          55,        0.450000,        -14.9999,        -15.0002,        -15.0000,        -14.9997,        -15.0001,        -14.9998,        -14.9998,        -14.9996
          56,        0.458333,        -15.0001,        -15.0000,        -15.0000,        -14.9999,        -15.0002,        -14.9998,        -14.9999,        -14.9992
          57,        0.466667,        -14.9997,        -15.0000,        -15.0000,        -15.0002,        -14.9999,        -14.9998,        -15.0001,        -15.0062
          58,        0.475000,        -15.0001,        -14.9999,        -14.9998,        -14.9999,        -14.9999,        -15.0000,        -15.0001,        -15.0126
          59,        0.483333,        -14.9999,        -14.9999,        -14.9999,        -15.0002,        -15.0000,        -14.9998,        -14.9999,        -14.9961
          60,        0.491667,        -15.0000,        -14.9999,        -15.0001,        -14.9999,        -15.0000,        -15.0003,        -15.0000,        -14.9987
          61,        0.500000,        -15.0000,        -14.9999,        -14.9998,        -14.9999,        -14.9999,        -15.0004,        -14.9999,        -14.9982
          62,        0.508333,        -15.0000,        -15.0001,        -14.9999,        -14.9997,        -15.0000,        -14.9996,        -14.9999,        -14.9986
          63,        0.516667,        -14.9999,        -15.0001,        -15.0000,        -14.9997,        -15.0000,        -14.9996,        -15.0001,        -14.9992
          64,        0.525000,        -15.0000,        -15.0002,        -14.9995,        -14.9997,        -15.0000,        -14.9999,        -14.9998,        -14.9999
          65,        0.533333,        -14.9999,        -15.0000,        -15.0000,        -15.0001,        -15.0003,        -14.9998,        -14.9999,        -14.9994
          66,        0.541667,        -15.0001,        -15.0000,        -14.9999,        -15.0000,        -15.0000,        -15.0000,        -15.0000,        -14.9995
          67,        0.550000,        -14.9999,        -15.0000,        -14.9996,        -14.9999,        -15.0000,        -14.9998,        -15.0000,        -15.0002
          68,        0.558333,        -15.0000,        -15.0000,        -14.9998,        -15.0000,        -15.0001,        -15.0003,        -15.0002,        -14.9999
          69,        0.566667,        -14.9999,        -14.9999,        -14.9997,        -15.0001,        -15.0000,        -15.0001,        -14.9999,        -14.9994
          70,        0.575000,        -14.9998,        -15.0000,        -14.9998,        -15.0003,        -15.0000,        -15.0000,        -15.0002,        -14.9998
          71,        0.583333,        -14.9998,        -15.0001,        -15.0000,        -15.0001,        -14.9998,        -15.0001,        -15.0000,        -15.0000
