Simulation Time,1D (%),2D (%),Other (%)
         0.1667,     0,    69,       31
         0.3333,     0,    69,       31
         0.5000,     0,    69,       31
         0.6667,     0,    71,       29
         0.8333,     0,    71,       29
         1.0000,     0,    72,       28
         1.1667,     0,    73,       27
         1.3333,     0,    73,       27
         1.5000,     0,    73,       27
         1.6667,     0,    73,       27
         1.8333,     0,    73,       27
         2.0000,     0,    73,       27
