Simulation Time,1D (%),2D (%),Other (%)
         0.1667,     0,    95,        5
         0.3333,     0,    95,        5
         0.5000,     0,    96,        4
         0.6667,     0,    96,        4
         0.8333,     0,    96,        4
         1.0000,     0,    96,        4
         1.1667,     0,    96,        4
         1.3333,     0,    96,        4
         1.5000,     0,    96,        4
         1.6667,     0,    96,        4
         1.8333,     0,    96,        4
         2.0000,     0,    96,        4
