iStep,tEnd,dtStar,dt,Nu,Nc,Nd,Eff
1,0.25,0.25,0.25,0.00227356,0.0438385,0.00419617,4.38385
2,0.504255,0.255102,0.254255,0.00588989,0.062973,0.00814819,5.33811
3,0.764062,0.260308,0.259807,0.00994873,0.0784302,0.00926208,6.18473
4,1.02851,0.265621,0.264446,0.0179596,0.0917969,0.0108643,6.94434
5,1.29902,0.271041,0.270511,0.0260162,0.103516,0.0163879,7.64966
6,1.57461,0.276573,0.275591,0.0344391,0.113449,0.0244446,8.28936
7,1.8555,0.282217,0.280891,0.0434113,0.12146,0.0330963,8.86455
8,2.14335,0.287977,0.287844,0.0531158,0.127426,0.0418091,9.54481
9,2.43704,0.293854,0.293689,0.0635529,0.131348,0.0500488,10.4039
10,2.73684,0.299851,0.299807,0.0767059,0.133392,0.0571899,11.3522
11,3.04143,0.30597,0.304591,0.0898743,0.133881,0.0629578,12.3075
12,3.35268,0.312215,0.311249,0.102112,0.133209,0.0673065,13.2413
13,3.67093,0.318586,0.318243,0.112411,0.13179,0.0701904,14.1195
14,3.99466,0.325088,0.32373,0.120728,0.130066,0.0719147,14.9098
15,4.32605,0.331723,0.331393,0.130981,0.12883,0.0727692,15.624
16,4.66347,0.338492,0.337418,0.141068,0.135574,0.0730438,16.2496
17,5.00717,0.3454,0.343705,0.149704,0.140793,0.0729523,16.7952
18,5.35744,0.352449,0.350273,0.156433,0.144867,0.0727234,17.2722
19,5.71694,0.359642,0.35949,0.161346,0.148499,0.072525,17.7056
20,6.08371,0.366982,0.366777,0.164734,0.151978,0.0725708,18.0958
21,6.45813,0.374471,0.374419,0.172989,0.155441,0.0729675,18.4566
22,6.83786,0.382114,0.37973,0.182861,0.158997,0.0736694,18.7868
23,7.22591,0.389912,0.388045,0.191574,0.162628,0.0745697,19.1064
24,7.6227,0.397869,0.396798,0.198578,0.166428,0.075592,19.4199
25,8.02561,0.405989,0.402902,0.203568,0.170395,0.0767059,19.7188
26,8.4381,0.414274,0.412495,0.206573,0.174423,0.0778656,20.0183
27,8.86074,0.422729,0.422639,0.214462,0.178528,0.0789642,20.3186
28,9.29048,0.431356,0.429742,0.222504,0.182739,0.0800171,20.6079
29,9.72763,0.440159,0.437151,0.228775,0.187134,0.0809784,20.8866
30,10.1765,0.449142,0.44886,0.232864,0.191635,0.0818939,21.1686
31,10.6336,0.458308,0.457096,0.234833,0.196213,0.0827942,21.4418
32,11.0993,0.467662,0.465721,0.242279,0.200821,0.0836792,21.7077
33,11.5741,0.477206,0.474764,0.248566,0.205475,0.0845795,21.9678
34,12.0583,0.486945,0.484259,0.252747,0.210144,0.0855103,22.2239
