"Time (h)    ","1D and 2D:  ","H Vol In    ","H Vol Out   ","Q Vol In    ","Q Vol Out   ","Tot Vol In  ","Tot Vol Out ","Vol I-O     ","dVol        ","Vol Err     ","Q ME (%)    ","Vol I+O     ","Tot Vol     ","Cum Vol I+O ","Cum Vol Err ","Cum ME (%)  ","Cum Q ME (%)"
         0.000,              ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  5362.503    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    
         4.000,              , 0.6922656    ,  702060.1    ,  720000.0    ,  0.000000    ,  720000.7    ,  702060.1    ,  17940.59    ,  17940.59    , 0.4101291E-02, 0.2884048E-06,  1422061.    ,  23303.09    ,  1422061.    , 0.4101291E-02, 0.2884048E-06, 0.2884048E-06
         4.500,              ,  0.000000    ,  90000.01    ,  90000.00    ,  0.000000    ,  90000.00    ,  90000.01    ,-0.5611420E-02, 0.1953125E-02, 0.7564545E-02, 0.4202525E-05,  180000.0    ,  23303.10    ,  1602061.    , 0.1166584E-01, 0.7281769E-06, 0.7281769E-06
         5.000,              ,  0.000000    ,  89999.97    ,  90000.00    ,  0.000000    ,  90000.00    ,  89999.97    , 0.3277397E-01, 0.3515625E-01, 0.2382278E-02, 0.1323488E-05,  180000.0    ,  23303.13    ,  1782061.    , 0.1404811E-01, 0.7883073E-06, 0.7883073E-06
         5.500,              ,  0.000000    ,  90000.03    ,  90000.00    ,  0.000000    ,  90000.00    ,  90000.03    ,-0.3032112E-01,-0.3710938E-01,-0.6788254E-02,-0.3771251E-05,  180000.0    ,  23303.09    ,  1962061.    , 0.7259860E-02, 0.3700120E-06, 0.3700120E-06
         6.000,              ,  0.000000    ,  90000.00    ,  90000.00    ,  0.000000    ,  90000.00    ,  90000.00    , 0.2861023E-05, 0.1953125E-02, 0.1950264E-02, 0.1083480E-05,  180000.0    ,  23303.10    ,  2142061.    , 0.9210124E-02, 0.4299656E-06, 0.4299656E-06
         6.000,              ,  0.000000    ,  6.265610    ,  6.265639    ,  0.000000    ,  6.265639    ,  6.265610    , 0.2956390E-04,-0.9765625E-02,-0.9795189E-02,-0.7816610E-01,  12.53125    ,  23303.09    ,  2142073.    ,-0.5850646E-03,-0.2731301E-07,-0.2731301E-07
