"OutphaseC4_009 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_OutphaseC4\runs\OutphaseC4_009.tcf]","Time (h)","V 2 [OutphaseC4_009]","V 3 [OutphaseC4_009]","V 4 [OutphaseC4_009]","V 5 [OutphaseC4_009]","V 6 [OutphaseC4_009]","V 7 [OutphaseC4_009]","V 8 [OutphaseC4_009]","V 9 [OutphaseC4_009]","V 10 [OutphaseC4_009]","V 11 [OutphaseC4_009]","V 12 [OutphaseC4_009]","V 13 [OutphaseC4_009]","V 14 [OutphaseC4_009]","V 15 [OutphaseC4_009]","V 16 [OutphaseC4_009]","V  1 [OutphaseC4_009]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.7517
           3,        0.016667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003,          0.3566
           4,        0.025000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0007,          0.3499
           5,        0.033333,          0.5331,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0006,          0.2867
           6,        0.041667,          0.6138,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0005,          0.2896
           7,        0.050000,          0.6913,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0022,          0.2796
           8,        0.058333,          0.7733,          0.0000,          0.9044,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0011,          0.2844
           9,        0.066667,          0.8305,          0.0000,          1.3050,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0014,          0.2965
          10,        0.075000,          0.8842,          0.0000,          1.5285,          0.4627,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0019,          0.2967
          11,        0.083333,          0.9162,          0.0000,          1.6827,          0.2960,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0005,          0.3093
          12,        0.091667,          0.9443,          0.0000,          1.7862,          0.2473,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0009,          0.3076
          13,        0.100000,          0.9648,          0.0000,          1.7348,          0.2441,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0018,          0.3179
          14,        0.108333,          0.9785,          0.0000,          1.2544,          0.2289,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0014,          0.3197
          15,        0.116667,          0.9914,          0.0000,          1.0775,          0.2333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0016,          0.3185
          16,        0.125000,          0.9980,          0.0000,          0.9550,          0.2373,          0.1723,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0014,          0.3278
          17,        0.133333,          1.0058,          0.0000,          0.8628,          0.2466,          0.1877,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0009,          0.3224
          18,        0.141667,          1.0084,          0.0000,          0.7923,          0.2619,          0.2028,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0007,          0.3301
          19,        0.150000,          1.0129,          0.0000,          0.7375,          0.2764,          0.2166,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0019,          0.3262
          20,        0.158333,          1.0153,          0.0000,          0.6954,          0.2911,          0.2361,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0006,          0.3270
          21,        0.166667,          1.0174,          0.0000,          0.6628,          0.3073,          0.2663,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0019,          0.3295
          22,        0.175000,          1.0190,          0.0000,          0.6373,          0.3209,          0.3001,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0005,          0.3264
          23,        0.183333,          1.0198,          0.0000,          0.6172,          0.3348,          0.3341,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0033,          0.3331
          24,        0.191667,          1.0212,          0.0000,          0.6012,          0.3469,          0.3669,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.3269
          25,        0.200000,          1.0201,          0.0000,          0.5906,          0.3568,          0.3974,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0004,          0.3292
          26,        0.208333,          1.0219,          0.0000,          0.5818,          0.3645,          0.4250,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0019,          0.3302
          27,        0.216667,          1.0209,          0.0000,          0.5759,          0.3697,          0.4504,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0016,          0.3280
          28,        0.225000,          1.0226,          0.0000,          0.5686,          0.3757,          0.4729,          0.0000,          0.0000,          0.0676,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0007,          0.3332
          29,        0.233333,          1.0234,          0.0000,          0.5628,          0.3818,          0.4924,          0.0000,          0.0000,          0.0650,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0009,          0.3276
          30,        0.241667,          1.0213,          0.0000,          0.5557,          0.3899,          0.5098,          0.0000,          0.1131,          0.0843,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0011,          0.3303
          31,        0.250000,          1.0228,          0.0000,          0.5486,          0.3963,          0.5243,          0.0000,          0.1829,          0.0858,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0014,          0.3305
          32,        0.258333,          1.0213,          0.0000,          0.5426,          0.4000,          0.5388,          0.0000,          0.2148,          0.0820,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0005,          0.3282
          33,        0.266667,          1.0233,          0.0000,          0.5367,          0.4014,          0.5513,          0.0000,          0.2298,          0.0812,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0006,          0.3337
          34,        0.275000,          1.0235,          0.0000,          0.5329,          0.3986,          0.5623,          0.0000,          0.2465,          0.0767,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0004,          0.3284
          35,        0.283333,          1.0217,          0.0000,          0.5281,          0.3950,          0.5715,          0.0000,          0.2466,          0.0732,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003,          0.3306
          36,        0.291667,          1.0233,          0.0000,          0.5244,          0.3910,          0.5779,          0.0000,          0.2451,          0.0725,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0009,          0.3308
          37,        0.300000,          1.0216,          0.0000,          0.5197,          0.3881,          0.5839,          0.0000,          0.2414,          0.0719,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0004,          0.3281
          38,        0.308333,          1.0234,          0.0000,          0.5174,          0.3860,          0.5876,          0.0000,          0.2362,          0.0747,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0006,          0.3356
          39,        0.316667,          1.0230,          0.0000,          0.5149,          0.3834,          0.5921,          0.0000,          0.2299,          0.0763,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.3290
          40,        0.325000,          1.0218,          0.0000,          0.5118,          0.3790,          0.5966,          0.0000,          0.2223,          0.0818,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003,          0.3308
          41,        0.333333,          1.0235,          0.0000,          0.5121,          0.3774,          0.6001,          0.0000,          0.2137,          0.0865,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0010,          0.3309
          42,        0.341667,          1.0217,          0.0000,          0.5113,          0.3757,          0.6042,          0.0000,          0.2049,          0.0903,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0009,          0.3283
          43,        0.350000,          1.0229,          0.0000,          0.5088,          0.3724,          0.6055,          0.0000,          0.1951,          0.0957,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0005,          0.3385
          44,        0.358333,          1.0227,          0.0000,          0.5071,          0.3723,          0.6090,          0.0000,          0.1854,          0.1000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0005,          0.3294
          45,        0.366667,          1.0220,          0.0000,          0.5066,          0.3744,          0.6113,          0.0000,          0.1764,          0.1061,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0006,          0.3311
          46,        0.375000,          1.0231,          0.0000,          0.5081,          0.3725,          0.6124,          0.0000,          0.1681,          0.1111,          0.0000,          0.0000,          0.0419,          0.1236,          0.0000,          0.0000,          0.0005,          0.3310
          47,        0.383333,          1.0219,          0.0000,          0.5087,          0.3683,          0.6155,          0.0000,          0.1602,          0.1162,          0.1246,          0.0000,          0.0724,          0.0939,          0.0000,          0.0000,          0.0008,          0.3286
          48,        0.391667,          1.0228,          0.0000,          0.5093,          0.3659,          0.6170,          0.0000,          0.1528,          0.1203,          0.2741,          0.0000,          0.1100,          0.1048,          0.0000,          0.0000,          0.0002,          0.3412
          49,        0.400000,          1.0224,          0.0000,          0.5097,          0.3661,          0.6174,          0.0000,          0.1463,          0.1263,          0.3792,          0.0000,          0.1369,          0.1037,          0.1893,          0.0000,          0.0004,          0.3301
          50,        0.408333,          1.0220,          0.0000,          0.5086,          0.3675,          0.6174,          0.0000,          0.1413,          0.1346,          0.4494,          0.0000,          0.1610,          0.1008,          0.1421,          0.0000,          0.0003,          0.3327
          51,        0.416667,          1.0230,          0.0000,          0.5083,          0.3683,          0.6183,          0.0000,          0.1368,          0.1438,          0.4991,          0.0000,          0.1810,          0.1010,          0.1390,          0.0000,          0.0004,          0.3310
