"OutphaseC4_009 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_OutphaseC4\runs\OutphaseC4_009.tcf]","Time (h)","Q 2 [OutphaseC4_009]","Q 3 [OutphaseC4_009]","Q 4 [OutphaseC4_009]","Q 5 [OutphaseC4_009]","Q 6 [OutphaseC4_009]","Q 7 [OutphaseC4_009]","Q 1 [OutphaseC4_009]","Q  8 [OutphaseC4_009]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           3,        0.016667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -0.7814,          0.0000
           4,        0.025000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -1.8841,          0.0000
           5,        0.033333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -2.4157,          0.0000
           6,        0.041667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -3.2453,          0.0000
           7,        0.050000,         -1.1554,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -3.9863,          0.0000
           8,        0.058333,         -2.4104,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -4.8888,          0.0000
           9,        0.066667,         -3.6407,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -5.6830,          0.0000
          10,        0.075000,         -4.7429,         -1.7090,          0.0000,          0.0000,          0.0000,          0.0000,         -6.3624,          0.0000
          11,        0.083333,         -5.6835,         -2.0371,          0.0000,          0.0000,          0.0000,          0.0000,         -7.0193,          0.0000
          12,        0.091667,         -6.4556,         -2.4033,          0.0000,          0.0000,          0.0000,          0.0000,         -7.4185,          0.0000
          13,        0.100000,         -7.0534,         -2.8607,          0.0000,          0.0000,          0.0000,          0.0000,         -7.8481,          0.0000
          14,        0.108333,         -7.5359,         -3.0733,          0.0000,          0.0000,          0.0000,          0.0000,         -8.1105,          0.0000
          15,        0.116667,         -7.8972,         -3.3705,          0.0000,          0.0000,          0.0000,          0.0000,         -8.3239,          0.0000
          16,        0.125000,         -8.1723,         -3.5188,          0.0000,          0.0000,          0.0000,          0.0000,         -8.5351,          0.0000
          17,        0.133333,         -8.3902,         -3.6931,          0.0000,          0.0000,          0.0000,          0.0000,         -8.6276,          0.0000
          18,        0.141667,         -8.5393,         -3.8770,          0.0000,          0.0000,          0.0000,          0.0000,         -8.7529,          0.0000
          19,        0.150000,         -8.6663,         -4.0023,          0.0000,          0.0000,          0.0000,          0.0000,         -8.7577,          0.0000
          20,        0.158333,         -8.7478,         -4.1695,         -0.0810,          0.0000,          0.0000,          0.0000,         -8.8668,          0.0000
          21,        0.166667,         -8.8129,         -4.4046,         -0.4877,          0.0000,          0.0000,          0.0000,         -8.8552,          0.0000
          22,        0.175000,         -8.8649,         -4.6727,         -0.9485,          0.0000,          0.0000,          0.0000,         -8.9171,          0.0000
          23,        0.183333,         -8.8924,         -4.9527,         -1.4722,         -0.0001,          0.0000,          0.0000,         -8.9553,          0.0000
          24,        0.191667,         -8.9269,         -5.2489,         -2.0356,         -1.0326,          0.0000,          0.0000,         -8.9454,          0.0000
          25,        0.200000,         -8.9422,         -5.5577,         -2.6205,         -1.7112,          0.0000,          0.0000,         -8.9916,          0.0000
          26,        0.208333,         -8.9574,         -5.8705,         -3.2015,         -2.2077,          0.0000,          0.0000,         -8.9379,          0.0000
          27,        0.216667,         -8.9731,         -6.1698,         -3.7659,         -2.5342,          0.0000,          0.0000,         -9.0012,          0.0000
