"sfe_25 [F:\tuflow-wf_python3\output_folder\sfe_25_tuflow\runs\012\sfe_25.tcf]","Time (h)","V 1 [sfe_25]","V 2 [sfe_25]","V 3 [sfe_25]","V 4 [sfe_25]","V 5 [sfe_25]","V 6 [sfe_25]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.016667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           3,        0.033333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           4,        0.050000,          2.4679,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           5,        0.066667,          1.9805,          2.5541,          1.2463,          0.0000,          0.0000,          0.0000
           6,        0.083333,          2.0851,          2.5722,          0.5361,          2.3053,          0.9102,          0.0754
           7,        0.100000,          2.2315,          2.6281,          0.2755,          2.6071,          2.0940,          1.8683
           8,        0.116667,          2.1832,          2.7178,          0.2554,          2.4228,          2.3129,          2.2897
           9,        0.133333,          2.1509,          2.7870,          0.3490,          2.3125,          2.3991,          2.6532
          10,        0.150000,          2.1438,          2.8360,          0.3856,          2.2883,          2.4521,          2.8117
          11,        0.166667,          2.1369,          2.8679,          0.4060,          2.2728,          2.4868,          2.8815
          12,        0.183333,          2.1307,          2.8952,          0.4180,          2.2643,          2.5060,          2.9189
          13,        0.200000,          2.1291,          2.9097,          0.4252,          2.2586,          2.5182,          2.9414
          14,        0.216667,          2.1285,          2.9192,          0.4295,          2.2558,          2.5265,          2.9493
          15,        0.233333,          2.1280,          2.9254,          0.4322,          2.2542,          2.5328,          2.9519
          16,        0.250000,          2.1277,          2.9296,          0.4341,          2.2533,          2.5363,          2.9544
          17,        0.266667,          2.1277,          2.9197,          0.4356,          2.2526,          2.5385,          2.9565
          18,        0.283333,          2.1276,          2.9216,          0.4362,          2.2522,          2.5399,          2.9578
          19,        0.300000,          2.1276,          2.9227,          0.4366,          2.2519,          2.5408,          2.9587
          20,        0.316667,          2.1275,          2.9236,          0.4370,          2.2517,          2.5414,          2.9592
          21,        0.333333,          2.1275,          2.9242,          0.4372,          2.2516,          2.5418,          2.9596
          22,        0.350000,          2.1276,          2.9245,          0.4374,          2.2516,          2.5421,          2.9597
          23,        0.366667,          2.1275,          2.9249,          0.4375,          2.2515,          2.5423,          2.9599
          24,        0.383333,          2.1274,          2.9250,          0.4376,          2.2515,          2.5424,          2.9599
          25,        0.400000,          2.1275,          2.9250,          0.4376,          2.2514,          2.5424,          2.9599
          26,        0.416667,          2.1275,          2.9252,          0.4376,          2.2515,          2.5425,          2.9600
          27,        0.433333,          2.1275,          2.9254,          0.4376,          2.2514,          2.5426,          2.9601
          28,        0.450000,          2.1275,          2.9255,          0.4377,          2.2514,          2.5426,          2.9601
          29,        0.466667,          2.1275,          2.9255,          0.4376,          2.2514,          2.5425,          2.9600
          30,        0.483333,          2.1275,          2.9228,          0.4376,          2.2514,          2.5426,          2.9602
          31,        0.500000,          2.1275,          2.9229,          0.4377,          2.2514,          2.5426,          2.9603
          32,        0.516667,          2.1275,          2.9229,          0.4377,          2.2514,          2.5426,          2.9604
          33,        0.533333,          2.1274,          2.9229,          0.4377,          2.2514,          2.5426,          2.9604
          34,        0.550000,          2.1275,          2.9229,          0.4377,          2.2514,          2.5426,          2.9603
          35,        0.566667,          2.1275,          2.9230,          0.4377,          2.2514,          2.5426,          2.9604
          36,        0.583333,          2.1275,          2.9232,          0.4377,          2.2514,          2.5426,          2.9604
          37,        0.600000,          2.1274,          2.9235,          0.4377,          2.2514,          2.5426,          2.9604
          38,        0.616667,          2.1274,          2.9237,          0.4377,          2.2514,          2.5426,          2.9603
          39,        0.633333,          2.1275,          2.9240,          0.4377,          2.2514,          2.5426,          2.9603
          40,        0.650000,          2.1275,          2.9239,          0.4377,          2.2514,          2.5426,          2.9604
          41,        0.666667,          2.1275,          2.9241,          0.4377,          2.2514,          2.5426,          2.9604
          42,        0.683333,          2.1275,          2.9245,          0.4377,          2.2514,          2.5426,          2.9604
          43,        0.700000,          2.1275,          2.9247,          0.4377,          2.2514,          2.5426,          2.9603
          44,        0.716667,          2.1275,          2.9247,          0.4377,          2.2515,          2.5426,          2.9603
          45,        0.733333,          2.1275,          2.9247,          0.4377,          2.2514,          2.5426,          2.9603
          46,        0.750000,          2.1275,          2.9247,          0.4377,          2.2514,          2.5426,          2.9603
          47,        0.766667,          2.1275,          2.9248,          0.4377,          2.2514,          2.5426,          2.9603
          48,        0.783333,          2.1275,          2.9250,          0.4377,          2.2514,          2.5426,          2.9603
          49,        0.800000,          2.1275,          2.9250,          0.4377,          2.2514,          2.5426,          2.9603
          50,        0.816667,          2.1275,          2.9249,          0.4377,          2.2514,          2.5426,          2.9604
          51,        0.833333,          2.1275,          2.9250,          0.4377,          2.2514,          2.5426,          2.9603
          52,        0.850000,          2.1275,          2.9250,          0.4376,          2.2514,          2.5426,          2.9604
          53,        0.866667,          2.1275,          2.9252,          0.4377,          2.2514,          2.5426,          2.9603
          54,        0.883333,          2.1275,          2.9250,          0.4377,          2.2514,          2.5426,          2.9604
          55,        0.900000,          2.1275,          2.9251,          0.4377,          2.2514,          2.5426,          2.9604
          56,        0.916667,          2.1275,          2.9253,          0.4376,          2.2514,          2.5426,          2.9603
          57,        0.933333,          2.1275,          2.9252,          0.4377,          2.2514,          2.5426,          2.9603
          58,        0.950000,          2.1276,          2.9253,          0.4377,          2.2514,          2.5426,          2.9604
          59,        0.966667,          2.1275,          2.9252,          0.4377,          2.2514,          2.5426,          2.9604
          60,        0.983333,          2.1275,          2.9253,          0.4377,          2.2514,          2.5426,          2.9604
          61,        1.000000,          2.1275,          2.9255,          0.4377,          2.2514,          2.5426,          2.9604
          62,        1.016667,          2.1275,          2.9252,          0.4377,          2.2514,          2.5426,          2.9604
          63,        1.033333,          2.1274,          2.9255,          0.4377,          2.2514,          2.5426,          2.9603
          64,        1.050000,          2.1275,          2.9259,          0.4377,          2.2514,          2.5426,          2.9604
          65,        1.066667,          2.1275,          2.9255,          0.4377,          2.2514,          2.5426,          2.9604
          66,        1.083333,          2.1275,          2.9255,          0.4377,          2.2514,          2.5426,          2.9601
