"sfe_25 [F:\tuflow-wf_python3\output_folder\sfe_25_tuflow\runs\012\sfe_25.tcf]","Time (h)","Q 1 [sfe_25]","Q 2 [sfe_25]","Q 3 [sfe_25]","Q 4 [sfe_25]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.016667,          0.0000,          0.0000,          0.0000,          0.0000
           3,        0.033333,          0.0000,          0.0000,          0.0000,          0.0000
           4,        0.050000,          2.6913,          0.0000,          0.0000,          0.0000
           5,        0.066667,         11.4589,          6.1764,          0.0000,          0.0000
           6,        0.083333,         15.3790,         12.7608,          4.7581,          0.8675
           7,        0.100000,         18.1744,         19.5277,         16.6089,         16.8384
           8,        0.116667,         19.6938,         23.3744,         21.8349,         20.7824
           9,        0.133333,         20.5461,         25.4176,         24.6263,         24.0660
          10,        0.150000,         21.1252,         26.5774,         26.1248,         25.7523
          11,        0.166667,         21.4532,         27.2968,         27.0217,         26.8080
          12,        0.183333,         21.6629,         27.7420,         27.5718,         27.4270
          13,        0.200000,         21.8004,         28.0162,         27.9136,         27.8205
          14,        0.216667,         21.8914,         28.1975,         28.1282,         28.0748
          15,        0.233333,         21.9501,         28.3134,         28.2705,         28.2363
          16,        0.250000,         21.9892,         28.3914,         28.3617,         28.3382
          17,        0.266667,         22.0146,         28.4472,         28.4249,         28.4063
          18,        0.283333,         22.0315,         28.4751,         28.4637,         28.4526
          19,        0.300000,         22.0419,         28.4981,         28.4892,         28.4821
          20,        0.316667,         22.0492,         28.5122,         28.5068,         28.5020
          21,        0.333333,         22.0542,         28.5215,         28.5182,         28.5152
          22,        0.350000,         22.0575,         28.5282,         28.5249,         28.5234
          23,        0.366667,         22.0592,         28.5315,         28.5303,         28.5293
          24,        0.383333,         22.0604,         28.5349,         28.5339,         28.5322
          25,        0.400000,         22.0611,         28.5361,         28.5354,         28.5352
          26,        0.416667,         22.0620,         28.5374,         28.5367,         28.5374
          27,        0.433333,         22.0624,         28.5383,         28.5380,         28.5368
          28,        0.450000,         22.0629,         28.5394,         28.5387,         28.5379
          29,        0.466667,         22.0631,         28.5398,         28.5390,         28.5405
          30,        0.483333,         22.0632,         28.5392,         28.5390,         28.5333
          31,        0.500000,         22.0627,         28.5393,         28.5393,         28.5388
          32,        0.516667,         22.0628,         28.5393,         28.5392,         28.5395
          33,        0.533333,         22.0631,         28.5394,         28.5395,         28.5395
          34,        0.550000,         22.0634,         28.5396,         28.5394,         28.5393
          35,        0.566667,         22.0633,         28.5392,         28.5394,         28.5395
          36,        0.583333,         22.0632,         28.5394,         28.5393,         28.5396
          37,        0.600000,         22.0631,         28.5396,         28.5397,         28.5394
          38,        0.616667,         22.0632,         28.5399,         28.5394,         28.5395
          39,        0.633333,         22.0631,         28.5396,         28.5396,         28.5396
          40,        0.650000,         22.0632,         28.5396,         28.5398,         28.5394
          41,        0.666667,         22.0630,         28.5398,         28.5394,         28.5398
          42,        0.683333,         22.0630,         28.5393,         28.5396,         28.5393
          43,        0.700000,         22.0633,         28.5398,         28.5393,         28.5394
          44,        0.716667,         22.0632,         28.5402,         28.5396,         28.5394
          45,        0.733333,         22.0634,         28.5402,         28.5395,         28.5398
          46,        0.750000,         22.0630,         28.5391,         28.5392,         28.5394
          47,        0.766667,         22.0634,         28.5398,         28.5397,         28.5396
          48,        0.783333,         22.0629,         28.5397,         28.5402,         28.5394
          49,        0.800000,         22.0635,         28.5404,         28.5396,         28.5397
          50,        0.816667,         22.0634,         28.5392,         28.5393,         28.5394
          51,        0.833333,         22.0634,         28.5389,         28.5395,         28.5393
          52,        0.850000,         22.0629,         28.5391,         28.5393,         28.5397
          53,        0.866667,         22.0630,         28.5395,         28.5395,         28.5395
          54,        0.883333,         22.0633,         28.5392,         28.5396,         28.5396
          55,        0.900000,         22.0628,         28.5395,         28.5399,         28.5398
          56,        0.916667,         22.0635,         28.5395,         28.5393,         28.5395
          57,        0.933333,         22.0632,         28.5400,         28.5394,         28.5395
          58,        0.950000,         22.0629,         28.5390,         28.5396,         28.5397
          59,        0.966667,         22.0631,         28.5397,         28.5396,         28.5397
          60,        0.983333,         22.0631,         28.5402,         28.5398,         28.5394
          61,        1.000000,         22.0631,         28.5392,         28.5398,         28.5394
          62,        1.016667,         22.0629,         28.5394,         28.5398,         28.5398
          63,        1.033333,         22.0630,         28.5397,         28.5391,         28.5393
          64,        1.050000,         22.0633,         28.5395,         28.5398,         28.5391
          65,        1.066667,         22.0631,         28.5406,         28.5391,         28.5393
          66,        1.083333,         22.0631,         28.5398,         28.5390,         28.5390
          67,        1.100000,         22.0628,         28.5403,         28.5399,         28.5385
          68,        1.116667,         22.0633,         28.5393,         28.5400,         28.5394
          69,        1.133333,         22.0633,         28.5406,         28.5397,         28.5317
          70,        1.150000,         22.0632,         28.5397,         28.5395,         28.5393
          71,        1.166667,         22.0630,         28.5394,         28.5396,         28.5392
          72,        1.183333,         22.0633,         28.5400,         28.5397,         28.5395
          73,        1.200000,         22.0627,         28.5398,         28.5398,         28.5396
          74,        1.216667,         22.0632,         28.5389,         28.5395,         28.5393
          75,        1.233333,         22.0631,         28.5396,         28.5391,         28.5396
          76,        1.250000,         22.0630,         28.5398,         28.5397,         28.5396
          77,        1.266667,         22.0633,         28.5397,         28.5396,         28.5394
          78,        1.283333,         22.0636,         28.5395,         28.5399,         28.5396
          79,        1.300000,         22.0630,         28.5400,         28.5396,         28.5396
          80,        1.316667,         22.0630,         28.5393,         28.5395,         28.5393
          81,        1.333333,         22.0632,         28.5395,         28.5396,         28.5397
          82,        1.350000,         22.0634,         28.5397,         28.5396,         28.5394
          83,        1.366667,         22.0630,         28.5391,         28.5399,         28.5392
          84,        1.383333,         22.0632,         28.5396,         28.5396,         28.5397
          85,        1.400000,         22.0629,         28.5397,         28.5395,         28.5392
          86,        1.416667,         22.0625,         28.5397,         28.5394,         28.5397
          87,        1.433333,         22.0636,         28.5391,         28.5398,         28.5395
          88,        1.450000,         22.0635,         28.5394,         28.5393,         28.5398
          89,        1.466667,         22.0629,         28.5397,         28.5395,         28.5396
          90,        1.483333,         22.0630,         28.5398,         28.5395,         28.5397
          91,        1.500000,         22.0630,         28.5399,         28.5396,         28.5395
          92,        1.516667,         22.0635,         28.5396,         28.5399,         28.5395
          93,        1.533333,         22.0635,         28.5393,         28.5398,         28.5398
          94,        1.550000,         22.0631,         28.5404,         28.5398,         28.5394
          95,        1.566667,         22.0630,         28.5397,         28.5397,         28.5395
          96,        1.583333,         22.0635,         28.5392,         28.5396,         28.5397
          97,        1.600000,         22.0626,         28.5392,         28.5393,         28.5396
          98,        1.616667,         22.0632,         28.5392,         28.5396,         28.5397
          99,        1.633333,         22.0632,         28.5396,         28.5396,         28.5396
         100,        1.650000,         22.0635,         28.5397,         28.5397,         28.5396
         101,        1.666667,         22.0628,         28.5395,         28.5396,         28.5392
         102,        1.683333,         22.0631,         28.5394,         28.5398,         28.5408
         103,        1.700000,         22.0627,         28.5393,         28.5397,         28.5385
         104,        1.716667,         22.0631,         28.5395,         28.5395,         28.5118
         105,        1.733333,         22.0633,         28.5396,         28.5396,         28.5387
         106,        1.750000,         22.0632,         28.5398,         28.5394,         28.5399
         107,        1.766667,         22.0630,         28.5396,         28.5395,         28.5396
         108,        1.783333,         22.0630,         28.5396,         28.5393,         28.5397
         109,        1.800000,         22.0631,         28.5398,         28.5396,         28.5396
         110,        1.816667,         22.0634,         28.5391,         28.5393,         28.5394
         111,        1.833333,         22.0633,         28.5390,         28.5394,         28.5398
         112,        1.850000,         22.0631,         28.5393,         28.5393,         28.5396
         113,        1.866667,         22.0633,         28.5399,         28.5398,         28.5394
         114,        1.883333,         22.0632,         28.5396,         28.5396,         28.5397
         115,        1.900000,         22.0630,         28.5395,         28.5396,         28.5397
         116,        1.916667,         22.0634,         28.5400,         28.5397,         28.5398
         117,        1.933333,         22.0630,         28.5398,         28.5396,         28.5396
         118,        1.950000,         22.0631,         28.5393,         28.5396,         28.5394
         119,        1.966667,         22.0630,         28.5397,         28.5403,         28.5395
         120,        1.983333,         22.0628,         28.5397,         28.5392,         28.5395
         121,        2.000000,         22.0630,         28.5397,         28.5395,         28.5395

