"InphaseC4_005 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_inphase\runs\InphaseC4_005.tcf]","Time (h)","V 2 [InphaseC4_005]","V 3 [InphaseC4_005]","V 4 [InphaseC4_005]","V 5 [InphaseC4_005]","V 6 [InphaseC4_005]","V 7 [InphaseC4_005]","V 8 [InphaseC4_005]","V 9 [InphaseC4_005]","V 10 [InphaseC4_005]","V 11 [InphaseC4_005]","V 12 [InphaseC4_005]","V 13 [InphaseC4_005]","V 14 [InphaseC4_005]","V 15 [InphaseC4_005]","V 16 [InphaseC4_005]","V  1 [InphaseC4_005]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          3.6475,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          3.0192
           3,        0.016667,          3.0618,          0.0265,          1.6338,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          3.0142
           4,        0.025000,          2.7252,          0.2126,          1.2448,          1.7797,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          3.0092
           5,        0.033333,          1.9606,          0.2599,          1.2056,          2.0260,          2.0588,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0001,          0.0000,          0.0000,          0.0001,          3.0087
           6,        0.041667,          1.8289,          0.4470,          1.2682,          2.1433,          2.4988,          0.0000,          0.5895,          0.0000,          0.0001,          0.0001,          0.0001,          0.0000,          0.0000,          0.0001,          0.0001,          2.4839
           7,        0.050000,          1.7662,          0.5511,          1.3379,          2.2556,          2.5487,          0.0000,          0.6845,          0.0000,          0.0001,          0.0001,          0.0000,          0.0001,          0.0001,          0.0000,          0.0000,          2.2081
           8,        0.058333,          1.7100,          0.5958,          1.3634,          2.3143,          2.1418,          0.1937,          0.7871,          1.0321,          0.0001,          0.0001,          0.0001,          0.0001,          0.0000,          0.0000,          0.0000,          2.1046
           9,        0.066667,          1.6736,          0.6273,          1.3728,          2.3405,          1.9443,          0.3226,          0.9076,          1.6821,          0.4744,          0.3256,          0.0002,          0.0001,          0.0001,          0.0000,          0.0001,          2.0394
          10,        0.075000,          1.6576,          0.6523,          1.3795,          2.3560,          1.8306,          0.4241,          1.0020,          1.9952,          0.5804,          0.6085,          0.6338,          0.0401,          0.0000,          0.0001,          0.0000,          1.9998
          11,        0.083333,          1.6491,          0.6669,          1.3841,          2.3667,          1.7572,          0.5024,          1.0553,          2.1529,          0.4916,          0.7218,          0.9881,          0.6616,          0.3617,          0.2193,          0.0001,          1.9762
          12,        0.091667,          1.6432,          0.6748,          1.3869,          2.3735,          1.7117,          0.5496,          1.0978,          2.2383,          0.5422,          0.7274,          1.1933,          0.9066,          0.6276,          0.4774,          0.3367,          1.9622
          13,        0.100000,          1.6393,          0.6789,          1.3884,          2.3771,          1.6824,          0.5817,          1.1275,          2.2872,          0.6193,          0.7830,          1.3030,          1.1517,          0.9491,          0.8050,          0.7241,          1.9543
          14,        0.108333,          1.6372,          0.6822,          1.3896,          2.3795,          1.6622,          0.6042,          1.1463,          2.3267,          0.6913,          0.8355,          1.3817,          1.4618,          1.3092,          1.0795,          0.9126,          1.9491
          15,        0.116667,          1.6359,          0.6842,          1.3903,          2.3813,          1.6489,          0.6205,          1.1589,          2.3508,          0.7424,          0.8777,          1.4417,          1.7366,          1.4412,          1.2115,          1.0170,          1.9459
          16,        0.125000,          1.6351,          0.6851,          1.3908,          2.3827,          1.6401,          0.6315,          1.1674,          2.3468,          0.7824,          0.9104,          1.4879,          1.8965,          1.5567,          1.2628,          1.0652,          1.9440
          17,        0.133333,          1.6346,          0.6858,          1.3910,          2.3832,          1.6345,          0.6386,          1.1730,          2.3023,          0.8117,          0.9349,          1.5123,          1.9888,          1.6300,          1.3066,          1.1144,          1.9428
          18,        0.141667,          1.6343,          0.6862,          1.3913,          2.3833,          1.6310,          0.6437,          1.1766,          2.2580,          0.8325,          0.9499,          1.5274,          2.0381,          1.6672,          1.3452,          1.1522,          1.9422
          19,        0.150000,          1.6341,          0.6864,          1.3914,          2.3840,          1.6287,          0.6468,          1.1789,          2.2347,          0.8455,          0.9599,          1.5369,          2.0563,          1.6917,          1.3788,          1.1875,          1.9417
