"InphaseC4_005 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_inphase\runs\InphaseC4_005.tcf]","Time (h)","Q 2 [InphaseC4_005]","Q 3 [InphaseC4_005]","Q 4 [InphaseC4_005]","Q 5 [InphaseC4_005]","Q 6 [InphaseC4_005]","Q 7 [InphaseC4_005]","Q 1 [InphaseC4_005]","Q  8 [InphaseC4_005]"
          47,        0.383333,        -38.2747,        -38.2744,        -38.2747,        -38.2740,        -38.2742,        -38.2743,        -38.2741,        -38.2742
          48,        0.391667,        -38.2749,        -38.2748,        -38.2748,        -38.2744,        -38.2740,        -38.2744,        -38.2742,        -38.2739
          49,        0.400000,        -38.2747,        -38.2744,        -38.2746,        -38.2742,        -38.2741,        -38.2740,        -38.2745,        -38.2734
          50,        0.408333,        -38.2742,        -38.2739,        -38.2743,        -38.2744,        -38.2747,        -38.2742,        -38.2743,        -38.2740
          51,        0.416667,        -38.2741,        -38.2742,        -38.2745,        -38.2742,        -38.2751,        -38.2740,        -38.2740,        -38.2751
          52,        0.425000,        -38.2741,        -38.2743,        -38.2736,        -38.2742,        -38.2749,        -38.2742,        -38.2743,        -38.2739
          53,        0.433333,        -38.2733,        -38.2736,        -38.2745,        -38.2742,        -38.2740,        -38.2742,        -38.2743,        -38.2738
          54,        0.441667,        -38.2740,        -38.2744,        -38.2738,        -38.2743,        -38.2741,        -38.2742,        -38.2742,        -38.2746
          55,        0.450000,        -38.2741,        -38.2742,        -38.2743,        -38.2745,        -38.2744,        -38.2742,        -38.2742,        -38.2752
          56,        0.458333,        -38.2737,        -38.2741,        -38.2738,        -38.2743,        -38.2743,        -38.2744,        -38.2745,        -38.2747
          57,        0.466667,        -38.2739,        -38.2740,        -38.2741,        -38.2744,        -38.2746,        -38.2747,        -38.2742,        -38.2750
          58,        0.475000,        -38.2742,        -38.2741,        -38.2743,        -38.2739,        -38.2744,        -38.2743,        -38.2746,        -38.2748
          59,        0.483333,        -38.2742,        -38.2741,        -38.2735,        -38.2741,        -38.2743,        -38.2742,        -38.2744,        -38.2741
          60,        0.491667,        -38.2743,        -38.2743,        -38.2744,        -38.2746,        -38.2744,        -38.2744,        -38.2741,        -38.2746
          61,        0.500000,        -38.2740,        -38.2745,        -38.2738,        -38.2745,        -38.2745,        -38.2743,        -38.2740,        -38.2751
          62,        0.508333,        -38.2740,        -38.2740,        -38.2746,        -38.2740,        -38.2741,        -38.2745,        -38.2742,        -38.2740
          63,        0.516667,        -38.2748,        -38.2745,        -38.2742,        -38.2739,        -38.2742,        -38.2741,        -38.2742,        -38.2738
          64,        0.525000,        -38.2745,        -38.2743,        -38.2743,        -38.2741,        -38.2741,        -38.2741,        -38.2743,        -38.2733
          65,        0.533333,        -38.2746,        -38.2740,        -38.2740,        -38.2741,        -38.2735,        -38.2743,        -38.2743,        -38.2741
          66,        0.541667,        -38.2742,        -38.2745,        -38.2744,        -38.2743,        -38.2737,        -38.2744,        -38.2741,        -38.2742
          67,        0.550000,        -38.2742,        -38.2744,        -38.2744,        -38.2740,        -38.2735,        -38.2746,        -38.2741,        -38.2747
          68,        0.558333,        -38.2744,        -38.2743,        -38.2748,        -38.2743,        -38.2740,        -38.2743,        -38.2742,        -38.2741
          69,        0.566667,        -38.2745,        -38.2745,        -38.2739,        -38.2746,        -38.2750,        -38.2743,        -38.2746,        -38.2738
          70,        0.575000,        -38.2743,        -38.2743,        -38.2735,        -38.2747,        -38.2737,        -38.2746,        -38.2748,        -38.2749
          71,        0.583333,        -38.2744,        -38.2742,        -38.2742,        -38.2744,        -38.2742,        -38.2744,        -38.2736,        -38.2740
          72,        0.591667,        -38.2748,        -38.2743,        -38.2745,        -38.2743,        -38.2751,        -38.2741,        -38.2744,        -38.2744
          73,        0.600000,        -38.2746,        -38.2745,        -38.2747,        -38.2743,        -38.2740,        -38.2742,        -38.2740,        -38.2743
          74,        0.608333,        -38.2745,        -38.2742,        -38.2740,        -38.2740,        -38.2744,        -38.2739,        -38.2741,        -38.2741
          75,        0.616667,        -38.2745,        -38.2739,        -38.2740,        -38.2740,        -38.2737,        -38.2742,        -38.2744,        -38.2738
          76,        0.625000,        -38.2748,        -38.2737,        -38.2747,        -38.2746,        -38.2744,        -38.2743,        -38.2742,        -38.2741
          77,        0.633333,        -38.2744,        -38.2748,        -38.2744,        -38.2747,        -38.2734,        -38.2740,        -38.2743,        -38.2740
          78,        0.641667,        -38.2741,        -38.2741,        -38.2735,        -38.2741,        -38.2743,        -38.2744,        -38.2743,        -38.2743
          79,        0.650000,        -38.2746,        -38.2741,        -38.2741,        -38.2739,        -38.2745,        -38.2742,        -38.2744,        -38.2747
          80,        0.658333,        -38.2743,        -38.2742,        -38.2742,        -38.2745,        -38.2740,        -38.2740,        -38.2742,        -38.2738
          81,        0.666667,        -38.2737,        -38.2740,        -38.2743,        -38.2743,        -38.2739,        -38.2735,        -38.2741,        -38.2737
          82,        0.675000,        -38.2746,        -38.2744,        -38.2748,        -38.2745,        -38.2742,        -38.2741,        -38.2743,        -38.2746
          83,        0.683333,        -38.2743,        -38.2743,        -38.2746,        -38.2739,        -38.2741,        -38.2741,        -38.2745,        -38.2741
          84,        0.691667,        -38.2743,        -38.2742,        -38.2752,        -38.2742,        -38.2741,        -38.2740,        -38.2749,        -38.2745
          85,        0.700000,        -38.2743,        -38.2739,        -38.2748,        -38.2741,        -38.2739,        -38.2747,        -38.2741,        -38.2739
          86,        0.708333,        -38.2745,        -38.2744,        -38.2741,        -38.2744,        -38.2741,        -38.2740,        -38.2741,        -38.2737
          87,        0.716667,        -38.2742,        -38.2741,        -38.2745,        -38.2746,        -38.2745,        -38.2745,        -38.2740,        -38.2741
          88,        0.725000,        -38.2741,        -38.2740,        -38.2741,        -38.2737,        -38.2748,        -38.2743,        -38.2745,        -38.2744
          89,        0.733333,        -38.2742,        -38.2746,        -38.2743,        -38.2743,        -38.2738,        -38.2742,        -38.2742,        -38.2738
          90,        0.741667,        -38.2745,        -38.2743,        -38.2746,        -38.2745,        -38.2746,        -38.2745,        -38.2744,        -38.2742
          91,        0.750000,        -38.2745,        -38.2741,        -38.2749,        -38.2745,        -38.2737,        -38.2743,        -38.2744,        -38.2740
          92,        0.758333,        -38.2747,        -38.2742,        -38.2740,        -38.2741,        -38.2748,        -38.2746,        -38.2743,        -38.2743
          93,        0.766667,        -38.2735,        -38.2744,        -38.2747,        -38.2749,        -38.2744,        -38.2743,        -38.2741,        -38.2743
          94,        0.775000,        -38.2746,        -38.2741,        -38.2741,        -38.2744,        -38.2743,        -38.2742,        -38.2744,        -38.2740
          95,        0.783333,        -38.2744,        -38.2743,        -38.2740,        -38.2741,        -38.2750,        -38.2742,        -38.2747,        -38.2743
          96,        0.791667,        -38.2738,        -38.2745,        -38.2751,        -38.2749,        -38.2739,        -38.2747,        -38.2745,        -38.2749
          97,        0.800000,        -38.2742,        -38.2742,        -38.2743,        -38.2743,        -38.2741,        -38.2743,        -38.2744,        -38.2748
          98,        0.808333,        -38.2739,        -38.2740,        -38.2739,        -38.2737,        -38.2746,        -38.2744,        -38.2741,        -38.2749
          99,        0.816667,        -38.2741,        -38.2744,        -38.2744,        -38.2741,        -38.2746,        -38.2743,        -38.2741,        -38.2740
         100,        0.825000,        -38.2746,        -38.2743,        -38.2748,        -38.2740,        -38.2747,        -38.2744,        -38.2738,        -38.2740
         101,        0.833333,        -38.2745,        -38.2740,        -38.2744,        -38.2742,        -38.2748,        -38.2742,        -38.2738,        -38.2745
         102,        0.841667,        -38.2744,        -38.2740,        -38.2741,        -38.2739,        -38.2735,        -38.2746,        -38.2746,        -38.2743
         103,        0.850000,        -38.2751,        -38.2739,        -38.2744,        -38.2744,        -38.2733,        -38.2741,        -38.2743,        -38.2748
         104,        0.858333,        -38.2743,        -38.2741,        -38.2744,        -38.2742,        -38.2739,        -38.2740,        -38.2744,        -38.2753
         105,        0.866667,        -38.2736,        -38.2746,        -38.2739,        -38.2741,        -38.2733,        -38.2745,        -38.2746,        -38.2741
         106,        0.875000,        -38.2742,        -38.2743,        -38.2743,        -38.2740,        -38.2739,        -38.2739,        -38.2744,        -38.2750
