"OutphaseC4_004","Location","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow"
"F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Outphase\runs\OutphaseC4_004.tcf","Time","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"," 1","2","3","4","5","6","7","1"," 8"
"F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Outphase\results\004\OutphaseC4_004_POMM.csv","Maximum (Extracted from Time Series)",          0.7560,          0.0000,          1.3247,          0.2048,          0.4095,          0.0000,          0.4031,          0.1099,          0.0962,          0.1090,          0.3854,          0.1194,          0.2521,          1.3814,          1.8600,          0.2317,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
"","Time of Maximum",          2.7750,          0.0000,          0.1583,          0.1250,          0.7583,          0.0000,          5.3417,          1.6917,          1.0667,          4.7583,          2.2250,          1.9833,          1.3167,          3.1250,          2.3750,          0.0167,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
"","Minimum (Extracted From Time Series)",          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -4.0047,         -4.0108,         -4.0020,         -4.0043,         -4.0007,         -4.0016,         -4.0301,         -4.0001
"","Time of Minimum",          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.9833,          5.8500,          3.4333,          2.6500,          2.1167,          2.5250,          5.4250,          3.4250
