"sfe_25 [F:\tuflow-wf_python3\output_folder\sfe_25_tuflow\runs\013\sfe_25.tcf]","Time (h)","V 1 [sfe_25]","V 2 [sfe_25]","V 3 [sfe_25]","V 4 [sfe_25]","V 5 [sfe_25]","V 6 [sfe_25]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.016667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           3,        0.033333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           4,        0.050000,          2.3787,          2.5997,          0.0000,          0.0000,          0.0000,          0.0000
           5,        0.066667,          2.5775,          2.9909,          0.5848,          1.8821,          0.2673,          0.0000
           6,        0.083333,          2.5680,          3.2569,          0.4996,          2.5728,          2.1764,          1.8180
           7,        0.100000,          2.4113,          3.5123,          0.5756,          2.3403,          2.6750,          2.3358
           8,        0.116667,          2.3701,          3.6690,          0.6382,          2.2838,          2.8485,          2.7853
           9,        0.133333,          2.3566,          3.7457,          0.6907,          2.2465,          2.9292,          3.0137
          10,        0.150000,          2.3476,          3.7830,          0.7236,          2.2243,          2.9610,          3.1327
          11,        0.166667,          2.3456,          3.8108,          0.7429,          2.2117,          2.9849,          3.1892
          12,        0.183333,          2.3453,          3.8194,          0.7559,          2.2044,          2.9959,          3.2173
          13,        0.200000,          2.3461,          3.8248,          0.7624,          2.1989,          3.0033,          3.2368
          14,        0.216667,          2.3461,          3.8282,          0.7674,          2.1961,          3.0064,          3.2451
          15,        0.233333,          2.3459,          3.8310,          0.7700,          2.1945,          3.0080,          3.2491
          16,        0.250000,          2.3462,          3.8326,          0.7716,          2.1936,          3.0089,          3.2520
          17,        0.266667,          2.3462,          3.8336,          0.7726,          2.1929,          3.0095,          3.2539
          18,        0.283333,          2.3461,          3.8339,          0.7733,          2.1926,          3.0097,          3.2549
          19,        0.300000,          2.3462,          3.8348,          0.7736,          2.1924,          3.0099,          3.2556
          20,        0.316667,          2.3461,          3.8351,          0.7738,          2.1922,          3.0101,          3.2560
          21,        0.333333,          2.3462,          3.8352,          0.7740,          2.1921,          3.0102,          3.2563
          22,        0.350000,          2.3461,          3.8352,          0.7741,          2.1921,          3.0103,          3.2564
          23,        0.366667,          2.3462,          3.8350,          0.7741,          2.1921,          3.0103,          3.2565
          24,        0.383333,          2.3462,          3.8342,          0.7741,          2.1921,          3.0103,          3.2565
          25,        0.400000,          2.3462,          3.8350,          0.7742,          2.1920,          3.0102,          3.2567
          26,        0.416667,          2.3463,          3.8353,          0.7742,          2.1920,          3.0104,          3.2566
          27,        0.433333,          2.3461,          3.8348,          0.7742,          2.1920,          3.0103,          3.2567
          28,        0.450000,          2.3462,          3.8351,          0.7741,          2.1920,          3.0104,          3.2565
          29,        0.466667,          2.3462,          3.8349,          0.7742,          2.1920,          3.0103,          3.2567
          30,        0.483333,          2.3462,          3.8351,          0.7742,          2.1921,          3.0104,          3.2567
          31,        0.500000,          2.3462,          3.8348,          0.7743,          2.1921,          3.0104,          3.2566
          32,        0.516667,          2.3462,          3.8349,          0.7742,          2.1920,          3.0104,          3.2567
          33,        0.533333,          2.3461,          3.8351,          0.7742,          2.1920,          3.0104,          3.2566
          34,        0.550000,          2.3462,          3.8354,          0.7742,          2.1921,          3.0103,          3.2567
          35,        0.566667,          2.3462,          3.8353,          0.7742,          2.1920,          3.0103,          3.2567
          36,        0.583333,          2.3462,          3.8348,          0.7742,          2.1920,          3.0105,          3.2568
          37,        0.600000,          2.3462,          3.8360,          0.7742,          2.1921,          3.0104,          3.2566
          38,        0.616667,          2.3462,          3.8354,          0.7742,          2.1920,          3.0104,          3.2567
          39,        0.633333,          2.3462,          3.8353,          0.7742,          2.1920,          3.0103,          3.2566
          40,        0.650000,          2.3461,          3.8352,          0.7742,          2.1920,          3.0104,          3.2565
          41,        0.666667,          2.3462,          3.8349,          0.7742,          2.1921,          3.0103,          3.2567
          42,        0.683333,          2.3462,          3.8353,          0.7742,          2.1920,          3.0105,          3.2565
          43,        0.700000,          2.3462,          3.8351,          0.7742,          2.1920,          3.0104,          3.2566
          44,        0.716667,          2.3461,          3.8353,          0.7742,          2.1920,          3.0104,          3.2566
          45,        0.733333,          2.3461,          3.8349,          0.7741,          2.1921,          3.0103,          3.2566
          46,        0.750000,          2.3462,          3.8352,          0.7742,          2.1921,          3.0103,          3.2567
          47,        0.766667,          2.3462,          3.8350,          0.7742,          2.1920,          3.0104,          3.2566
          48,        0.783333,          2.3462,          3.8354,          0.7742,          2.1920,          3.0105,          3.2565
          49,        0.800000,          2.3462,          3.8346,          0.7742,          2.1920,          3.0102,          3.2566
          50,        0.816667,          2.3462,          3.8352,          0.7742,          2.1920,          3.0103,          3.2565
          51,        0.833333,          2.3462,          3.8351,          0.7742,          2.1920,          3.0104,          3.2566
          52,        0.850000,          2.3461,          3.8348,          0.7742,          2.1920,          3.0103,          3.2567
          53,        0.866667,          2.3462,          3.8353,          0.7742,          2.1919,          3.0101,          3.2566
          54,        0.883333,          2.3462,          3.8352,          0.7742,          2.1920,          3.0104,          3.2566
          55,        0.900000,          2.3462,          3.8350,          0.7742,          2.1920,          3.0104,          3.2566
          56,        0.916667,          2.3462,          3.8354,          0.7742,          2.1920,          3.0103,          3.2566
          57,        0.933333,          2.3461,          3.8350,          0.7742,          2.1920,          3.0104,          3.2568
          58,        0.950000,          2.3462,          3.8346,          0.7742,          2.1920,          3.0103,          3.2567
          59,        0.966667,          2.3462,          3.8353,          0.7742,          2.1920,          3.0105,          3.2567
          60,        0.983333,          2.3462,          3.8354,          0.7742,          2.1920,          3.0104,          3.2566
          61,        1.000000,          2.3462,          3.8350,          0.7743,          2.1920,          3.0104,          3.2567
          62,        1.016667,          2.3462,          3.8355,          0.7743,          2.1920,          3.0105,          3.2567
          63,        1.033333,          2.3463,          3.8348,          0.7741,          2.1921,          3.0104,          3.2568
          64,        1.050000,          2.3462,          3.8346,          0.7742,          2.1919,          3.0104,          3.2567
          65,        1.066667,          2.3461,          3.8348,          0.7742,          2.1920,          3.0104,          3.2566
          66,        1.083333,          2.3462,          3.8349,          0.7742,          2.1921,          3.0103,          3.2567
