"VanillaC4_018 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_VanillaC4\runs\VanillaC4_018.tcf]","Time (h)","Q 2 [VanillaC4_018]","Q 3 [VanillaC4_018]","Q 4 [VanillaC4_018]","Q 5 [VanillaC4_018]","Q 6 [VanillaC4_018]","Q 7 [VanillaC4_018]","Q 1 [VanillaC4_018]","Q  8 [VanillaC4_018]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -62.8997,          0.0006
           3,        0.016667,        -52.9016,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,        -66.4061,         -0.0004
           4,        0.025000,        -60.8490,        -40.1541,          0.0000,          0.0000,          0.0000,         -0.0011,        -67.5858,          0.0012
           5,        0.033333,        -64.4730,        -53.4771,        -25.7240,          0.0000,          0.0001,          0.0008,        -68.4730,          0.0004
           6,        0.041667,        -66.3539,        -59.6465,        -45.3877,        -20.4593,          0.0010,         -0.0016,        -68.9686,         -0.0034
           7,        0.050000,        -67.4880,        -63.0571,        -54.1256,        -40.4432,          0.0002,         -0.0003,        -69.2849,         -0.0004
           8,        0.058333,        -68.2222,        -65.1436,        -59.1391,        -50.4188,        -27.1780,          0.0001,        -69.4900,          0.0004
           9,        0.066667,        -68.7100,        -66.4996,        -62.2740,        -56.3191,        -40.0863,        -25.8448,        -69.6268,          0.0014
          10,        0.075000,        -69.0527,        -67.4299,        -64.3727,        -60.1433,        -48.4343,        -39.6487,        -69.7270,        -30.1283
          11,        0.083333,        -69.2943,        -68.0893,        -65.8106,        -62.7143,        -54.0805,        -47.7581,        -69.7938,        -49.4108
          12,        0.091667,        -69.4682,        -68.5613,        -66.8464,        -64.5363,        -58.0858,        -53.9507,        -69.8443,        -60.7504
          13,        0.100000,        -69.5954,        -68.9063,        -67.6042,        -65.8467,        -61.0324,        -61.4748,        -69.8819,        -62.8366
          14,        0.108333,        -69.6884,        -69.1633,        -68.1670,        -66.8269,        -63.2645,        -64.0779,        -69.9089,        -63.9631
          15,        0.116667,        -69.7611,        -69.3526,        -68.5877,        -67.5619,        -65.4717,        -65.2685,        -69.9327,        -64.8359
          16,        0.125000,        -69.8134,        -69.4979,        -68.9073,        -68.1193,        -66.8611,        -66.1815,        -69.9457,        -65.6747
          17,        0.133333,        -69.8557,        -69.6058,        -69.1479,        -68.5459,        -67.6198,        -66.9207,        -69.9585,        -66.4513
          18,        0.141667,        -69.8871,        -69.6924,        -69.3338,        -68.8987,        -68.1643,        -67.5340,        -69.9671,        -67.1357
          19,        0.150000,        -69.9119,        -69.7591,        -69.4780,        -69.1875,        -68.5706,        -68.0389,        -69.9745,        -67.7108
          20,        0.158333,        -69.9309,        -69.8109,        -69.5992,        -69.3903,        -68.8795,        -68.4448,        -69.9804,        -68.1820
          21,        0.166667,        -69.9459,        -69.8518,        -69.6985,        -69.5340,        -69.1144,        -68.7677,        -69.9845,        -68.5634
          22,        0.175000,        -69.9593,        -69.8845,        -69.7721,        -69.6414,        -69.3038,        -69.0277,        -69.9869,        -68.8588
          23,        0.183333,        -69.9659,        -69.9114,        -69.8263,        -69.7231,        -69.4537,        -69.2314,        -69.9896,        -69.0686
          24,        0.191667,        -69.9734,        -69.9330,        -69.8666,        -69.7850,        -69.5716,        -69.4011,        -69.9928,        -69.2877
          25,        0.200000,        -69.9795,        -69.9494,        -69.8965,        -69.8332,        -69.6647,        -69.5203,        -69.9940,        -69.4290
          26,        0.208333,        -69.9845,        -69.9612,        -69.9206,        -69.8697,        -69.7380,        -69.6285,        -69.9961,        -69.5558
          27,        0.216667,        -69.9884,        -69.9704,        -69.9384,        -69.8989,        -69.7970,        -69.7045,        -69.9965,        -69.6510
          28,        0.225000,        -69.9911,        -69.9770,        -69.9526,        -69.9212,        -69.8399,        -69.7687,        -69.9973,        -69.7271
          29,        0.233333,        -69.9931,        -69.9826,        -69.9634,        -69.9389,        -69.8741,        -69.8201,        -69.9976,        -69.7866
          30,        0.241667,        -69.9953,        -69.9864,        -69.9710,        -69.9525,        -69.9015,        -69.8589,        -69.9986,        -69.8330
          31,        0.250000,        -69.9960,        -69.9893,        -69.9779,        -69.9627,        -69.9231,        -69.8899,        -69.9984,        -69.8702
          32,        0.258333,        -69.9968,        -69.9921,        -69.9831,        -69.9709,        -69.9401,        -69.9144,        -69.9995,        -69.8976
          33,        0.266667,        -69.9976,        -69.9935,        -69.9869,        -69.9775,        -69.9535,        -69.9321,        -69.9992,        -69.9198
          34,        0.275000,        -69.9977,        -69.9950,        -69.9890,        -69.9819,        -69.9636,        -69.9467,        -69.9991,        -69.9376
          35,        0.283333,        -69.9988,        -69.9963,        -69.9914,        -69.9863,        -69.9718,        -69.9583,        -69.9995,        -69.9515
          36,        0.291667,        -69.9989,        -69.9968,        -69.9941,        -69.9891,        -69.9774,        -69.9669,        -69.9993,        -69.9630
          37,        0.300000,        -69.9991,        -69.9979,        -69.9952,        -69.9921,        -69.9828,        -69.9750,        -69.9997,        -69.9705
          38,        0.308333,        -69.9992,        -69.9983,        -69.9961,        -69.9935,        -69.9862,        -69.9809,        -69.9995,        -69.9778
          39,        0.316667,        -69.9994,        -69.9983,        -69.9972,        -69.9947,        -69.9895,        -69.9849,        -69.9995,        -69.9824
          40,        0.325000,        -69.9993,        -69.9989,        -69.9973,        -69.9960,        -69.9917,        -69.9877,        -69.9998,        -69.9855
          41,        0.333333,        -69.9996,        -69.9996,        -69.9979,        -69.9968,        -69.9937,        -69.9910,        -69.9995,        -69.9901
          42,        0.341667,        -69.9998,        -69.9993,        -69.9986,        -69.9979,        -69.9950,        -69.9934,        -70.0002,        -69.9913
          43,        0.350000,        -70.0002,        -69.9996,        -69.9987,        -69.9983,        -69.9965,        -69.9944,        -70.0001,        -69.9938
          44,        0.358333,        -70.0001,        -69.9996,        -69.9986,        -69.9987,        -69.9967,        -69.9952,        -70.0006,        -69.9949
          45,        0.366667,        -69.9998,        -69.9996,        -69.9990,        -69.9987,        -69.9971,        -69.9965,        -70.0001,        -69.9955
          46,        0.375000,        -69.9998,        -69.9999,        -69.9995,        -69.9988,        -69.9984,        -69.9975,        -69.9994,        -69.9966
          47,        0.383333,        -70.0003,        -69.9997,        -69.9997,        -69.9993,        -69.9986,        -69.9974,        -70.0000,        -69.9972
          48,        0.391667,        -70.0000,        -70.0002,        -69.9996,        -69.9995,        -69.9985,        -69.9982,        -70.0003,        -69.9977
          49,        0.400000,        -69.9999,        -69.9998,        -69.9998,        -69.9991,        -69.9991,        -69.9982,        -69.9998,        -69.9985
          50,        0.408333,        -70.0000,        -69.9999,        -69.9998,        -69.9999,        -69.9993,        -69.9978,        -70.0001,        -69.9987
          51,        0.416667,        -69.9995,        -69.9995,        -69.9999,        -69.9995,        -69.9995,        -69.9984,        -70.0001,        -69.9989
          52,        0.425000,        -69.9998,        -70.0001,        -70.0001,        -69.9995,        -69.9998,        -69.9993,        -70.0002,        -69.9993
          53,        0.433333,        -70.0002,        -69.9996,        -70.0000,        -69.9998,        -69.9997,        -69.9993,        -70.0006,        -69.9997
          54,        0.441667,        -69.9999,        -69.9999,        -69.9998,        -69.9999,        -69.9994,        -69.9989,        -69.9999,        -69.9999
          55,        0.450000,        -70.0001,        -69.9998,        -70.0000,        -69.9999,        -69.9999,        -69.9996,        -70.0004,        -70.0000
          56,        0.458333,        -69.9999,        -69.9998,        -69.9999,        -70.0000,        -70.0000,        -69.9993,        -70.0004,        -69.9995
          57,        0.466667,        -70.0000,        -70.0002,        -70.0002,        -70.0001,        -69.9997,        -70.0005,        -70.0004,        -69.9998
          58,        0.475000,        -70.0000,        -70.0000,        -69.9997,        -69.9998,        -69.9995,        -69.9989,        -70.0005,        -70.0000
          59,        0.483333,        -70.0000,        -70.0001,        -70.0001,        -70.0000,        -69.9998,        -69.9992,        -70.0001,        -70.0001
          60,        0.491667,        -70.0001,        -70.0001,        -70.0000,        -70.0000,        -69.9997,        -69.9996,        -69.9997,        -69.9986
          61,        0.500000,        -69.9999,        -69.9999,        -70.0003,        -70.0002,        -70.0000,        -70.0004,        -69.9996,        -69.9998
          62,        0.508333,        -69.9996,        -69.9998,        -70.0003,        -70.0002,        -69.9995,        -69.9997,        -69.9999,        -69.9991
          63,        0.516667,        -70.0001,        -70.0000,        -69.9998,        -69.9997,        -69.9994,        -69.9995,        -70.0000,        -69.9988
          64,        0.525000,        -69.9999,        -69.9999,        -70.0003,        -69.9999,        -69.9999,        -69.9990,        -70.0007,        -69.9997
          65,        0.533333,        -69.9999,        -70.0001,        -69.9996,        -70.0002,        -70.0002,        -70.0001,        -69.9997,        -69.9999
          66,        0.541667,        -70.0002,        -70.0002,        -69.9997,        -69.9999,        -69.9997,        -69.9989,        -70.0006,        -69.9998
          67,        0.550000,        -70.0000,        -70.0003,        -70.0000,        -69.9997,        -70.0001,        -69.9991,        -70.0000,        -70.0000
          68,        0.558333,        -70.0002,        -70.0001,        -69.9998,        -69.9997,        -70.0000,        -69.9990,        -69.9999,        -70.0000
          69,        0.566667,        -69.9999,        -70.0003,        -70.0001,        -70.0001,        -70.0002,        -69.9981,        -69.9998,        -70.0000
          70,        0.575000,        -70.0001,        -70.0000,        -70.0001,        -70.0000,        -70.0001,        -70.0002,        -70.0001,        -69.9997
          71,        0.583333,        -70.0005,        -69.9999,        -69.9999,        -69.9995,        -70.0001,        -69.9983,        -70.0000,        -69.9998
          72,        0.591667,        -70.0002,        -69.9999,        -70.0002,        -69.9998,        -69.9998,        -69.9996,        -69.9996,        -69.9992
          73,        0.600000,        -69.9996,        -69.9998,        -69.9999,        -69.9998,        -69.9999,        -70.0008,        -70.0002,        -70.0000
