"VanillaC4_018 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_VanillaC4\runs\VanillaC4_018.tcf]","Time (h)","V 2 [VanillaC4_018]","V 3 [VanillaC4_018]","V 4 [VanillaC4_018]","V 5 [VanillaC4_018]","V 6 [VanillaC4_018]","V 7 [VanillaC4_018]","V 8 [VanillaC4_018]","V 9 [VanillaC4_018]","V 10 [VanillaC4_018]","V 11 [VanillaC4_018]","V 12 [VanillaC4_018]","V 13 [VanillaC4_018]","V 14 [VanillaC4_018]","V 15 [VanillaC4_018]","V 16 [VanillaC4_018]","V  1 [VanillaC4_018]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          3.3023,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          3.0966
           3,        0.016667,          2.6221,          2.2057,          2.7608,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          2.4747
           4,        0.025000,          2.3932,          2.0680,          2.4986,          2.5149,          2.4681,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          0.0001,          0.0001,          2.2985
           5,        0.033333,          2.2909,          2.0084,          2.3593,          2.3799,          2.4635,          1.7580,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          0.0000,          0.0001,          2.2105
           6,        0.041667,          2.2276,          1.9577,          2.2819,          2.2943,          2.3707,          1.9251,          1.7225,          0.0000,          0.0002,          0.0001,          0.0000,          0.0001,          0.0001,          0.0001,          0.0000,          2.1549
           7,        0.050000,          2.1857,          1.9284,          2.2297,          2.2392,          2.3050,          1.9242,          1.9020,          1.6222,          1.0369,          0.0000,          0.0001,          0.0001,          0.0001,          0.0000,          0.0000,          2.1189
           8,        0.058333,          2.1578,          1.9083,          2.1938,          2.1996,          2.2576,          1.9101,          1.9201,          1.8350,          1.5544,          1.2444,          0.0000,          0.0000,          0.0001,          0.0000,          0.0000,          2.0938
           9,        0.066667,          2.1374,          1.8927,          2.1681,          2.1709,          2.2242,          1.8941,          1.9167,          1.8842,          1.7425,          1.5409,          1.1027,          0.9692,          0.8284,          0.0001,          0.0001,          2.0757
          10,        0.075000,          2.1227,          1.8811,          2.1496,          2.1500,          2.1986,          1.8794,          1.9050,          1.8955,          1.8147,          1.6819,          1.2595,          1.2480,          1.2016,          0.9091,          0.6393,          2.0627
