"InphaseC4_010 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Inphase\runs\InphaseC4_010.tcf]","Time (h)","V 2 [InphaseC4_010]","V 3 [InphaseC4_010]","V 4 [InphaseC4_010]","V 5 [InphaseC4_010]","V 6 [InphaseC4_010]","V 7 [InphaseC4_010]","V 8 [InphaseC4_010]","V 9 [InphaseC4_010]","V 10 [InphaseC4_010]","V 11 [InphaseC4_010]","V 12 [InphaseC4_010]","V 13 [InphaseC4_010]","V 14 [InphaseC4_010]","V 15 [InphaseC4_010]","V 16 [InphaseC4_010]","V  1 [InphaseC4_010]"
          28,        0.225000,          0.7939,          0.1917,          0.6679,          1.6678,          0.8140,          0.1046,          0.5446,          1.3445,          0.0570,          0.2651,          0.6699,          0.9094,          0.5797,          0.2407,          0.2465,          1.2352
          29,        0.233333,          0.7938,          0.1918,          0.6679,          1.6681,          0.8115,          0.1077,          0.5481,          1.3578,          0.0726,          0.2758,          0.7242,          1.1698,          0.7248,          0.3058,          0.3156,          1.2349
          30,        0.241667,          0.7937,          0.1920,          0.6681,          1.6683,          0.8098,          0.1099,          0.5508,          1.3679,          0.0893,          0.2871,          0.7638,          1.2892,          0.8274,          0.3372,          0.3530,          1.2346
          31,        0.250000,          0.7936,          0.1920,          0.6682,          1.6685,          0.8086,          0.1116,          0.5529,          1.3749,          0.1039,          0.2962,          0.7950,          1.3574,          0.9140,          0.3731,          0.3793,          1.2345
          32,        0.258333,          0.7936,          0.1921,          0.6682,          1.6686,          0.8077,          0.1128,          0.5543,          1.3800,          0.1150,          0.3043,          0.8174,          1.4033,          0.9784,          0.4137,          0.4058,          1.2344
          33,        0.266667,          0.7935,          0.1922,          0.6682,          1.6687,          0.8070,          0.1137,          0.5555,          1.3840,          0.1244,          0.3114,          0.8345,          1.4383,          1.0211,          0.4589,          0.4308,          1.2343
          34,        0.275000,          0.7935,          0.1922,          0.6683,          1.6688,          0.8064,          0.1145,          0.5563,          1.3873,          0.1319,          0.3173,          0.8479,          1.4631,          1.0547,          0.4903,          0.4540,          1.2342
          35,        0.283333,          0.7935,          0.1922,          0.6683,          1.6689,          0.8060,          0.1149,          0.5569,          1.3900,          0.1379,          0.3214,          0.8579,          1.4824,          1.0786,          0.5134,          0.4738,          1.2342
          36,        0.291667,          0.7935,          0.1922,          0.6684,          1.6689,          0.8056,          0.1154,          0.5574,          1.3919,          0.1430,          0.3247,          0.8654,          1.4962,          1.0958,          0.5297,          0.4906,          1.2341
          37,        0.300000,          0.7934,          0.1922,          0.6684,          1.6689,          0.8052,          0.1156,          0.5578,          1.3933,          0.1472,          0.3274,          0.8712,          1.5069,          1.1094,          0.5421,          0.5101,          1.2341
          38,        0.308333,          0.7934,          0.1922,          0.6684,          1.6689,          0.8049,          0.1159,          0.5581,          1.3943,          0.1502,          0.3293,          0.8753,          1.5149,          1.1195,          0.5511,          0.5232,          1.2341
          39,        0.316667,          0.7934,          0.1923,          0.6684,          1.6689,          0.8047,          0.1161,          0.5582,          1.3951,          0.1527,          0.3309,          0.8786,          1.5210,          1.1269,          0.5576,          0.5321,          1.2341
          40,        0.325000,          0.7935,          0.1923,          0.6684,          1.6690,          0.8046,          0.1162,          0.5584,          1.3957,          0.1546,          0.3320,          0.8809,          1.5255,          1.1326,          0.5625,          0.5383,          1.2341
          41,        0.333333,          0.7934,          0.1923,          0.6683,          1.6690,          0.8045,          0.1163,          0.5585,          1.3962,          0.1559,          0.3330,          0.8828,          1.5288,          1.1368,          0.5662,          0.5430,          1.2341
          42,        0.341667,          0.7934,          0.1923,          0.6684,          1.6690,          0.8044,          0.1163,          0.5586,          1.3964,          0.1569,          0.3336,          0.8841,          1.5314,          1.1400,          0.5690,          0.5463,          1.2341
          43,        0.350000,          0.7934,          0.1922,          0.6683,          1.6690,          0.8044,          0.1164,          0.5586,          1.3967,          0.1576,          0.3341,          0.8851,          1.5334,          1.1423,          0.5711,          0.5488,          1.2341
          44,        0.358333,          0.7934,          0.1923,          0.6683,          1.6690,          0.8043,          0.1164,          0.5586,          1.3971,          0.1582,          0.3345,          0.8859,          1.5348,          1.1442,          0.5728,          0.5507,          1.2341
          45,        0.366667,          0.7934,          0.1923,          0.6683,          1.6690,          0.8043,          0.1164,          0.5587,          1.3972,          0.1587,          0.3348,          0.8866,          1.5358,          1.1458,          0.5739,          0.5520,          1.2340
          46,        0.375000,          0.7934,          0.1922,          0.6684,          1.6690,          0.8043,          0.1164,          0.5587,          1.3973,          0.1589,          0.3350,          0.8870,          1.5366,          1.1468,          0.5749,          0.5531,          1.2340
          47,        0.383333,          0.7934,          0.1922,          0.6684,          1.6690,          0.8043,          0.1164,          0.5588,          1.3974,          0.1592,          0.3352,          0.8872,          1.5372,          1.1475,          0.5756,          0.5539,          1.2341
          48,        0.391667,          0.7934,          0.1923,          0.6684,          1.6690,          0.8043,          0.1165,          0.5588,          1.3975,          0.1594,          0.3353,          0.8875,          1.5377,          1.1480,          0.5760,          0.5545,          1.2340
          49,        0.400000,          0.7934,          0.1922,          0.6684,          1.6690,          0.8042,          0.1165,          0.5588,          1.3975,          0.1596,          0.3353,          0.8876,          1.5380,          1.1485,          0.5764,          0.5550,          1.2340
          50,        0.408333,          0.7934,          0.1922,          0.6684,          1.6689,          0.8042,          0.1166,          0.5588,          1.3976,          0.1597,          0.3354,          0.8878,          1.5383,          1.1488,          0.5767,          0.5553,          1.2341
          51,        0.416667,          0.7935,          0.1922,          0.6684,          1.6690,          0.8042,          0.1165,          0.5588,          1.3977,          0.1598,          0.3355,          0.8879,          1.5385,          1.1490,          0.5769,          0.5556,          1.2340
          52,        0.425000,          0.7934,          0.1923,          0.6684,          1.6690,          0.8043,          0.1166,          0.5588,          1.3976,          0.1598,          0.3356,          0.8880,          1.5386,          1.1492,          0.5771,          0.5558,          1.2341
