"Time (h)    ","1D and 2D:  ","H Vol In    ","H Vol Out   ","Q Vol In    ","Q Vol Out   ","Tot Vol In  ","Tot Vol Out ","Vol I-O     ","dVol        ","Vol Err     ","Q ME (%)    ","Vol I+O     ","Tot Vol     ","Cum Vol I+O ","Cum Vol Err ","Cum ME (%)  ","Cum Q ME (%)"
         0.000,              ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  161.4492    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    
         1.000,              ,  0.000000    ,  19350.59    ,  23770.32    ,  0.000000    ,  23770.32    ,  19350.59    ,  4419.738    ,  4419.739    , 0.9626706E-03, 0.2232492E-05,  43120.91    ,  4581.188    ,  43120.91    , 0.9626706E-03, 0.2232492E-05, 0.2232492E-05
         1.500,              ,  0.000000    ,  11885.16    ,  11885.16    ,  0.000000    ,  11885.16    ,  11885.16    , 0.8656979E-03, 0.9765625E-03, 0.1108646E-03, 0.4663994E-06,  23770.32    ,  4581.189    ,  66891.24    , 0.1073535E-02, 0.1604897E-05, 0.1604897E-05
         2.000,              ,  0.000000    ,  11885.16    ,  11885.16    ,  0.000000    ,  11885.16    ,  11885.16    ,-0.8434057E-03,  0.000000    , 0.8434057E-03, 0.3548145E-05,  23770.33    ,  4581.189    ,  90661.56    , 0.1916941E-02, 0.2114392E-05, 0.2114392E-05
         2.000,              ,  0.000000    , 0.8274297    , 0.8274240    ,  0.000000    , 0.8274240    , 0.8274297    ,-0.5722046E-05, 0.4882812E-03, 0.4940033E-03, 0.2985178E-01,  1.654854    ,  4581.189    ,  90663.22    , 0.2410944E-02, 0.2659231E-05, 0.2659231E-05
