"VanillaC4_003 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_VanillaC4\runs\VanillaC4_003.tcf]","Time (h)","Q 2 [VanillaC4_003]","Q 3 [VanillaC4_003]","Q 4 [VanillaC4_003]","Q 5 [VanillaC4_003]","Q 6 [VanillaC4_003]","Q 7 [VanillaC4_003]","Q 1 [VanillaC4_003]","Q  8 [VanillaC4_003]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           3,        0.016667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -2.0211,          0.0003
           4,        0.025000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -2.5804,          0.0003
           5,        0.033333,         -0.6871,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -2.7819,          0.0003
           6,        0.041667,         -1.9136,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -2.8718,          0.0001
           7,        0.050000,         -2.3825,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -2.9219,          0.0002
           8,        0.058333,         -2.6194,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -2.9522,          0.0004
           9,        0.066667,         -2.7591,         -0.8130,          0.0000,          0.0000,          0.0000,          0.0000,         -2.9680,          0.0002
          10,        0.075000,         -2.8431,         -1.7688,          0.0000,          0.0000,          0.0000,          0.0000,         -2.9787,         -0.0002
          11,        0.083333,         -2.9041,         -2.2224,          0.0000,          0.0000,          0.0000,          0.0000,         -2.9860,          0.0004
          12,        0.091667,         -2.9281,         -2.4882,          0.0000,          0.0000,          0.0000,          0.0000,         -2.9905,          0.0003
          13,        0.100000,         -2.9504,         -2.6529,         -0.3020,          0.0000,          0.0000,          0.0000,         -2.9933,          0.0000
          14,        0.108333,         -2.9657,         -2.7621,         -1.5056,          0.0000,          0.0000,          0.0000,         -2.9955,          0.0001
          15,        0.116667,         -2.9761,         -2.8351,         -2.0327,          0.0000,          0.0000,          0.0000,         -2.9969,          0.0000
          16,        0.125000,         -2.9834,         -2.8843,         -2.3427,          0.0000,          0.0000,          0.0000,         -2.9979,         -0.0003
          17,        0.133333,         -2.9884,         -2.9180,         -2.5399,         -0.8906,          0.0000,          0.0000,         -2.9985,         -0.0004
          18,        0.141667,         -2.9919,         -2.9413,         -2.6764,         -1.6860,          0.0000,          0.0000,         -2.9990,          0.0002
          19,        0.150000,         -2.9943,         -2.9577,         -2.7704,         -2.1112,          0.0000,          0.0000,         -2.9994,         -0.0000
          20,        0.158333,         -2.9961,         -2.9696,         -2.8358,         -2.3810,          0.0000,          0.0000,         -2.9995,          0.0000
          21,        0.166667,         -2.9972,         -2.9782,         -2.8816,         -2.5569,          0.0000,          0.0000,         -2.9997,          0.0004
          22,        0.175000,         -2.9980,         -2.9844,         -2.9138,         -2.6824,          0.0000,          0.0000,         -2.9998,          0.0002
          23,        0.183333,         -2.9986,         -2.9887,         -2.9367,         -2.7709,          0.0000,          0.0000,         -3.0000,         -0.0002
          24,        0.191667,         -2.9989,         -2.9919,         -2.9533,         -2.8336,         -1.1208,          0.0000,         -3.0000,         -0.0004
          25,        0.200000,         -2.9992,         -2.9942,         -2.9660,         -2.8782,         -1.7627,          0.0000,         -2.9999,         -0.0001
          26,        0.208333,         -2.9995,         -2.9959,         -2.9752,         -2.9100,         -2.1382,          0.0000,         -2.9999,         -0.0002
          27,        0.216667,         -2.9996,         -2.9970,         -2.9819,         -2.9332,         -2.3858,          0.0000,         -3.0000,         -0.0001
