"VanillaC4_003 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_VanillaC4\runs\VanillaC4_003.tcf]","Time (h)","V 2 [VanillaC4_003]","V 3 [VanillaC4_003]","V 4 [VanillaC4_003]","V 5 [VanillaC4_003]","V 6 [VanillaC4_003]","V 7 [VanillaC4_003]","V 8 [VanillaC4_003]","V 9 [VanillaC4_003]","V 10 [VanillaC4_003]","V 11 [VanillaC4_003]","V 12 [VanillaC4_003]","V 13 [VanillaC4_003]","V 14 [VanillaC4_003]","V 15 [VanillaC4_003]","V 16 [VanillaC4_003]","V  1 [VanillaC4_003]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           3,        0.016667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.9272
           4,        0.025000,          0.9277,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.8674
           5,        0.033333,          0.8858,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0006,          0.0002,          0.8388
           6,        0.041667,          0.8612,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0002,          0.8216
           7,        0.050000,          0.8438,          0.0000,          0.3959,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0004,          0.8112
           8,        0.058333,          0.8334,          0.0009,          0.7478,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0001,          0.8048
           9,        0.066667,          0.8265,          0.1313,          0.7553,          0.0081,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.8004
          10,        0.075000,          0.8218,          0.1676,          0.7555,          0.6966,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0003,          0.7978
          11,        0.083333,          0.8179,          0.1884,          0.7522,          0.7190,          0.0908,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003,          0.0001,          0.7960
          12,        0.091667,          0.8164,          0.1995,          0.7500,          0.7235,          0.7808,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0002,          0.7949
          13,        0.100000,          0.8150,          0.2071,          0.7479,          0.7238,          0.7890,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0003,          0.7940
          14,        0.108333,          0.8140,          0.2119,          0.7461,          0.7245,          0.7893,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0003,          0.7933
          15,        0.116667,          0.8133,          0.2153,          0.7447,          0.7240,          0.7864,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0001,          0.7928
          16,        0.125000,          0.8128,          0.2175,          0.7436,          0.7232,          0.7850,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          0.7926
          17,        0.133333,          0.8125,          0.2192,          0.7430,          0.7225,          0.7837,          0.0451,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0002,          0.7924
          18,        0.141667,          0.8122,          0.2201,          0.7425,          0.7218,          0.7823,          0.1240,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0001,          0.7924
          19,        0.150000,          0.8120,          0.2209,          0.7421,          0.7212,          0.7811,          0.1587,          0.1748,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003,          0.0002,          0.7922
          20,        0.158333,          0.8119,          0.2215,          0.7418,          0.7210,          0.7801,          0.1796,          0.2284,          0.1031,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0001,          0.7921
          21,        0.166667,          0.8118,          0.2219,          0.7415,          0.7208,          0.7793,          0.1929,          0.2588,          0.2502,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0001,          0.7921
          22,        0.175000,          0.8117,          0.2223,          0.7413,          0.7207,          0.7789,          0.2018,          0.2780,          0.3080,          0.0846,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.7921
          23,        0.183333,          0.8116,          0.2224,          0.7412,          0.7205,          0.7787,          0.2079,          0.2903,          0.3385,          0.3000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.7920
          24,        0.191667,          0.8116,          0.2225,          0.7412,          0.7204,          0.7784,          0.2122,          0.2988,          0.3514,          0.3615,          0.2209,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003,          0.7920
          25,        0.200000,          0.8116,          0.2226,          0.7411,          0.7202,          0.7782,          0.2154,          0.3047,          0.3611,          0.3875,          0.3756,          0.0000,          0.0000,          0.0000,          0.0001,          0.0002,          0.7920
          26,        0.208333,          0.8116,          0.2226,          0.7410,          0.7201,          0.7780,          0.2177,          0.3087,          0.3680,          0.4047,          0.4215,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.7920
          27,        0.216667,          0.8115,          0.2227,          0.7410,          0.7202,          0.7778,          0.2193,          0.3115,          0.3729,          0.4166,          0.4483,          0.0000,          0.0000,          0.0000,          0.0003,          0.0002,          0.7920
          28,        0.225000,          0.8116,          0.2227,          0.7409,          0.7201,          0.7777,          0.2205,          0.3126,          0.3765,          0.4245,          0.4635,          0.0000,          0.0337,          0.0000,          0.0002,          0.0002,          0.7920
