"VanillaC4_007","Location","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow"
"F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_VanillaC4\runs\VanillaC4_007.tcf","Time","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"," 1","2","3","4","5","6","7","1"," 8"
"F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_VanillaC4\results\007\VanillaC4_007_PO.csv",        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          1.4082,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -1.7716,          0.0000
,        0.016667,          1.3015,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          1.2154,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -5.6686,          0.0003
,        0.025000,          1.2016,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          1.1354,         -2.2039,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -6.3734,         -0.0001
,        0.033333,          1.1449,          0.3869,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          1.0981,         -4.8220,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -6.6586,         -0.0002
,        0.041667,          1.1149,          0.5108,          1.0475,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          1.0758,         -5.8002,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         -6.7866,         -0.0000
,        0.050000,          1.0941,          0.5451,          1.0469,          0.8780,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0002,          0.0001,          1.0605,         -6.2376,         -2.3447,          0.0000,          0.0000,          0.0000,          0.0000,         -6.8713,          0.0001
,        0.058333,          1.0814,          0.5608,          1.0348,          1.0008,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          1.0509,         -6.5095,         -4.3824,          0.0000,          0.0000,          0.0000,         -0.0000,         -6.9095,         -0.0001
,        0.066667,          1.0726,          0.5688,          1.0239,          1.0045,          1.0608,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          1.0451,         -6.6742,         -5.3467,          0.0000,          0.0000,          0.0000,         -0.0001,         -6.9402,         -0.0003
