"VanillaC4_013","Location","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow"
"F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Vanilla\runs\VanillaC4_013.tcf","Time","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"," 1","2","3","4","5","6","7","1"," 8"
"F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Vanilla\results\013\VanillaC4_013_POMM.csv","Maximum (Extracted from Time Series)",          1.7820,          1.0960,          1.5883,          1.5085,          1.5540,          1.0701,          1.1162,          1.1582,          1.1947,          1.2298,          1.0202,          1.2272,          1.4514,          1.4280,          1.4036,          2.0426,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0007,          0.0000,          0.0007
"","Time of Maximum",          0.0167,          0.0417,          0.0250,          0.0417,          0.0500,          0.1333,          0.2417,          0.2500,          0.2500,          0.2583,          1.2250,          1.2167,          1.2167,          1.2000,          2.8750,          0.0083,          0.0000,          0.0000,          0.0000,          0.0000,          0.0583,          0.0750,          0.0000,          0.0417
"","Minimum (Extracted From Time Series)",          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -20.0031,        -20.0011,        -20.0016,        -20.0022,        -20.0004,        -20.0020,        -20.0005,        -20.0623
"","Time of Minimum",          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.2500,          2.8750,          2.8833,          2.8917,          2.9000,          2.0750,          0.2667,          1.1917
