"OutphaseC4_020","Location","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow"
"F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_OutphaseC4\runs\OutphaseC4_020.tcf","Time","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"," 1","2","3","4","5","6","7","1"," 8"
"F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_OutphaseC4\results\020\OutphaseC4_020_POMM.csv","Maximum (Extracted from Time Series)",          2.3992,          3.3719,          4.4920,          2.2616,          1.9345,          2.7563,          2.3302,          1.2011,          2.0356,          3.7737,          0.4300,          1.4146,          2.0101,          3.1967,          5.1826,          1.9259,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0013
"","Time of Maximum",          0.0083,          0.0917,          0.0333,          0.0667,          0.1500,          0.1000,          0.0583,          5.1833,          0.2667,          0.1333,          0.2083,          5.2333,          0.2833,          0.1917,          4.7500,          0.0083,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.1000
"","Minimum (Extracted From Time Series)",          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -90.0010,        -90.0020,        -90.0025,        -89.9388,        -90.0009,        -90.0017,        -90.0021,        -90.0008
"","Time of Minimum",          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          2.1000,          1.0750,          1.5750,          4.5667,          0.8167,          2.2167,          3.4167,          0.8833
