"VanillaC4_012 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Vanilla\runs\VanillaC4_012.tcf]","Time (h)","V 2 [VanillaC4_012]","V 3 [VanillaC4_012]","V 4 [VanillaC4_012]","V 5 [VanillaC4_012]","V 6 [VanillaC4_012]","V 7 [VanillaC4_012]","V 8 [VanillaC4_012]","V 9 [VanillaC4_012]","V 10 [VanillaC4_012]","V 11 [VanillaC4_012]","V 12 [VanillaC4_012]","V 13 [VanillaC4_012]","V 14 [VanillaC4_012]","V 15 [VanillaC4_012]","V 16 [VanillaC4_012]","V  1 [VanillaC4_012]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          1.8660
           3,        0.016667,          1.6303,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          1.5445
           4,        0.025000,          1.5055,          0.8478,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          1.4482
           5,        0.033333,          1.4415,          0.9195,          1.4192,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0002,          0.0001,          1.3965
           6,        0.041667,          1.4054,          0.9312,          1.3832,          1.3494,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0001,          0.0001,          0.0002,          1.3657
           7,        0.050000,          1.3817,          0.9351,          1.3552,          1.3426,          1.4044,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0002,          0.0003,          0.0000,          0.0002,          1.3469
           8,        0.058333,          1.3661,          0.9339,          1.3339,          1.3256,          1.3927,          0.4665,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0002,          0.0001,          0.0001,          1.3347
           9,        0.066667,          1.3557,          0.9319,          1.3191,          1.3101,          1.3743,          0.7784,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0002,          0.0002,          0.0001,          1.3261
          10,        0.075000,          1.3482,          0.9306,          1.3081,          1.2986,          1.3592,          0.8572,          0.7184,          0.0000,          0.0000,          0.0000,          0.0000,          0.0003,          0.0001,          0.0001,          0.0001,          1.3202
          11,        0.083333,          1.3428,          0.9294,          1.3002,          1.2896,          1.3460,          0.8859,          0.8746,          0.5424,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          0.0001,          1.3159
          12,        0.091667,          1.3390,          0.9284,          1.2946,          1.2823,          1.3367,          0.9025,          0.9186,          0.8715,          0.0000,          0.0000,          0.0000,          0.0006,          0.0001,          0.0000,          0.0001,          1.3130
          13,        0.100000,          1.3361,          0.9276,          1.2901,          1.2770,          1.3294,          0.9124,          0.9439,          0.9491,          0.8569,          0.0000,          0.0000,          0.0001,          0.0001,          0.0000,          0.0001,          1.3109
          14,        0.108333,          1.3341,          0.9270,          1.2869,          1.2732,          1.3235,          0.9172,          0.9540,          0.9820,          0.9721,          0.8712,          0.0000,          0.0006,          0.0000,          0.0001,          0.0001,          1.3092
          15,        0.116667,          1.3325,          0.9265,          1.2843,          1.2703,          1.3196,          0.9198,          0.9609,          0.9965,          1.0135,          1.0129,          0.0000,          0.0003,          0.0000,          0.0001,          0.0001,          1.3081
          16,        0.125000,          1.3314,          0.9261,          1.2824,          1.2679,          1.3163,          0.9216,          0.9651,          1.0060,          1.0341,          1.0532,          0.4673,          0.5561,          0.0002,          0.0001,          0.0001,          1.3072
          17,        0.133333,          1.3305,          0.9258,          1.2809,          1.2661,          1.3137,          0.9230,          0.9676,          1.0109,          1.0431,          1.0720,          0.6788,          0.8408,          0.9636,          0.0571,          0.0001,          1.3066
          18,        0.141667,          1.3300,          0.9255,          1.2798,          1.2647,          1.3118,          0.9238,          0.9697,          1.0135,          1.0481,          1.0811,          0.7468,          0.9546,          1.1535,          0.6845,          0.1952,          1.3061
          19,        0.150000,          1.3295,          0.9254,          1.2790,          1.2636,          1.3102,          0.9244,          0.9707,          1.0149,          1.0517,          1.0874,          0.7909,          1.0044,          1.2191,          0.8965,          0.5650,          1.3057
          20,        0.158333,          1.3292,          0.9252,          1.2784,          1.2628,          1.3090,          0.9247,          0.9713,          1.0162,          1.0537,          1.0903,          0.8129,          1.0279,          1.2496,          1.0067,          0.9340,          1.3055
          21,        0.166667,          1.3289,          0.9251,          1.2779,          1.2621,          1.3080,          0.9249,          0.9717,          1.0170,          1.0552,          1.0917,          0.8281,          1.0432,          1.2643,          1.1637,          1.0387,          1.3053
          22,        0.175000,          1.3287,          0.9250,          1.2776,          1.2616,          1.3073,          0.9250,          0.9719,          1.0175,          1.0561,          1.0922,          0.8388,          1.0537,          1.2845,          1.2160,          1.0933,          1.3052
          23,        0.183333,          1.3286,          0.9249,          1.2773,          1.2612,          1.3067,          0.9251,          0.9720,          1.0178,          1.0565,          1.0928,          0.8463,          1.0669,          1.3063,          1.2433,          1.1335,          1.3052
          24,        0.191667,          1.3285,          0.9249,          1.2771,          1.2609,          1.3063,          0.9252,          0.9720,          1.0180,          1.0568,          1.0933,          0.8541,          1.0759,          1.3143,          1.2602,          1.1658,          1.3050
          25,        0.200000,          1.3284,          0.9249,          1.2769,          1.2607,          1.3060,          0.9252,          0.9721,          1.0181,          1.0569,          1.0936,          0.8596,          1.0810,          1.3189,          1.2709,          1.1909,          1.3050
          26,        0.208333,          1.3283,          0.9248,          1.2767,          1.2606,          1.3056,          0.9252,          0.9721,          1.0181,          1.0569,          1.0939,          0.8631,          1.0844,          1.3220,          1.2793,          1.2100,          1.3050
          27,        0.216667,          1.3283,          0.9248,          1.2766,          1.2604,          1.3054,          0.9252,          0.9721,          1.0181,          1.0569,          1.0944,          0.8656,          1.0869,          1.3240,          1.2857,          1.2248,          1.3049
          28,        0.225000,          1.3282,          0.9248,          1.2766,          1.2603,          1.3053,          0.9252,          0.9721,          1.0181,          1.0570,          1.0947,          0.8675,          1.0885,          1.3254,          1.2905,          1.2362,          1.3049
          29,        0.233333,          1.3282,          0.9247,          1.2765,          1.2602,          1.3052,          0.9251,          0.9721,          1.0181,          1.0571,          1.0948,          0.8688,          1.0898,          1.3264,          1.2942,          1.2452,          1.3049
          30,        0.241667,          1.3282,          0.9247,          1.2764,          1.2602,          1.3051,          0.9252,          0.9720,          1.0180,          1.0570,          1.0948,          0.8699,          1.0907,          1.3272,          1.2968,          1.2520,          1.3050
          31,        0.250000,          1.3281,          0.9248,          1.2765,          1.2601,          1.3050,          0.9252,          0.9720,          1.0181,          1.0571,          1.0950,          0.8707,          1.0914,          1.3277,          1.2989,          1.2569,          1.3048
          32,        0.258333,          1.3282,          0.9248,          1.2764,          1.2601,          1.3049,          0.9251,          0.9720,          1.0181,          1.0571,          1.0950,          0.8713,          1.0919,          1.3281,          1.3004,          1.2609,          1.3049
          33,        0.266667,          1.3282,          0.9247,          1.2764,          1.2601,          1.3049,          0.9252,          0.9719,          1.0180,          1.0571,          1.0950,          0.8718,          1.0923,          1.3284,          1.3017,          1.2643,          1.3049
          34,        0.275000,          1.3281,          0.9247,          1.2764,          1.2600,          1.3048,          0.9251,          0.9720,          1.0181,          1.0571,          1.0950,          0.8721,          1.0926,          1.3286,          1.3026,          1.2666,          1.3049
          35,        0.283333,          1.3282,          0.9247,          1.2764,          1.2600,          1.3048,          0.9252,          0.9720,          1.0181,          1.0571,          1.0950,          0.8724,          1.0929,          1.3289,          1.3033,          1.2681,          1.3049
          36,        0.291667,          1.3282,          0.9248,          1.2764,          1.2600,          1.3048,          0.9251,          0.9720,          1.0180,          1.0571,          1.0951,          0.8726,          1.0931,          1.3289,          1.3039,          1.2696,          1.3048
          37,        0.300000,          1.3281,          0.9247,          1.2763,          1.2599,          1.3048,          0.9251,          0.9720,          1.0180,          1.0571,          1.0951,          0.8728,          1.0932,          1.3290,          1.3042,          1.2707,          1.3049
          38,        0.308333,          1.3281,          0.9247,          1.2764,          1.2600,          1.3048,          0.9252,          0.9720,          1.0181,          1.0570,          1.0951,          0.8729,          1.0933,          1.3291,          1.3046,          1.2713,          1.3049
          39,        0.316667,          1.3281,          0.9247,          1.2764,          1.2599,          1.3048,          0.9252,          0.9720,          1.0180,          1.0571,          1.0951,          0.8730,          1.0934,          1.3292,          1.3048,          1.2722,          1.3049
          40,        0.325000,          1.3281,          0.9247,          1.2764,          1.2600,          1.3048,          0.9252,          0.9720,          1.0180,          1.0571,          1.0951,          0.8730,          1.0935,          1.3292,          1.3050,          1.2729,          1.3049
          41,        0.333333,          1.3281,          0.9247,          1.2764,          1.2599,          1.3047,          0.9251,          0.9720,          1.0180,          1.0570,          1.0951,          0.8732,          1.0936,          1.3293,          1.3051,          1.2734,          1.3049
          42,        0.341667,          1.3281,          0.9247,          1.2764,          1.2600,          1.3047,          0.9252,          0.9720,          1.0180,          1.0571,          1.0951,          0.8732,          1.0935,          1.3293,          1.3052,          1.2736,          1.3049
          43,        0.350000,          1.3281,          0.9248,          1.2764,          1.2599,          1.3047,          0.9252,          0.9720,          1.0181,          1.0571,          1.0951,          0.8732,          1.0935,          1.3294,          1.3053,          1.2792,          1.3049
          44,        0.358333,          1.3281,          0.9247,          1.2764,          1.2600,          1.3048,          0.9252,          0.9719,          1.0180,          1.0571,          1.0951,          0.8732,          1.0936,          1.3293,          1.3054,          1.2821,          1.3049
          45,        0.366667,          1.3281,          0.9248,          1.2763,          1.2600,          1.3048,          0.9251,          0.9719,          1.0180,          1.0570,          1.0950,          0.8733,          1.0936,          1.3293,          1.3058,          1.2723,          1.3049
          46,        0.375000,          1.3282,          0.9247,          1.2763,          1.2599,          1.3048,          0.9251,          0.9720,          1.0180,          1.0571,          1.0951,          0.8732,          1.0937,          1.3294,          1.3064,          1.2740,          1.3049
          47,        0.383333,          1.3281,          0.9247,          1.2764,          1.2599,          1.3048,          0.9251,          0.9720,          1.0180,          1.0571,          1.0950,          0.8733,          1.0936,          1.3295,          1.3056,          1.2745,          1.3049
          48,        0.391667,          1.3281,          0.9247,          1.2764,          1.2599,          1.3048,          0.9251,          0.9720,          1.0180,          1.0570,          1.0951,          0.8733,          1.0937,          1.3294,          1.3056,          1.2743,          1.3049
          49,        0.400000,          1.3281,          0.9248,          1.2764,          1.2599,          1.3047,          0.9251,          0.9720,          1.0180,          1.0571,          1.0950,          0.8733,          1.0936,          1.3294,          1.3057,          1.2780,          1.3048
          50,        0.408333,          1.3281,          0.9247,          1.2764,          1.2600,          1.3048,          0.9251,          0.9720,          1.0180,          1.0570,          1.0951,          0.8733,          1.0937,          1.3294,          1.3056,          1.2771,          1.3049
          51,        0.416667,          1.3281,          0.9248,          1.2764,          1.2600,          1.3047,          0.9251,          0.9720,          1.0180,          1.0570,          1.0951,          0.8733,          1.0936,          1.3294,          1.3059,          1.2736,          1.3049
          52,        0.425000,          1.3281,          0.9248,          1.2763,          1.2599,          1.3047,          0.9251,          0.9720,          1.0180,          1.0571,          1.0951,          0.8733,          1.0937,          1.3294,          1.3059,          1.2741,          1.3049
          53,        0.433333,          1.3281,          0.9248,          1.2764,          1.2600,          1.3047,          0.9251,          0.9719,          1.0180,          1.0571,          1.0951,          0.8733,          1.0937,          1.3295,          1.3056,          1.2742,          1.3048
          54,        0.441667,          1.3282,          0.9247,          1.2764,          1.2599,          1.3048,          0.9251,          0.9720,          1.0180,          1.0571,          1.0951,          0.8733,          1.0937,          1.3294,          1.3056,          1.2743,          1.3048
          55,        0.450000,          1.3281,          0.9247,          1.2763,          1.2599,          1.3047,          0.9251,          0.9720,          1.0180,          1.0571,          1.0951,          0.8733,          1.0937,          1.3294,          1.3056,          1.2743,          1.3049
          56,        0.458333,          1.3282,          0.9248,          1.2764,          1.2600,          1.3047,          0.9251,          0.9720,          1.0180,          1.0570,          1.0950,          0.8733,          1.0937,          1.3294,          1.3056,          1.2744,          1.3049
          57,        0.466667,          1.3281,          0.9247,          1.2764,          1.2600,          1.3048,          0.9251,          0.9720,          1.0180,          1.0570,          1.0951,          0.8733,          1.0937,          1.3293,          1.3056,          1.2744,          1.3050
          58,        0.475000,          1.3281,          0.9247,          1.2763,          1.2600,          1.3047,          0.9251,          0.9720,          1.0180,          1.0571,          1.0951,          0.8733,          1.0937,          1.3294,          1.3056,          1.2744,          1.3049
          59,        0.483333,          1.3282,          0.9247,          1.2763,          1.2599,          1.3047,          0.9251,          0.9720,          1.0180,          1.0570,          1.0951,          0.8733,          1.0937,          1.3294,          1.3056,          1.2744,          1.3049
          60,        0.491667,          1.3281,          0.9247,          1.2764,          1.2600,          1.3047,          0.9252,          0.9719,          1.0181,          1.0571,          1.0951,          0.8733,          1.0937,          1.3294,          1.3056,          1.2745,          1.3048
          61,        0.500000,          1.3281,          0.9248,          1.2763,          1.2599,          1.3047,          0.9251,          0.9720,          1.0180,          1.0570,          1.0951,          0.8733,          1.0937,          1.3294,          1.3057,          1.2744,          1.3048
          62,        0.508333,          1.3282,          0.9248,          1.2764,          1.2599,          1.3047,          0.9251,          0.9720,          1.0180,          1.0570,          1.0950,          0.8733,          1.0936,          1.3294,          1.3056,          1.2745,          1.3049
          63,        0.516667,          1.3282,          0.9247,          1.2763,          1.2599,          1.3047,          0.9251,          0.9720,          1.0180,          1.0571,          1.0951,          0.8733,          1.0937,          1.3294,          1.3056,          1.2744,          1.3049
          64,        0.525000,          1.3281,          0.9247,          1.2764,          1.2600,          1.3047,          0.9252,          0.9720,          1.0180,          1.0571,          1.0951,          0.8733,          1.0936,          1.3294,          1.3056,          1.2745,          1.3049
          65,        0.533333,          1.3282,          0.9247,          1.2763,          1.2599,          1.3047,          0.9252,          0.9720,          1.0180,          1.0571,          1.0951,          0.8733,          1.0937,          1.3294,          1.3056,          1.2743,          1.3048
          66,        0.541667,          1.3281,          0.9247,          1.2764,          1.2599,          1.3047,          0.9251,          0.9720,          1.0180,          1.0571,          1.0951,          0.8733,          1.0937,          1.3293,          1.3056,          1.2744,          1.3049
          67,        0.550000,          1.3282,          0.9248,          1.2764,          1.2599,          1.3047,          0.9252,          0.9719,          1.0180,          1.0570,          1.0951,          0.8733,          1.0937,          1.3294,          1.3056,          1.2744,          1.3049
          68,        0.558333,          1.3282,          0.9247,          1.2764,          1.2600,          1.3048,          0.9252,          0.9720,          1.0180,          1.0570,          1.0951,          0.8733,          1.0936,          1.3294,          1.3057,          1.2744,          1.3049
          69,        0.566667,          1.3281,          0.9248,          1.2764,          1.2599,          1.3047,          0.9251,          0.9719,          1.0180,          1.0570,          1.0951,          0.8733,          1.0936,          1.3294,          1.3056,          1.2744,          1.3049
          70,        0.575000,          1.3281,          0.9247,          1.2764,          1.2599,          1.3047,          0.9251,          0.9720,          1.0180,          1.0570,          1.0950,          0.8733,          1.0937,          1.3294,          1.3056,          1.2744,          1.3049
