"VanillaC4_012 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Vanilla\runs\VanillaC4_012.tcf]","Time (h)","Q 2 [VanillaC4_012]","Q 3 [VanillaC4_012]","Q 4 [VanillaC4_012]","Q 5 [VanillaC4_012]","Q 6 [VanillaC4_012]","Q 7 [VanillaC4_012]","Q 1 [VanillaC4_012]","Q  8 [VanillaC4_012]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -10.0622,          0.0000
           3,        0.016667,         -0.9830,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -13.1697,          0.0010
           4,        0.025000,        -10.0917,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -14.0120,         -0.0014
           5,        0.033333,        -12.3326,          0.0000,          0.0000,          0.0000,          0.0000,         -0.0000,        -14.4195,          0.0008
           6,        0.041667,        -13.3716,         -7.9550,          0.0000,          0.0000,          0.0000,          0.0001,        -14.6289,         -0.0011
           7,        0.050000,        -13.9498,        -10.8033,          0.0000,          0.0000,          0.0000,          0.0004,        -14.7555,          0.0011
           8,        0.058333,        -14.2943,        -12.2919,         -5.1022,          0.0000,          0.0000,          0.0001,        -14.8355,          0.0007
           9,        0.066667,        -14.5100,        -13.1664,         -9.0412,          0.0000,          0.0000,          0.0004,        -14.8856,          0.0004
          10,        0.075000,        -14.6567,        -13.7299,        -11.0520,         -4.1399,          0.0000,          0.0005,        -14.9200,          0.0001
          11,        0.083333,        -14.7564,        -14.0992,        -12.2674,         -8.3212,          0.0000,          0.0001,        -14.9436,          0.0006
          12,        0.091667,        -14.8254,        -14.3481,        -13.0551,        -10.4689,          0.0000,          0.0007,        -14.9601,          0.0002
          13,        0.100000,        -14.8733,        -14.5271,        -13.5992,        -11.8040,          0.0000,         -0.0000,        -14.9708,          0.0013
          14,        0.108333,        -14.9082,        -14.6544,        -13.9751,        -12.6921,         -4.0697,          0.0002,        -14.9792,         -0.0002
