"OutphaseC4_017 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_OutphaseC4\runs\OutphaseC4_017.tcf]","Time (h)","Q 2 [OutphaseC4_017]","Q 3 [OutphaseC4_017]","Q 4 [OutphaseC4_017]","Q 5 [OutphaseC4_017]","Q 6 [OutphaseC4_017]","Q 7 [OutphaseC4_017]","Q 1 [OutphaseC4_017]","Q  8 [OutphaseC4_017]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -25.2865,         -0.0000
           3,        0.016667,        -12.4982,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -33.3852,          0.0000
           4,        0.025000,        -29.5551,         -9.5380,          0.0000,          0.0000,          0.0000,          0.0000,        -42.4510,         -0.0004
           5,        0.033333,        -42.0696,        -24.2066,          0.0000,          0.0000,          0.0000,          0.0000,        -49.8797,         -0.0004
           6,        0.041667,        -49.1416,        -25.0748,          0.0000,          0.0000,          0.0000,          0.0000,        -52.2016,         -0.0006
           7,        0.050000,        -53.9960,        -30.2313,         -5.7849,          0.0000,          0.0000,          0.0000,        -57.0315,          0.0004
           8,        0.058333,        -56.3955,        -34.2384,        -14.5329,         -4.8596,          0.0000,          0.0000,        -58.7493,         -0.0003
           9,        0.066667,        -57.7724,        -38.9142,        -22.9360,        -16.6003,          0.0000,          0.0000,        -59.0347,          0.0001
          10,        0.075000,        -58.6535,        -43.0403,        -30.4624,        -21.6619,          0.0000,          0.0000,        -59.2235,          0.0001
          11,        0.083333,        -59.1756,        -46.4150,        -36.6104,        -25.1177,          0.0000,          0.0000,        -59.5019,         -0.0005
          12,        0.091667,        -59.4853,        -49.3701,        -41.5139,        -28.7819,          0.0000,          0.0000,        -59.6873,          0.0003
          13,        0.100000,        -59.6870,        -51.6194,        -45.4158,        -32.1204,         -5.1257,          0.0000,        -59.8395,         -0.0005
          14,        0.108333,        -59.7927,        -53.4255,        -48.4839,        -36.0829,        -11.9237,         -0.0078,        -59.9089,         -0.0000
          15,        0.116667,        -59.8805,        -54.9117,        -50.9021,        -39.8119,        -19.0523,         -2.0845,        -59.9354,          0.0002
          16,        0.125000,        -59.9363,        -55.9759,        -52.7847,        -43.1229,        -25.6866,         -4.2138,        -59.9516,         -0.0002
          17,        0.133333,        -59.9614,        -56.8306,        -54.2823,        -46.0660,        -31.5436,         -8.0044,        -59.9706,         -0.0005
          18,        0.141667,        -59.9494,        -57.4854,        -55.4548,        -48.5523,        -36.5458,        -11.7267,        -59.9903,         -2.9788
          19,        0.150000,        -59.9889,        -58.0197,        -56.3811,        -50.6182,        -40.7606,        -16.7323,        -59.9946,         -7.5237
          20,        0.158333,        -59.9578,        -58.4240,        -57.1242,        -52.3849,        -44.1202,        -21.9510,        -59.9940,        -13.3693
          21,        0.166667,        -59.9683,        -58.7466,        -57.7023,        -53.7958,        -46.4887,        -27.1008,        -59.9954,        -19.5407
          22,        0.175000,        -59.9742,        -59.0036,        -58.1675,        -54.9807,        -48.4630,        -31.8853,        -59.9951,        -25.3827
          23,        0.183333,        -59.9729,        -59.2047,        -58.5354,        -55.9245,        -50.3984,        -36.2009,        -59.9985,        -30.7079
          24,        0.191667,        -59.9784,        -59.3657,        -58.8318,        -56.6939,        -52.0023,        -39.9891,        -60.0008,        -35.3623
          25,        0.200000,        -59.9821,        -59.4957,        -59.0650,        -57.3159,        -53.3694,        -43.2693,        -60.0008,        -39.4091
          26,        0.208333,        -59.9860,        -59.5993,        -59.2520,        -57.8112,        -54.5052,        -46.0618,        -59.9993,        -42.8379
          27,        0.216667,        -59.9894,        -59.6757,        -59.4024,        -58.2252,        -55.4511,        -48.4433,        -59.9982,        -45.7385
          28,        0.225000,        -59.9908,        -59.7425,        -59.5217,        -58.5571,        -56.2541,        -50.4467,        -59.9994,        -48.1611
          29,        0.233333,        -59.9924,        -59.7930,        -59.6181,        -58.8326,        -56.9098,        -52.0843,        -59.9999,        -50.1808
          30,        0.241667,        -59.9927,        -59.8360,        -59.6938,        -59.0440,        -57.4605,        -53.4513,        -60.0000,        -51.8530
          31,        0.250000,        -59.9960,        -59.8693,        -59.7554,        -59.2232,        -57.9097,        -54.5829,        -59.9987,        -53.2416
          32,        0.258333,        -59.9955,        -59.8939,        -59.8041,        -59.3719,        -58.2820,        -55.5163,        -60.0002,        -54.3977
          33,        0.266667,        -59.9976,        -59.9167,        -59.8428,        -59.4861,        -58.5906,        -56.2907,        -59.9982,        -55.3521
          34,        0.275000,        -59.9990,        -59.9333,        -59.8753,        -59.5824,        -58.8390,        -56.9315,        -60.0004,        -56.1481
          35,        0.283333,        -59.9979,        -59.9463,        -59.9001,        -59.6592,        -59.0452,        -57.4576,        -60.0012,        -56.8077
          36,        0.291667,        -59.9984,        -59.9573,        -59.9196,        -59.7229,        -59.2213,        -57.8953,        -59.9998,        -57.3521
          37,        0.300000,        -59.9990,        -59.9664,        -59.9358,        -59.7758,        -59.3607,        -58.2626,        -60.0002,        -57.8093
          38,        0.308333,        -59.9965,        -59.9723,        -59.9488,        -59.8177,        -59.4735,        -58.5578,        -59.9998,        -58.1836
          39,        0.316667,        -59.9998,        -59.9776,        -59.9592,        -59.8522,        -59.5668,        -58.8091,        -60.0003,        -58.4956
          40,        0.325000,        -59.9995,        -59.9826,        -59.9678,        -59.8799,        -59.6462,        -59.0160,        -60.0005,        -58.7545
          41,        0.333333,        -59.9978,        -59.9855,        -59.9739,        -59.9016,        -59.7089,        -59.1900,        -60.0002,        -58.9725
          42,        0.341667,        -59.9989,        -59.9897,        -59.9790,        -59.9232,        -59.7646,        -59.3293,        -59.9996,        -59.1491
          43,        0.350000,        -59.9997,        -59.9912,        -59.9828,        -59.9356,        -59.8073,        -59.4459,        -59.9988,        -59.2969
          44,        0.358333,        -60.0012,        -59.9934,        -59.9870,        -59.9493,        -59.8421,        -59.5447,        -59.9995,        -59.4186
          45,        0.366667,        -60.0000,        -59.9947,        -59.9889,        -59.9568,        -59.8708,        -59.6232,        -59.9996,        -59.5199
          46,        0.375000,        -59.9991,        -59.9957,        -59.9915,        -59.9654,        -59.8941,        -59.6891,        -60.0015,        -59.6035
          47,        0.383333,        -60.0004,        -59.9974,        -59.9930,        -59.9717,        -59.9130,        -59.7433,        -59.9996,        -59.6719
          48,        0.391667,        -60.0004,        -59.9979,        -59.9951,        -59.9761,        -59.9295,        -59.7879,        -59.9994,        -59.7295
          49,        0.400000,        -60.0011,        -59.9972,        -59.9961,        -59.9817,        -59.9418,        -59.8256,        -59.9996,        -59.7777
          50,        0.408333,        -59.9997,        -59.9967,        -59.9971,        -59.9850,        -59.9527,        -59.8552,        -59.9992,        -59.8169
          51,        0.416667,        -60.0000,        -59.9999,        -59.9976,        -59.9872,        -59.9615,        -59.8822,        -60.0008,        -59.8484
          52,        0.425000,        -60.0017,        -59.9997,        -59.9981,        -59.9892,        -59.9686,        -59.9029,        -59.9992,        -59.8761
          53,        0.433333,        -59.9995,        -59.9983,        -59.9977,        -59.9917,        -59.9740,        -59.9204,        -59.9999,        -59.8984
          54,        0.441667,        -59.9992,        -59.9988,        -59.9984,        -59.9927,        -59.9786,        -59.9344,        -59.9997,        -59.9160
          55,        0.450000,        -59.9980,        -59.9996,        -59.9991,        -59.9937,        -59.9828,        -59.9473,        -60.0007,        -59.9306
          56,        0.458333,        -59.9982,        -59.9991,        -59.9993,        -59.9952,        -59.9861,        -59.9561,        -60.0007,        -59.9431
          57,        0.466667,        -60.0004,        -59.9990,        -59.9998,        -59.9963,        -59.9890,        -59.9636,        -60.0003,        -59.9541
          58,        0.475000,        -59.9988,        -59.9997,        -59.9996,        -59.9963,        -59.9908,        -59.9697,        -59.9999,        -59.9619
          59,        0.483333,        -60.0008,        -60.0000,        -59.9992,        -59.9963,        -59.9926,        -59.9758,        -59.9989,        -59.9681
          60,        0.491667,        -60.0017,        -59.9992,        -59.9993,        -59.9976,        -59.9939,        -59.9786,        -59.9998,        -59.9742
          61,        0.500000,        -59.9995,        -60.0008,        -59.9992,        -59.9964,        -59.9946,        -59.9833,        -59.9998,        -59.9790
          62,        0.508333,        -60.0020,        -60.0009,        -59.9995,        -59.9974,        -59.9957,        -59.9866,        -59.9997,        -59.9828
          63,        0.516667,        -60.0018,        -60.0001,        -60.0000,        -59.9973,        -59.9969,        -59.9891,        -60.0000,        -59.9856
          64,        0.525000,        -59.9985,        -59.9991,        -59.9997,        -59.9980,        -59.9969,        -59.9910,        -60.0002,        -59.9882
          65,        0.533333,        -60.0010,        -60.0005,        -59.9994,        -59.9971,        -59.9981,        -59.9914,        -60.0009,        -59.9904
          66,        0.541667,        -59.9983,        -60.0000,        -60.0001,        -59.9980,        -59.9982,        -59.9938,        -60.0001,        -59.9924
          67,        0.550000,        -60.0022,        -60.0003,        -59.9998,        -59.9989,        -59.9982,        -59.9952,        -60.0005,        -59.9937
          68,        0.558333,        -59.9982,        -59.9997,        -60.0002,        -59.9988,        -59.9990,        -59.9958,        -59.9998,        -59.9943
          69,        0.566667,        -59.9984,        -60.0000,        -60.0001,        -59.9989,        -59.9995,        -59.9962,        -59.9993,        -59.9958
          70,        0.575000,        -59.9990,        -60.0004,        -60.0000,        -59.9992,        -59.9990,        -59.9964,        -60.0001,        -59.9967
          71,        0.583333,        -59.9976,        -59.9998,        -60.0001,        -59.9996,        -59.9993,        -59.9975,        -60.0006,        -59.9973
          72,        0.591667,        -59.9999,        -60.0008,        -60.0003,        -59.9999,        -59.9994,        -59.9990,        -59.9992,        -59.9976
          73,        0.600000,        -60.0010,        -60.0000,        -60.0008,        -59.9992,        -59.9998,        -59.9986,        -60.0004,        -59.9979
          74,        0.608333,        -60.0007,        -59.9990,        -59.9999,        -59.9982,        -60.0000,        -59.9989,        -59.9991,        -59.9985
          75,        0.616667,        -59.9978,        -60.0007,        -60.0002,        -59.9995,        -59.9998,        -60.0000,        -60.0007,        -59.9983
          76,        0.625000,        -60.0020,        -60.0009,        -60.0002,        -60.0003,        -59.9990,        -59.9991,        -60.0003,        -59.9987
          77,        0.633333,        -59.9999,        -59.9997,        -60.0003,        -59.9995,        -59.9996,        -59.9995,        -59.9997,        -59.9992
          78,        0.641667,        -60.0000,        -59.9994,        -60.0000,        -59.9991,        -59.9998,        -59.9998,        -60.0001,        -59.9993
