"InphaseC4_004 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_inphase\runs\InphaseC4_004.tcf]","Time (h)","V 2 [InphaseC4_004]","V 3 [InphaseC4_004]","V 4 [InphaseC4_004]","V 5 [InphaseC4_004]","V 6 [InphaseC4_004]","V 7 [InphaseC4_004]","V 8 [InphaseC4_004]","V 9 [InphaseC4_004]","V 10 [InphaseC4_004]","V 11 [InphaseC4_004]","V 12 [InphaseC4_004]","V 13 [InphaseC4_004]","V 14 [InphaseC4_004]","V 15 [InphaseC4_004]","V 16 [InphaseC4_004]","V  1 [InphaseC4_004]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          3.4962,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          2.9056
           3,        0.016667,          2.9538,          0.0000,          1.4900,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0000,          2.8748
           4,        0.025000,          2.6490,          0.0974,          1.0472,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          0.0000,          0.0001,          2.8715
           5,        0.033333,          1.8401,          0.1013,          0.9772,          1.7268,          0.0005,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0002,          0.0001,          0.0000,          0.0001,          2.8715
           6,        0.041667,          1.6871,          0.2747,          1.0533,          1.8972,          2.3232,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          0.0001,          0.0000,          0.0000,          0.0001,          2.7510
           7,        0.050000,          1.6151,          0.3919,          1.1408,          2.0496,          2.6007,          0.0000,          0.4591,          0.0000,          0.0000,          0.0001,          0.0002,          0.0001,          0.0001,          0.0001,          0.0000,          2.1522
           8,        0.058333,          1.5479,          0.4360,          1.1733,          2.1343,          2.4620,          0.0000,          0.5384,          0.0000,          0.0002,          0.0001,          0.0003,          0.0001,          0.0000,          0.0000,          0.0000,          2.0296
           9,        0.066667,          1.5061,          0.4689,          1.1880,          2.1741,          1.9488,          0.1115,          0.6806,          0.2423,          0.0003,          0.0000,          0.0001,          0.0001,          0.0001,          0.0001,          0.0001,          1.9495
          10,        0.075000,          1.4866,          0.4992,          1.2006,          2.1983,          1.7705,          0.2006,          0.7744,          1.3773,          0.3268,          0.0096,          0.0000,          0.0001,          0.0000,          0.0000,          0.0000,          1.8967
          11,        0.083333,          1.4749,          0.5171,          1.2094,          2.2153,          1.6613,          0.2702,          0.8438,          1.7246,          0.5294,          0.4813,          0.2127,          0.0001,          0.0001,          0.0001,          0.0001,          1.8671
          12,        0.091667,          1.4662,          0.5274,          1.2138,          2.2260,          1.5959,          0.3399,          0.9021,          1.9089,          0.3674,          0.5702,          0.7547,          0.4354,          0.1461,          0.0000,          0.0001,          1.8488
          13,        0.100000,          1.4605,          0.5336,          1.2163,          2.2321,          1.5520,          0.3967,          0.9435,          2.0187,          0.3411,          0.5999,          0.9676,          0.6770,          0.3844,          0.2674,          0.1303,          1.8371
          14,        0.108333,          1.4574,          0.5376,          1.2179,          2.2361,          1.5218,          0.4353,          0.9729,          2.0865,          0.3986,          0.6098,          1.1146,          0.9164,          0.6639,          0.4333,          0.4273,          1.8298
          15,        0.116667,          1.4554,          0.5400,          1.2192,          2.2386,          1.5001,          0.4601,          0.9919,          2.1282,          0.4620,          0.6574,          1.2180,          1.1328,          0.9609,          0.7392,          0.6427,          1.8252
          16,        0.125000,          1.4541,          0.5414,          1.2200,          2.2402,          1.4864,          0.4769,          1.0053,          2.1532,          0.5111,          0.6893,          1.2766,          1.5331,          1.2135,          0.8872,          0.7752,          1.8220
          17,        0.133333,          1.4531,          0.5424,          1.2205,          2.2412,          1.4772,          0.4879,          1.0142,          2.1754,          0.5520,          0.7195,          1.3181,          1.7200,          1.3426,          0.9842,          0.8427,          1.8205
          18,        0.141667,          1.4528,          0.5429,          1.2208,          2.2419,          1.4705,          0.4955,          1.0205,          2.1891,          0.5853,          0.7461,          1.3492,          1.8471,          1.4482,          1.0477,          0.8787,          1.8193
          19,        0.150000,          1.4525,          0.5434,          1.2211,          2.2423,          1.4663,          0.4991,          1.0244,          2.1893,          0.6091,          0.7651,          1.3698,          1.9366,          1.5132,          1.0957,          0.9400,          1.8186
          20,        0.158333,          1.4523,          0.5436,          1.2212,          2.2426,          1.4633,          0.5017,          1.0271,          2.1882,          0.6269,          0.7775,          1.3838,          1.9816,          1.5501,          1.1385,          0.9862,          1.8181
