"InphaseC4_004 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_inphase\runs\InphaseC4_004.tcf]","Time (h)","Q 2 [InphaseC4_004]","Q 3 [InphaseC4_004]","Q 4 [InphaseC4_004]","Q 5 [InphaseC4_004]","Q 6 [InphaseC4_004]","Q 7 [InphaseC4_004]","Q 1 [InphaseC4_004]","Q  8 [InphaseC4_004]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -28.1356,         -0.0001
           3,        0.016667,        -24.4316,          0.0000,          0.0000,          0.0000,          0.0000,          0.0009,        -30.0087,          0.0007
           4,        0.025000,        -21.7143,         -1.1572,          0.0000,          0.0000,          0.0000,         -0.0004,        -29.9623,         -0.0001
           5,        0.033333,        -19.9560,        -10.5039,          0.0000,          0.0000,          0.0000,         -0.0000,        -29.9572,          0.0012
           6,        0.041667,        -23.0916,        -15.1709,         -9.5104,          0.0000,         -0.0008,          0.0008,        -28.3655,         -0.0014
           7,        0.050000,        -26.0240,        -20.1714,        -13.1171,          0.0000,          0.0003,          0.0003,        -28.9103,          0.0001
           8,        0.058333,        -27.3006,        -23.8615,        -15.1502,         -2.7085,         -0.0001,         -0.0002,        -29.1940,         -0.0005
           9,        0.066667,        -28.0618,        -25.9750,        -18.4064,         -7.7466,          0.0010,          0.0002,        -29.3210,          0.0007
          10,        0.075000,        -28.7333,        -27.3251,        -21.2617,        -13.3507,         -0.0156,          0.0008,        -29.5216,          0.0002
          11,        0.083333,        -29.2055,        -28.2733,        -23.5211,        -17.9598,         -9.0506,         -0.0001,        -29.6916,          0.0011
          12,        0.091667,        -29.4737,        -28.8929,        -25.4677,        -21.5424,        -12.9193,         -4.0713,        -29.7865,         -0.0011
          13,        0.100000,        -29.6389,        -29.2755,        -26.9081,        -24.2214,        -15.9781,         -9.1854,        -29.8401,         -7.0494
          14,        0.108333,        -29.7530,        -29.5176,        -27.8865,        -26.0987,        -19.5768,        -13.7641,        -29.8811,        -12.2980
          15,        0.116667,        -29.8288,        -29.6771,        -28.5609,        -27.3661,        -22.5690,        -18.4363,        -29.9082,        -19.7192
          16,        0.125000,        -29.8747,        -29.7787,        -29.0252,        -28.2225,        -24.5866,        -22.9390,        -29.9257,        -23.6992
          17,        0.133333,        -29.9035,        -29.8424,        -29.3417,        -28.8066,        -26.0930,        -24.2484,        -29.9365,        -24.7035
          18,        0.141667,        -29.9221,        -29.8831,        -29.5472,        -29.1952,        -27.2753,        -25.6129,        -29.9434,        -25.4447
          19,        0.150000,        -29.9342,        -29.9096,        -29.6852,        -29.4506,        -28.1100,        -26.8064,        -29.9478,        -26.3484
          20,        0.158333,        -29.9420,        -29.9266,        -29.7778,        -29.6229,        -28.6780,        -27.6526,        -29.9510,        -27.3115
          21,        0.166667,        -29.9469,        -29.9375,        -29.8383,        -29.7356,        -29.0699,        -28.3961,        -29.9527,        -28.1846
