"InphaseC4_004","Location","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Velocity","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow"
"F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_inphase\runs\InphaseC4_004.tcf","Time","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"," 1","2","3","4","5","6","7","1"," 8"
"F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_inphase\results\004\InphaseC4_004_PO.csv",        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,        0.008333,          3.4962,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          2.9056,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,        -28.1356,         -0.0001
,        0.016667,          2.9538,          0.0000,          1.4900,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0000,          2.8748,        -24.4316,          0.0000,          0.0000,          0.0000,          0.0000,          0.0009,        -30.0087,          0.0007
,        0.025000,          2.6490,          0.0974,          1.0472,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          0.0000,          0.0001,          2.8715,        -21.7143,         -1.1572,          0.0000,          0.0000,          0.0000,         -0.0004,        -29.9623,         -0.0001
,        0.033333,          1.8401,          0.1013,          0.9772,          1.7268,          0.0005,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0002,          0.0001,          0.0000,          0.0001,          2.8715,        -19.9560,        -10.5039,          0.0000,          0.0000,          0.0000,         -0.0000,        -29.9572,          0.0012
,        0.041667,          1.6871,          0.2747,          1.0533,          1.8972,          2.3232,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          0.0001,          0.0000,          0.0000,          0.0001,          2.7510,        -23.0916,        -15.1709,         -9.5104,          0.0000,         -0.0008,          0.0008,        -28.3655,         -0.0014
,        0.050000,          1.6151,          0.3919,          1.1408,          2.0496,          2.6007,          0.0000,          0.4591,          0.0000,          0.0000,          0.0001,          0.0002,          0.0001,          0.0001,          0.0001,          0.0000,          2.1522,        -26.0240,        -20.1714,        -13.1171,          0.0000,          0.0003,          0.0003,        -28.9103,          0.0001
,        0.058333,          1.5479,          0.4360,          1.1733,          2.1343,          2.4620,          0.0000,          0.5384,          0.0000,          0.0002,          0.0001,          0.0003,          0.0001,          0.0000,          0.0000,          0.0000,          2.0296,        -27.3006,        -23.8615,        -15.1502,         -2.7085,         -0.0001,         -0.0002,        -29.1940,         -0.0005
,        0.066667,          1.5061,          0.4689,          1.1880,          2.1741,          1.9488,          0.1115,          0.6806,          0.2423,          0.0003,          0.0000,          0.0001,          0.0001,          0.0001,          0.0001,          0.0001,          1.9495,        -28.0618,        -25.9750,        -18.4064,         -7.7466,          0.0010,          0.0002,        -29.3210,          0.0007
,        0.075000,          1.4866,          0.4992,          1.2006,          2.1983,          1.7705,          0.2006,          0.7744,          1.3773,          0.3268,          0.0096,          0.0000,          0.0001,          0.0000,          0.0000,          0.0000,          1.8967,        -28.7333,        -27.3251,        -21.2617,        -13.3507,         -0.0156,          0.0008,        -29.5216,          0.0002
,        0.083333,          1.4749,          0.5171,          1.2094,          2.2153,          1.6613,          0.2702,          0.8438,          1.7246,          0.5294,          0.4813,          0.2127,          0.0001,          0.0001,          0.0001,          0.0001,          1.8671,        -29.2055,        -28.2733,        -23.5211,        -17.9598,         -9.0506,         -0.0001,        -29.6916,          0.0011
,        0.091667,          1.4662,          0.5274,          1.2138,          2.2260,          1.5959,          0.3399,          0.9021,          1.9089,          0.3674,          0.5702,          0.7547,          0.4354,          0.1461,          0.0000,          0.0001,          1.8488,        -29.4737,        -28.8929,        -25.4677,        -21.5424,        -12.9193,         -4.0713,        -29.7865,         -0.0011
,        0.100000,          1.4605,          0.5336,          1.2163,          2.2321,          1.5520,          0.3967,          0.9435,          2.0187,          0.3411,          0.5999,          0.9676,          0.6770,          0.3844,          0.2674,          0.1303,          1.8371,        -29.6389,        -29.2755,        -26.9081,        -24.2214,        -15.9781,         -9.1854,        -29.8401,         -7.0494
,        0.108333,          1.4574,          0.5376,          1.2179,          2.2361,          1.5218,          0.4353,          0.9729,          2.0865,          0.3986,          0.6098,          1.1146,          0.9164,          0.6639,          0.4333,          0.4273,          1.8298,        -29.7530,        -29.5176,        -27.8865,        -26.0987,        -19.5768,        -13.7641,        -29.8811,        -12.2980
