"sfe_25 [F:\tuflow-wf_python3\output_folder\sfe_25_tuflow\runs\010\sfe_25.tcf]","Time (h)","V 1 [sfe_25]","V 2 [sfe_25]","V 3 [sfe_25]","V 4 [sfe_25]","V 5 [sfe_25]","V 6 [sfe_25]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.016667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           3,        0.033333,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           4,        0.050000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           5,        0.066667,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           6,        0.083333,          0.8804,          0.6146,          0.0000,          0.0000,          0.0000,          0.0000
           7,        0.100000,          1.1129,          1.9536,          0.8600,          0.0000,          0.0000,          0.0000
           8,        0.116667,          1.1861,          1.8807,          0.3117,          1.3579,          0.4384,          0.0000
           9,        0.133333,          1.2124,          1.7794,          0.2574,          2.1336,          1.4165,          0.8030
          10,        0.150000,          1.2528,          1.7027,          0.0521,          2.2565,          1.6746,          1.8211
          11,        0.166667,          1.2787,          1.6878,          0.1376,          2.2921,          1.7744,          2.0677
          12,        0.183333,          1.2926,          1.6880,          0.1036,          2.2932,          1.8107,          2.1324
          13,        0.200000,          1.3017,          1.6930,          0.1282,          2.2952,          1.8016,          2.1588
          14,        0.216667,          1.3086,          1.6971,          0.1393,          2.2988,          1.7965,          2.1758
          15,        0.233333,          1.3134,          1.7012,          0.1307,          2.3022,          1.8024,          2.1902
          16,        0.250000,          1.3164,          1.7034,          0.1247,          2.3049,          1.8075,          2.1965
          17,        0.266667,          1.3183,          1.7047,          0.1232,          2.3077,          1.8097,          2.1998
          18,        0.283333,          1.3193,          1.7056,          0.1233,          2.3064,          1.8109,          2.2020
          19,        0.300000,          1.3199,          1.7060,          0.1237,          2.3073,          1.8126,          2.2031
          20,        0.316667,          1.3202,          1.7062,          0.1238,          2.3084,          1.8129,          2.2038
          21,        0.333333,          1.3204,          1.7064,          0.1238,          2.3077,          1.8130,          2.2042
          22,        0.350000,          1.3204,          1.7065,          0.1240,          2.3100,          1.8132,          2.2045
          23,        0.366667,          1.3206,          1.7065,          0.1240,          2.3076,          1.8132,          2.2046
          24,        0.383333,          1.3206,          1.7066,          0.1241,          2.3080,          1.8132,          2.2047
          25,        0.400000,          1.3206,          1.7066,          0.1241,          2.3102,          1.8133,          2.2048
          26,        0.416667,          1.3206,          1.7066,          0.1241,          2.3094,          1.8133,          2.2048
          27,        0.433333,          1.3205,          1.7066,          0.1241,          2.3083,          1.8133,          2.2048
          28,        0.450000,          1.3206,          1.7066,          0.1241,          2.3094,          1.8133,          2.2048
          29,        0.466667,          1.3206,          1.7066,          0.1241,          2.3089,          1.8133,          2.2048
          30,        0.483333,          1.3207,          1.7066,          0.1241,          2.3087,          1.8133,          2.2048
          31,        0.500000,          1.3206,          1.7066,          0.1241,          2.3082,          1.8133,          2.2048
          32,        0.516667,          1.3206,          1.7066,          0.1241,          2.3078,          1.8133,          2.2048
          33,        0.533333,          1.3207,          1.7066,          0.1241,          2.3090,          1.8133,          2.2048
          34,        0.550000,          1.3207,          1.7066,          0.1241,          2.3074,          1.8133,          2.2048
          35,        0.566667,          1.3206,          1.7066,          0.1242,          2.3103,          1.8133,          2.2048
          36,        0.583333,          1.3206,          1.7066,          0.1241,          2.3079,          1.8133,          2.2048
          37,        0.600000,          1.3206,          1.7066,          0.1240,          2.3084,          1.8134,          2.2048
          38,        0.616667,          1.3206,          1.7066,          0.1240,          2.3074,          1.8134,          2.2048
          39,        0.633333,          1.3206,          1.7066,          0.1241,          2.3076,          1.8134,          2.2048
          40,        0.650000,          1.3206,          1.7066,          0.1241,          2.3073,          1.8133,          2.2048
          41,        0.666667,          1.3206,          1.7066,          0.1241,          2.3079,          1.8133,          2.2047
          42,        0.683333,          1.3207,          1.7066,          0.1240,          2.3083,          1.8134,          2.2048
          43,        0.700000,          1.3206,          1.7066,          0.1241,          2.3074,          1.8134,          2.2048
          44,        0.716667,          1.3207,          1.7066,          0.1240,          2.3078,          1.8134,          2.2048
          45,        0.733333,          1.3206,          1.7066,          0.1241,          2.3090,          1.8133,          2.2048
          46,        0.750000,          1.3206,          1.7066,          0.1241,          2.3080,          1.8133,          2.2048
          47,        0.766667,          1.3206,          1.7066,          0.1241,          2.3098,          1.8133,          2.2048
          48,        0.783333,          1.3206,          1.7066,          0.1241,          2.3085,          1.8133,          2.2048
          49,        0.800000,          1.3206,          1.7066,          0.1240,          2.3077,          1.8133,          2.2048
          50,        0.816667,          1.3206,          1.7066,          0.1241,          2.3083,          1.8133,          2.2048
          51,        0.833333,          1.3207,          1.7066,          0.1241,          2.3085,          1.8133,          2.2048
          52,        0.850000,          1.3207,          1.7066,          0.1241,          2.3085,          1.8133,          2.2048
          53,        0.866667,          1.3206,          1.7065,          0.1241,          2.3084,          1.8133,          2.2048
          54,        0.883333,          1.3206,          1.7066,          0.1241,          2.3076,          1.8133,          2.2048
          55,        0.900000,          1.3206,          1.7066,          0.1242,          2.3081,          1.8133,          2.2048
          56,        0.916667,          1.3207,          1.7066,          0.1240,          2.3098,          1.8133,          2.2048
          57,        0.933333,          1.3206,          1.7066,          0.1241,          2.3081,          1.8133,          2.2048
          58,        0.950000,          1.3207,          1.7066,          0.1241,          2.3081,          1.8133,          2.2048
          59,        0.966667,          1.3206,          1.7066,          0.1241,          2.3079,          1.8134,          2.2048
          60,        0.983333,          1.3206,          1.7066,          0.1240,          2.3100,          1.8134,          2.2048
          61,        1.000000,          1.3206,          1.7066,          0.1241,          2.3069,          1.8133,          2.2048
          62,        1.016667,          1.3206,          1.7066,          0.1240,          2.3091,          1.8134,          2.2048
          63,        1.033333,          1.3207,          1.7066,          0.1241,          2.3077,          1.8134,          2.2048
          64,        1.050000,          1.3206,          1.7066,          0.1241,          2.3076,          1.8134,          2.2048
          65,        1.066667,          1.3206,          1.7066,          0.1241,          2.3075,          1.8134,          2.2048
          66,        1.083333,          1.3207,          1.7066,          0.1241,          2.3093,          1.8133,          2.2048
