"sfe_25 [F:\tuflow-wf_python3\output_folder\sfe_25_tuflow\runs\010\sfe_25.tcf]","Time (h)","Q 1 [sfe_25]","Q 2 [sfe_25]","Q 3 [sfe_25]","Q 4 [sfe_25]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.016667,          0.0000,          0.0000,          0.0000,          0.0000
           3,        0.033333,          0.0000,          0.0000,          0.0000,          0.0000
           4,        0.050000,          0.0000,          0.0000,          0.0000,          0.0000
           5,        0.066667,          0.0000,          0.0000,          0.0000,          0.0000
           6,        0.083333,          2.6007,          0.0000,          0.0000,          0.0000
           7,        0.100000,          4.4625,          2.5651,          0.0000,          0.0000
           8,        0.116667,          5.6686,          5.0428,          0.4211,          0.0000
           9,        0.133333,          6.4172,          7.4879,          5.3242,          3.5341
          10,        0.150000,          6.8784,          8.9534,          8.0001,          7.1213
          11,        0.166667,          7.1508,          9.7377,          9.2835,          8.8181
          12,        0.183333,          7.3069,         10.1639,          9.9412,          9.7299
          13,        0.200000,          7.4372,         10.3879,         10.3021,         10.1579
          14,        0.216667,          7.5194,         10.5314,         10.4535,         10.3908
          15,        0.233333,          7.5715,         10.6287,         10.5796,         10.5369
          16,        0.250000,          7.6040,         10.6905,         10.6610,         10.6298
          17,        0.266667,          7.6226,         10.7275,         10.7082,         10.6920
          18,        0.283333,          7.6336,         10.7485,         10.7376,         10.7271
          19,        0.300000,          7.6392,         10.7604,         10.7543,         10.7483
          20,        0.316667,          7.6421,         10.7668,         10.7646,         10.7602
          21,        0.333333,          7.6440,         10.7709,         10.7683,         10.7669
          22,        0.350000,          7.6450,         10.7725,         10.7719,         10.7705
          23,        0.366667,          7.6459,         10.7737,         10.7728,         10.7724
          24,        0.383333,          7.6459,         10.7742,         10.7743,         10.7737
          25,        0.400000,          7.6462,         10.7748,         10.7747,         10.7742
          26,        0.416667,          7.6465,         10.7754,         10.7756,         10.7748
          27,        0.433333,          7.6466,         10.7753,         10.7755,         10.7750
          28,        0.450000,          7.6465,         10.7750,         10.7757,         10.7757
          29,        0.466667,          7.6467,         10.7757,         10.7754,         10.7754
          30,        0.483333,          7.6465,         10.7756,         10.7748,         10.7756
          31,        0.500000,          7.6467,         10.7751,         10.7754,         10.7756
          32,        0.516667,          7.6467,         10.7756,         10.7749,         10.7755
          33,        0.533333,          7.6467,         10.7757,         10.7755,         10.7756
          34,        0.550000,          7.6464,         10.7753,         10.7751,         10.7755
          35,        0.566667,          7.6464,         10.7750,         10.7767,         10.7757
          36,        0.583333,          7.6467,         10.7754,         10.7759,         10.7758
          37,        0.600000,          7.6466,         10.7751,         10.7754,         10.7755
          38,        0.616667,          7.6466,         10.7754,         10.7748,         10.7758
          39,        0.633333,          7.6467,         10.7754,         10.7761,         10.7755
          40,        0.650000,          7.6465,         10.7752,         10.7754,         10.7757
          41,        0.666667,          7.6468,         10.7756,         10.7762,         10.7755
          42,        0.683333,          7.6466,         10.7758,         10.7757,         10.7756
          43,        0.700000,          7.6466,         10.7754,         10.7758,         10.7754
          44,        0.716667,          7.6465,         10.7754,         10.7760,         10.7754
          45,        0.733333,          7.6467,         10.7756,         10.7758,         10.7756
          46,        0.750000,          7.6468,         10.7757,         10.7755,         10.7753
          47,        0.766667,          7.6469,         10.7752,         10.7756,         10.7755
          48,        0.783333,          7.6467,         10.7752,         10.7754,         10.7753
          49,        0.800000,          7.6467,         10.7756,         10.7749,         10.7755
          50,        0.816667,          7.6465,         10.7755,         10.7753,         10.7754
          51,        0.833333,          7.6467,         10.7752,         10.7753,         10.7752
          52,        0.850000,          7.6465,         10.7750,         10.7752,         10.7755
          53,        0.866667,          7.6466,         10.7753,         10.7753,         10.7755
          54,        0.883333,          7.6468,         10.7758,         10.7753,         10.7756
          55,        0.900000,          7.6466,         10.7755,         10.7749,         10.7757
          56,        0.916667,          7.6467,         10.7754,         10.7758,         10.7755
          57,        0.933333,          7.6467,         10.7756,         10.7760,         10.7758
          58,        0.950000,          7.6467,         10.7755,         10.7750,         10.7755
          59,        0.966667,          7.6465,         10.7755,         10.7753,         10.7758
          60,        0.983333,          7.6465,         10.7759,         10.7761,         10.7755
          61,        1.000000,          7.6464,         10.7752,         10.7749,         10.7754
          62,        1.016667,          7.6469,         10.7755,         10.7756,         10.7756
          63,        1.033333,          7.6467,         10.7749,         10.7762,         10.7754
          64,        1.050000,          7.6469,         10.7758,         10.7759,         10.7757
          65,        1.066667,          7.6466,         10.7757,         10.7755,         10.7754
          66,        1.083333,          7.6465,         10.7757,         10.7755,         10.7756
          67,        1.100000,          7.6467,         10.7761,         10.7756,         10.7754
          68,        1.116667,          7.6463,         10.7758,         10.7754,         10.7754
          69,        1.133333,          7.6463,         10.7752,         10.7756,         10.7753
          70,        1.150000,          7.6464,         10.7747,         10.7754,         10.7757
          71,        1.166667,          7.6469,         10.7751,         10.7753,         10.7755
          72,        1.183333,          7.6467,         10.7758,         10.7754,         10.7755
          73,        1.200000,          7.6468,         10.7758,         10.7749,         10.7755
          74,        1.216667,          7.6464,         10.7756,         10.7751,         10.7758
          75,        1.233333,          7.6468,         10.7749,         10.7750,         10.7757
          76,        1.250000,          7.6470,         10.7751,         10.7755,         10.7758
          77,        1.266667,          7.6466,         10.7761,         10.7757,         10.7757
          78,        1.283333,          7.6465,         10.7755,         10.7759,         10.7755
          79,        1.300000,          7.6465,         10.7756,         10.7762,         10.7756
          80,        1.316667,          7.6465,         10.7752,         10.7761,         10.7756
          81,        1.333333,          7.6467,         10.7753,         10.7759,         10.7756
          82,        1.350000,          7.6464,         10.7755,         10.7756,         10.7752
          83,        1.366667,          7.6468,         10.7754,         10.7754,         10.7752
          84,        1.383333,          7.6467,         10.7755,         10.7759,         10.7752
          85,        1.400000,          7.6469,         10.7758,         10.7754,         10.7755
          86,        1.416667,          7.6468,         10.7755,         10.7752,         10.7756
          87,        1.433333,          7.6469,         10.7753,         10.7753,         10.7756
          88,        1.450000,          7.6466,         10.7755,         10.7768,         10.7756
          89,        1.466667,          7.6465,         10.7760,         10.7758,         10.7758
          90,        1.483333,          7.6466,         10.7755,         10.7755,         10.7758
          91,        1.500000,          7.6466,         10.7752,         10.7748,         10.7756
          92,        1.516667,          7.6467,         10.7757,         10.7762,         10.7756
          93,        1.533333,          7.6465,         10.7750,         10.7757,         10.7755
          94,        1.550000,          7.6467,         10.7756,         10.7758,         10.7757
          95,        1.566667,          7.6466,         10.7751,         10.7762,         10.7756
          96,        1.583333,          7.6465,         10.7760,         10.7761,         10.7757
          97,        1.600000,          7.6466,         10.7753,         10.7761,         10.7756
          98,        1.616667,          7.6468,         10.7758,         10.7758,         10.7753
          99,        1.633333,          7.6469,         10.7753,         10.7755,         10.7752
         100,        1.650000,          7.6468,         10.7750,         10.7755,         10.7753
         101,        1.666667,          7.6468,         10.7754,         10.7753,         10.7755
         102,        1.683333,          7.6465,         10.7755,         10.7757,         10.7755
         103,        1.700000,          7.6469,         10.7758,         10.7751,         10.7755
         104,        1.716667,          7.6468,         10.7756,         10.7756,         10.7756
         105,        1.733333,          7.6466,         10.7754,         10.7750,         10.7756
         106,        1.750000,          7.6463,         10.7754,         10.7752,         10.7754
         107,        1.766667,          7.6468,         10.7759,         10.7752,         10.7756
         108,        1.783333,          7.6466,         10.7757,         10.7750,         10.7756
         109,        1.800000,          7.6465,         10.7757,         10.7766,         10.7755
         110,        1.816667,          7.6465,         10.7763,         10.7759,         10.7757
         111,        1.833333,          7.6469,         10.7752,         10.7758,         10.7755
         112,        1.850000,          7.6466,         10.7759,         10.7758,         10.7754
         113,        1.866667,          7.6465,         10.7753,         10.7758,         10.7755
         114,        1.883333,          7.6468,         10.7755,         10.7756,         10.7753
         115,        1.900000,          7.6466,         10.7755,         10.7761,         10.7753
         116,        1.916667,          7.6469,         10.7756,         10.7754,         10.7754
         117,        1.933333,          7.6466,         10.7759,         10.7755,         10.7756
         118,        1.950000,          7.6463,         10.7756,         10.7751,         10.7756
         119,        1.966667,          7.6469,         10.7757,         10.7757,         10.7755
         120,        1.983333,          7.6467,         10.7757,         10.7754,         10.7756
         121,        2.000000,          7.6469,         10.7756,         10.7753,         10.7755

