"VanillaC4_020 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_Vanilla\runs\VanillaC4_020.tcf]","Time (h)","V 2 [VanillaC4_020]","V 3 [VanillaC4_020]","V 4 [VanillaC4_020]","V 5 [VanillaC4_020]","V 6 [VanillaC4_020]","V 7 [VanillaC4_020]","V 8 [VanillaC4_020]","V 9 [VanillaC4_020]","V 10 [VanillaC4_020]","V 11 [VanillaC4_020]","V 12 [VanillaC4_020]","V 13 [VanillaC4_020]","V 14 [VanillaC4_020]","V 15 [VanillaC4_020]","V 16 [VanillaC4_020]","V  1 [VanillaC4_020]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          3.4523,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          3.2212
           3,        0.016667,          2.8073,          2.4451,          2.9381,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          0.0000,          0.0001,          2.6595
           4,        0.025000,          2.5803,          2.2936,          2.6798,          2.7144,          2.7598,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0001,          2.4831
           5,        0.033333,          2.4665,          2.2133,          2.5429,          2.5697,          2.6437,          2.0627,          1.6184,          0.0000,          0.0000,          0.0001,          0.0001,          0.0001,          0.0001,          0.0000,          0.0000,          2.3835
           6,        0.041667,          2.3998,          2.1629,          2.4611,          2.4796,          2.5434,          2.1243,          1.9663,          1.5505,          0.0001,          0.0001,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          2.3185
           7,        0.050000,          2.3542,          2.1288,          2.4074,          2.4193,          2.4748,          2.1109,          2.0613,          1.8570,          1.5431,          1.1939,          0.0001,          0.0001,          0.0001,          0.0000,          0.0001,          2.2761
           8,        0.058333,          2.3227,          2.1057,          2.3705,          2.3765,          2.4260,          2.0922,          2.0775,          1.9735,          1.7763,          1.5583,          1.1602,          0.9939,          0.8648,          0.0000,          0.0001,          2.2472
           9,        0.066667,          2.3006,          2.0879,          2.3434,          2.3461,          2.3912,          2.0721,          2.0706,          2.0144,          1.8819,          1.7324,          1.3519,          1.3172,          1.2569,          0.9859,          0.6766,          2.2263
          10,        0.075000,          2.2840,          2.0747,          2.3232,          2.3243,          2.3659,          2.0580,          2.0636,          2.0276,          1.9396,          1.8315,          1.4720,          1.4914,          1.5127,          1.2780,          1.5167,          2.2112
