"InphaseC4_018 [F:\RiverArchitect-tutorial\SampleData_RosgenC4\RosgenC4_InphaseC4\runs\InphaseC4_018.tcf]","Time (h)","V 2 [InphaseC4_018]","V 3 [InphaseC4_018]","V 4 [InphaseC4_018]","V 5 [InphaseC4_018]","V 6 [InphaseC4_018]","V 7 [InphaseC4_018]","V 8 [InphaseC4_018]","V 9 [InphaseC4_018]","V 10 [InphaseC4_018]","V 11 [InphaseC4_018]","V 12 [InphaseC4_018]","V 13 [InphaseC4_018]","V 14 [InphaseC4_018]","V 15 [InphaseC4_018]","V 16 [InphaseC4_018]","V  1 [InphaseC4_018]"
           1,        0.000000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
           2,        0.008333,          4.2684,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          3.6401
           3,        0.016667,          3.2434,          1.3440,          2.2492,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          0.0000,          0.0000,          3.3022
           4,        0.025000,          2.9533,          0.8319,          1.8891,          2.5524,          2.1435,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0001,          0.0000,          0.0000,          0.0000,          0.0000,          3.2881
           5,        0.033333,          2.3943,          0.9099,          1.8572,          2.6216,          2.5660,          0.6517,          1.5254,          0.0000,          0.0000,          0.0001,          0.0001,          0.0000,          0.0001,          0.0001,          0.0000,          3.1962
           6,        0.041667,          2.2571,          1.0361,          1.8501,          2.6612,          2.6002,          0.7440,          1.3025,          1.4459,          0.0001,          0.0000,          0.0001,          0.0001,          0.0000,          0.0000,          0.0000,          2.5547
           7,        0.050000,          2.2244,          1.1339,          1.8817,          2.7045,          2.3863,          0.7692,          1.3304,          2.0951,          0.9406,          0.8451,          0.0001,          0.0000,          0.0001,          0.0001,          0.0000,          2.3873
           8,        0.058333,          2.1994,          1.1816,          1.8945,          2.7300,          2.2396,          0.9154,          1.4365,          2.2041,          0.9733,          1.0957,          1.1338,          0.8168,          0.6100,          0.0000,          0.0001,          2.3117
           9,        0.066667,          2.1824,          1.2112,          1.8985,          2.7383,          2.1803,          1.0497,          1.5278,          2.4051,          1.0856,          1.1359,          1.3488,          1.0098,          0.8177,          0.8050,          0.5467,          2.2724
          10,        0.075000,          2.1716,          1.2284,          1.8987,          2.7467,          2.1426,          1.1319,          1.5808,          2.3731,          1.2421,          1.2531,          1.3831,          1.2808,          1.1901,          1.2442,          1.2179,          2.2481
          11,        0.083333,          2.1657,          1.2386,          1.8988,          2.7154,          2.1178,          1.1826,          1.6101,          2.3220,          1.3260,          1.3193,          1.5598,          1.5636,          1.6182,          1.8102,          1.4261,          2.2333
          12,        0.091667,          2.1625,          1.2450,          1.8991,          2.6784,          2.1032,          1.2129,          1.6286,          2.2613,          1.4020,          1.4115,          1.7361,          1.9564,          1.8418,          1.9620,          1.6049,          2.2246
          13,        0.100000,          2.1607,          1.2485,          1.8993,          2.6481,          2.0949,          1.2325,          1.6406,          2.2158,          1.4790,          1.4902,          1.8796,          2.0671,          1.9394,          2.0144,          1.6724,          2.2195
          14,        0.108333,          2.1596,          1.2502,          1.8992,          2.6273,          2.0902,          1.2438,          1.6480,          2.2175,          1.5478,          1.5469,          1.9231,          2.1365,          1.9956,          2.0457,          1.6946,          2.2164
          15,        0.116667,          2.1587,          1.2512,          1.8990,          2.6143,          2.0871,          1.2505,          1.6521,          2.2431,          1.5793,          1.5654,          1.9415,          2.1684,          2.0155,          2.0588,          1.7162,          2.2146
          16,        0.125000,          2.1581,          1.2513,          1.8987,          2.6061,          2.0849,          1.2545,          1.6548,          2.2643,          1.5849,          1.5704,          1.9492,          2.1731,          2.0220,          2.0713,          1.7318,          2.2133
          17,        0.133333,          2.1578,          1.2514,          1.8986,          2.6008,          2.0835,          1.2521,          1.6567,          2.2708,          1.5861,          1.5725,          1.9510,          2.1738,          2.0261,          2.0793,          1.7409,          2.2125
          18,        0.141667,          2.1575,          1.2515,          1.8986,          2.5973,          2.0825,          1.2528,          1.6582,          2.2723,          1.5876,          1.5743,          1.9520,          2.1771,          2.0290,          2.0837,          1.7454,          2.2120
          19,        0.150000,          2.1573,          1.2517,          1.8985,          2.5947,          2.0822,          1.2539,          1.6591,          2.2726,          1.5894,          1.5756,          1.9532,          2.1801,          2.0317,          2.0867,          1.7480,          2.2116
          20,        0.158333,          2.1572,          1.2517,          1.8985,          2.5933,          2.0821,          1.2545,          1.6597,          2.2724,          1.5908,          1.5768,          1.9543,          2.1821,          2.0336,          2.0889,          1.7499,          2.2114
          21,        0.166667,          2.1572,          1.2518,          1.8985,          2.5925,          2.0819,          1.2549,          1.6600,          2.2720,          1.5917,          1.5778,          1.9550,          2.1832,          2.0349,          2.0909,          1.7516,          2.2112
          22,        0.175000,          2.1571,          1.2518,          1.8985,          2.5920,          2.0818,          1.2550,          1.6602,          2.2714,          1.5926,          1.5784,          1.9555,          2.1840,          2.0360,          2.0925,          1.7531,          2.2111
          23,        0.183333,          2.1571,          1.2518,          1.8985,          2.5916,          2.0817,          1.2631,          1.6603,          2.2711,          1.5931,          1.5788,          1.9558,          2.1846,          2.0368,          2.0936,          1.7541,          2.2110
          24,        0.191667,          2.1570,          1.2518,          1.8985,          2.5915,          2.0817,          1.2640,          1.6604,          2.2709,          1.5935,          1.5791,          1.9560,          2.1851,          2.0373,          2.0944,          1.7548,          2.2110
          25,        0.200000,          2.1570,          1.2519,          1.8984,          2.5912,          2.0817,          1.2639,          1.6603,          2.2707,          1.5937,          1.5793,          1.9563,          2.1856,          2.0377,          2.0950,          1.7553,          2.2110
          26,        0.208333,          2.1570,          1.2519,          1.8985,          2.5912,          2.0817,          1.2642,          1.6604,          2.2705,          1.5939,          1.5794,          1.9563,          2.1858,          2.0379,          2.0953,          1.7555,          2.2110
          27,        0.216667,          2.1570,          1.2519,          1.8985,          2.5910,          2.0817,          1.2643,          1.6605,          2.2704,          1.5940,          1.5795,          1.9564,          2.1860,          2.0382,          2.0956,          1.7558,          2.2110
          28,        0.225000,          2.1571,          1.2519,          1.8984,          2.5911,          2.0816,          1.2643,          1.6604,          2.2703,          1.5941,          1.5796,          1.9565,          2.1861,          2.0383,          2.0957,          1.7559,          2.2110
          29,        0.233333,          2.1570,          1.2519,          1.8985,          2.5911,          2.0816,          1.2643,          1.6604,          2.2703,          1.5941,          1.5797,          1.9565,          2.1862,          2.0383,          2.0958,          1.7560,          2.2109
          30,        0.241667,          2.1570,          1.2519,          1.8984,          2.5910,          2.0816,          1.2643,          1.6604,          2.2702,          1.5942,          1.5797,          1.9565,          2.1863,          2.0383,          2.0960,          1.7561,          2.2110
          31,        0.250000,          2.1570,          1.2519,          1.8984,          2.5910,          2.0816,          1.2643,          1.6605,          2.2702,          1.5942,          1.5797,          1.9565,          2.1863,          2.0384,          2.0960,          1.7562,          2.2109
          32,        0.258333,          2.1570,          1.2519,          1.8985,          2.5909,          2.0816,          1.2643,          1.6605,          2.2702,          1.5942,          1.5797,          1.9565,          2.1863,          2.0384,          2.0961,          1.7561,          2.2109
          33,        0.266667,          2.1571,          1.2519,          1.8985,          2.5910,          2.0816,          1.2643,          1.6605,          2.2702,          1.5942,          1.5798,          1.9565,          2.1863,          2.0385,          2.0961,          1.7562,          2.2109
          34,        0.275000,          2.1570,          1.2519,          1.8984,          2.5909,          2.0816,          1.2643,          1.6605,          2.2702,          1.5942,          1.5797,          1.9566,          2.1863,          2.0385,          2.0961,          1.7562,          2.2109
          35,        0.283333,          2.1570,          1.2519,          1.8986,          2.5910,          2.0816,          1.2643,          1.6604,          2.2702,          1.5942,          1.5797,          1.9565,          2.1864,          2.0384,          2.0961,          1.7562,          2.2109
          36,        0.291667,          2.1570,          1.2519,          1.8985,          2.5910,          2.0816,          1.2643,          1.6605,          2.2701,          1.5943,          1.5797,          1.9566,          2.1864,          2.0385,          2.0961,          1.7562,          2.2109
          37,        0.300000,          2.1570,          1.2519,          1.8985,          2.5911,          2.0816,          1.2643,          1.6604,          2.2702,          1.5943,          1.5798,          1.9566,          2.1864,          2.0385,          2.0961,          1.7562,          2.2108
          38,        0.308333,          2.1570,          1.2518,          1.8985,          2.5909,          2.0816,          1.2643,          1.6604,          2.2702,          1.5942,          1.5798,          1.9565,          2.1864,          2.0385,          2.0961,          1.7562,          2.2109
          39,        0.316667,          2.1571,          1.2519,          1.8984,          2.5910,          2.0817,          1.2643,          1.6605,          2.2702,          1.5942,          1.5797,          1.9565,          2.1863,          2.0385,          2.0961,          1.7562,          2.2109
          40,        0.325000,          2.1570,          1.2519,          1.8984,          2.5909,          2.0816,          1.2643,          1.6605,          2.2702,          1.5942,          1.5797,          1.9566,          2.1864,          2.0385,          2.0961,          1.7562,          2.2109
          41,        0.333333,          2.1570,          1.2519,          1.8984,          2.5910,          2.0816,          1.2644,          1.6605,          2.2701,          1.5943,          1.5797,          1.9566,          2.1864,          2.0385,          2.0961,          1.7562,          2.2109
          42,        0.341667,          2.1570,          1.2519,          1.8985,          2.5909,          2.0816,          1.2643,          1.6604,          2.2702,          1.5943,          1.5797,          1.9566,          2.1864,          2.0385,          2.0961,          1.7563,          2.2109
          43,        0.350000,          2.1570,          1.2519,          1.8985,          2.5910,          2.0816,          1.2643,          1.6604,          2.2701,          1.5942,          1.5798,          1.9565,          2.1864,          2.0385,          2.0961,          1.7562,          2.2110
          44,        0.358333,          2.1570,          1.2519,          1.8985,          2.5909,          2.0816,          1.2643,          1.6605,          2.2702,          1.5942,          1.5798,          1.9565,          2.1864,          2.0385,          2.0961,          1.7562,          2.2109
          45,        0.366667,          2.1570,          1.2519,          1.8984,          2.5910,          2.0816,          1.2643,          1.6605,          2.2701,          1.5943,          1.5797,          1.9565,          2.1864,          2.0385,          2.0961,          1.7562,          2.2109
          46,        0.375000,          2.1570,          1.2519,          1.8984,          2.5910,          2.0817,          1.2643,          1.6605,          2.2702,          1.5942,          1.5797,          1.9565,          2.1863,          2.0385,          2.0961,          1.7562,          2.2109
          47,        0.383333,          2.1570,          1.2519,          1.8984,          2.5910,          2.0816,          1.2643,          1.6604,          2.2701,          1.5943,          1.5797,          1.9566,          2.1863,          2.0385,          2.0961,          1.7562,          2.2109
          48,        0.391667,          2.1570,          1.2519,          1.8985,          2.5910,          2.0816,          1.2643,          1.6605,          2.2702,          1.5943,          1.5797,          1.9565,          2.1863,          2.0385,          2.0961,          1.7562,          2.2108
          49,        0.400000,          2.1571,          1.2519,          1.8985,          2.5909,          2.0816,          1.2643,          1.6605,          2.2702,          1.5942,          1.5797,          1.9565,          2.1864,          2.0385,          2.0961,          1.7562,          2.2109
          50,        0.408333,          2.1570,          1.2519,          1.8984,          2.5910,          2.0817,          1.2643,          1.6605,          2.2701,          1.5943,          1.5797,          1.9566,          2.1864,          2.0385,          2.0961,          1.7562,          2.2108
          51,        0.416667,          2.1571,          1.2519,          1.8985,          2.5910,          2.0816,          1.2643,          1.6605,          2.2701,          1.5943,          1.5798,          1.9566,          2.1863,          2.0385,          2.0961,          1.7562,          2.2109
          52,        0.425000,          2.1570,          1.2519,          1.8985,          2.5910,          2.0816,          1.2643,          1.6605,          2.2702,          1.5943,          1.5797,          1.9565,          2.1864,          2.0385,          2.0961,          1.7562,          2.2109
          53,        0.433333,          2.1570,          1.2519,          1.8985,          2.5909,          2.0816,          1.2643,          1.6604,          2.2702,          1.5942,          1.5797,          1.9566,          2.1864,          2.0385,          2.0961,          1.7562,          2.2109
          54,        0.441667,          2.1570,          1.2519,          1.8985,          2.5911,          2.0816,          1.2643,          1.6605,          2.2701,          1.5942,          1.5797,          1.9565,          2.1864,          2.0386,          2.0961,          1.7562,          2.2109
          55,        0.450000,          2.1570,          1.2519,          1.8985,          2.5909,          2.0816,          1.2644,          1.6604,          2.2701,          1.5942,          1.5797,          1.9565,          2.1863,          2.0385,          2.0961,          1.7562,          2.2109
          56,        0.458333,          2.1570,          1.2519,          1.8985,          2.5910,          2.0817,          1.2643,          1.6605,          2.2702,          1.5942,          1.5797,          1.9566,          2.1864,          2.0385,          2.0961,          1.7562,          2.2110
          57,        0.466667,          2.1570,          1.2519,          1.8985,          2.5911,          2.0816,          1.2643,          1.6605,          2.2701,          1.5943,          1.5797,          1.9566,          2.1864,          2.0385,          2.0961,          1.7562,          2.2109
          58,        0.475000,          2.1570,          1.2519,          1.8985,          2.5910,          2.0816,          1.2643,          1.6605,          2.2701,          1.5942,          1.5797,          1.9565,          2.1863,          2.0385,          2.0961,          1.7562,          2.2109
          59,        0.483333,          2.1571,          1.2519,          1.8984,          2.5910,          2.0816,          1.2643,          1.6605,          2.2701,          1.5942,          1.5798,          1.9566,          2.1863,          2.0385,          2.0960,          1.7562,          2.2109
          60,        0.491667,          2.1570,          1.2519,          1.8985,          2.5911,          2.0816,          1.2644,          1.6604,          2.2701,          1.5943,          1.5798,          1.9566,          2.1863,          2.0386,          2.0961,          1.7563,          2.2109
          61,        0.500000,          2.1571,          1.2519,          1.8985,          2.5909,          2.0817,          1.2643,          1.6605,          2.2701,          1.5942,          1.5798,          1.9565,          2.1863,          2.0385,          2.0962,          1.7562,          2.2109
          62,        0.508333,          2.1570,          1.2519,          1.8984,          2.5911,          2.0816,          1.2643,          1.6605,          2.2702,          1.5942,          1.5797,          1.9565,          2.1864,          2.0385,          2.0961,          1.7563,          2.2109
          63,        0.516667,          2.1570,          1.2519,          1.8985,          2.5910,          2.0816,          1.2644,          1.6604,          2.2701,          1.5942,          1.5797,          1.9566,          2.1864,          2.0385,          2.0961,          1.7562,          2.2109
          64,        0.525000,          2.1570,          1.2519,          1.8984,          2.5910,          2.0817,          1.2644,          1.6605,          2.2702,          1.5943,          1.5798,          1.9565,          2.1864,          2.0385,          2.0962,          1.7562,          2.2109
          65,        0.533333,          2.1571,          1.2519,          1.8984,          2.5909,          2.0816,          1.2643,          1.6604,          2.2701,          1.5942,          1.5798,          1.9566,          2.1864,          2.0385,          2.0961,          1.7562,          2.2109
          66,        0.541667,          2.1570,          1.2519,          1.8985,          2.5911,          2.0816,          1.2643,          1.6604,          2.2701,          1.5943,          1.5798,          1.9566,          2.1864,          2.0385,          2.0961,          1.7562,          2.2109
          67,        0.550000,          2.1570,          1.2519,          1.8985,          2.5910,          2.0817,          1.2644,          1.6604,          2.2701,          1.5942,          1.5797,          1.9566,          2.1863,          2.0385,          2.0963,          1.7562,          2.2109
          68,        0.558333,          2.1570,          1.2519,          1.8985,          2.5910,          2.0816,          1.2643,          1.6605,          2.2702,          1.5942,          1.5797,          1.9566,          2.1864,          2.0384,          2.0972,          1.7686,          2.2109
          69,        0.566667,          2.1570,          1.2519,          1.8985,          2.5909,          2.0817,          1.2644,          1.6605,          2.2701,          1.5942,          1.5797,          1.9566,          2.1895,          2.0386,          2.0957,          1.7564,          2.2110
          70,        0.575000,          2.1570,          1.2519,          1.8985,          2.5909,          2.0816,          1.2644,          1.6605,          2.2702,          1.5943,          1.5797,          1.9568,          2.1867,          2.0392,          2.0956,          1.7560,          2.2109
          71,        0.583333,          2.1570,          1.2519,          1.8985,          2.5909,          2.0817,          1.2644,          1.6605,          2.2702,          1.5943,          1.5798,          1.9566,          2.1866,          2.0385,          2.0958,          1.7561,          2.2109
          72,        0.591667,          2.1570,          1.2519,          1.8984,          2.5911,          2.0816,          1.2643,          1.6605,          2.2701,          1.5943,          1.5798,          1.9567,          2.1863,          2.0384,          2.0959,          1.7561,          2.2109
